# anom1: g=-1.0 g12=0.0 m0=1.0 exp=0
#      T       disp  conv      dt   min|z|
     400    -0.0001  True    0.01   0.9978
     800     0.0001  True    0.01   0.9978
    1200    -0.0001  True    0.01   0.9978
    1600     0.0003  True    0.01   0.9968
    2000     0.0001  True    0.01   0.9974
    2400     0.0002  True    0.01   0.9974
    2800     0.0003  True    0.01   0.9972
    3200     0.0011  True    0.01   0.9960
    3600    -0.0008  True    0.01   0.9885
    4000    -0.0001  True    0.01   0.9975
    4400     0.0002  True    0.01   0.9964
    4800     0.0004  True    0.01   0.9973
    5200    -0.0008  True    0.01   0.9973
    5600     0.0004  True    0.01   0.9973
    6000     0.0005  True    0.01   0.9970
    6400    -0.0007  True    0.01   0.9967
    6800     0.0000  True    0.01   0.9961
    7200     0.0017  True    0.01   0.9926
    7600    -0.0001  True    0.01   0.9974
    8000    -0.0007  True    0.01   0.9973
    8400    -0.0001  True    0.01   0.9974
    8800    -0.0000  True    0.01   0.9971
    9200    -0.0007  True    0.01   0.9970
    9600    -0.0000  True    0.01   0.9970
   10000     0.0014  True    0.01   0.9969
   10400     0.0019  True    0.01   0.9959
   10800     0.0003  True    0.01   0.9960
   11200     0.0014  True    0.01   0.9973
   11600    -0.0009  True    0.01   0.9966
   12000     0.0007  True    0.01   0.9969
# anom1 DONE
