# anom2: g=1.0 g12=0.0 m0=1.0 exp=-2
#      T       disp  conv      dt   min|z|
     400     3.3720  True    0.01   0.8745
     800    12.0918  True    0.01   0.9380
    1200   -15.5316  True    0.01   0.9564
    1600     1.9859  True    0.01   0.9519
    2000     1.9892  True    0.01   0.9552
    2400     3.9816  True    0.01   0.9572
    2800     2.1038  True    0.01   0.9581
    3200     2.4334  True    0.01   0.9580
    3600    -0.3707  True    0.01   0.9568
    4000     0.5930  True    0.01   0.9533
    4400    -4.2440  True   0.005   0.9475
    4800    -0.7032  True    0.01   0.9230
    5200    -1.9346  True    0.01   0.9539
    5600    -1.9220  True   0.005   0.9584
    6000    -1.9861  True    0.01   0.9590
    6400    -1.9921  True    0.01   0.9591
    6800    -2.0168  True    0.01   0.9591
    7200    -2.0224  True    0.01   0.9585
    7600    -0.9443  True    0.01   0.9583
    8000    -1.9731  True   0.005   0.9569
    8400    -3.0184  True    0.01   0.9558
    8800    -2.2209  True    0.01   0.9501
    9200     0.3460  True   0.005   0.9451
    9600    -3.7574  True    0.01   0.9437
   10000    -1.3687  True    0.01   0.9442
   10400    -1.8118  True   0.005   0.9569
   10800    -1.7919  True    0.01   0.9570
   11200    -1.8222  True    0.01   0.9585
   11600    -1.9981  True   0.005   0.9581
   12000    -1.9558  True    0.01   0.9567
# anom2 DONE
