# normal: g=1.0 g12=1.0 m0=1.0 exp=-1
#      T       disp  conv      dt   min|z|
     400    -1.4730  True    0.01   0.9702
     800    -0.6317  True    0.01   0.9714
    1200    -1.1011  True    0.01   0.9721
    1600    -0.9144  True    0.01   0.9721
    2000    -1.0556  True    0.01   0.9722
    2400    -0.9563  True    0.01   0.9722
    2800    -1.0173  True    0.01   0.9722
    3200    -0.9870  True   0.005   0.9719
    3600    -0.8582  True    0.01   0.9698
    4000    -1.0113  True    0.01   0.9654
    4400    -0.9845  True   0.005   0.9579
    4800    -0.9575  True    0.01   0.9424
    5200    -0.9861  True    0.01   0.9684
    5600    -0.9925  True    0.01   0.9702
    6000    -0.9826  True    0.01   0.9714
    6400    -1.0073  True    0.01   0.9720
    6800    -0.9944  True    0.01   0.9716
    7200    -1.0507  True    0.01   0.9701
    7600    -0.8974  True    0.01   0.9701
    8000    -0.9497  True   0.005   0.9679
    8400    -0.9714  True    0.01   0.9686
    8800    -1.0077  True    0.01   0.9648
    9200    -0.8152  True   0.005   0.9384
    9600    -0.9902  True    0.01   0.9629
   10000    -0.9908  True    0.01   0.9676
   10400    -0.9082  True   0.005   0.9691
   10800    -0.9976  True    0.01   0.9702
   11200    -1.0362  True    0.01   0.9693
   11600    -1.0187  True    0.01   0.9692
   12000    -0.9900  True    0.01   0.9707
# normal DONE
