
anom2 (g=1.0, g12=0.0, m0=1.0) -- paper adiabatic displacement = -2
       T     dt0       dt       disp   min|z|     drift     s
    6400    0.02  0.01414    -1.9905   0.9591   4.5e-11    13
    6400    0.01  0.00707    -1.9907   0.9591   4.3e-11    24
    6400   0.005  0.00354    -1.9908   0.9591   2.5e-11    46
    9600    0.02  0.01155    -0.2694   0.9450   3.9e-11    22
    9600    0.01  0.00577    -0.2542   0.9450   4.5e-11    42
    9600   0.005  0.00289    -2.7950   0.9459   4.2e-11    82
   12800    0.02  0.01000    -2.1146   0.9550   6.1e-11    33
   12800    0.01  0.00500    -2.1148   0.9550   4.2e-11    64
   12800   0.005  0.00250    -2.5862   0.9520   1.6e-10   125

anom3 (g=1.0, g12=0.0, m0=1.3) -- paper adiabatic displacement = -3
       T     dt0       dt       disp   min|z|     drift     s
    6400    0.02  0.01414   -22.8790   0.9529   2.1e-11    13
    6400    0.01  0.00707    19.6091   0.9561   2.5e-12    24
    6400   0.005  0.00354    19.5129   0.9559   5.5e-11    46
    9600    0.02  0.01155    -2.2489   0.9608   1.7e-11    22
    9600    0.01  0.00577    -2.1861   0.9608   1.7e-10    42
