env: CPython 3.13.12 arm64 darwin | numpy 2.4.4

4th-order Yoshida: dt-convergence where Strang failed

normal: g=1.0 g12=1.0 m0=1.0  paper adiabatic displacement = -1
       T      dt       disp   min|z|     drift     s
    6400    0.04    -0.9968   0.9719   1.1e-11    15
    6400    0.02    -1.0073   0.9720   1.9e-11    27
    6400    0.01    -1.0073   0.9720   5.7e-11    50
    9600    0.04    -0.9902   0.9629   2.5e-11    21
    9600    0.02    -0.9902   0.9629   5.0e-11    39
    9600    0.01    -0.9902   0.9629   8.2e-11    74
   12800    0.04    -0.9830   0.9613   3.4e-11    27
   12800    0.02    -0.9825   0.9614   6.1e-11    50
   12800    0.01    -0.9944   0.9639   2.2e-10    98

anom2: g=1.0 g12=0.0 m0=1.0  paper adiabatic displacement = -2
       T      dt       disp   min|z|     drift     s
    6400    0.04    -1.9919   0.9591   2.2e-11    15
    6400    0.02    -1.9921   0.9591   3.5e-11    27
    6400    0.01    -1.9921   0.9591   1.2e-10    51
    9600    0.04    -3.7606   0.9436   1.9e-11    21
    9600    0.02    -3.7585   0.9437   1.6e-11    39
    9600    0.01    -3.7574   0.9437   1.1e-10    75
   12800    0.04    -1.9864   0.9548   3.9e-11    27
   12800    0.02    -1.9864   0.9548   1.1e-10    51
   12800    0.01    -2.1149   0.9550   1.9e-10    99

anom3: g=1.0 g12=0.0 m0=1.3  paper adiabatic displacement = -3
       T      dt       disp   min|z|     drift     s
    6400    0.04    18.6362   0.9531   2.9e-11    15
    6400    0.02   -23.5329   0.9548   6.8e-12    27
    6400    0.01   -23.5363   0.9548   1.9e-11    50
    9600    0.04   -19.2288   0.9589   1.8e-11    21
    9600    0.02   -19.2972   0.9589   8.5e-12    38
    9600    0.01   -19.3265   0.9589   6.2e-11    74
   12800    0.04    30.2949   0.9580   6.1e-12    27
   12800    0.02    30.3605   0.9580   3.7e-11    50
   12800    0.01   -23.7097   0.9572   4.0e-11    97
