r_bohr,r_angstrom,total_hartree,nuclear_repulsion_hartree,electronic_hartree,one_electron_hartree,two_electron_hartree,scf_iterations,n_ao,n_mo,minimum_overlap_eigenvalue,point_group,scf_seconds
0.15,0.0793765816005,4.71108642653644,6.666666666666667,-1.9555802401302271,-1.955580240130227,0.0,2,160,160,4.359263763952583e-09,d2h,0.3259450419991481
0.15184608736951133,0.08035348896535112,4.630966659465905,6.585615851704758,-1.9546491922388531,-1.9546491922388536,2.220446049250313e-16,2,160,160,4.461979115643772e-09,d2h,0.29370804199970735
0.15371489499619517,0.0813424193725185,4.551849947355029,6.505550421933751,-1.9537004745787225,-1.9537004745787223,0.0,2,160,160,4.566986905276218e-09,d2h,0.29691224999987753
0.15560670250391676,0.08234352079257917,4.473724584077675,6.426458397412726,-1.9527338133350511,-1.9527338133350511,3.3306690738754696e-16,2,160,160,4.674333519162843e-09,d2h,0.29727816699960385
0.15752179295794203,0.083356943017221,4.396579011457986,6.348327943848366,-1.9517489323903803,-1.9517489323903807,0.0,2,160,160,4.784065486157292e-09,d2h,0.2944437919995835
0.15946045290729166,0.0843828376816555,4.320401817435669,6.271147370824213,-1.9507455533885443,-1.9507455533885445,0.0,2,160,160,4.8962280342633996e-09,d2h,0.32793445800052723
0.16142297242761638,0.08542135828730636,4.245181734249536,6.194905130051483,-1.9497233958019464,-1.9497233958019469,-1.1102230246251565e-16,2,160,160,5.0108688104112076e-09,d2h,0.2978086250004708
0.16340964516460038,0.08647266022477769,4.170907636637281,6.119589813641129,-1.9486821770038478,-1.9486821770038476,1.1102230246251565e-16,2,160,160,5.128035756005469e-09,d2h,0.3214537500007282
0.16542076837789843,0.08753690079710444,4.097568540053415,6.0451901523969,-1.947621612343485,-1.9476216123434853,0.0,2,160,160,5.2477766040586676e-09,d2h,0.2944297080011893
0.16745664298561375,0.08861423924328911,4.025153598903962,5.97169501412918,-1.9465414152252176,-1.946541415225218,-1.1102230246251565e-16,2,160,160,5.370142047498562e-09,d2h,0.2950015410006017
0.16951757360932387,0.08970483676212841,3.9536521047987705,5.899093401989316,-1.9454412971905457,-1.9454412971905461,-1.1102230246251565e-16,2,160,160,5.495178381002215e-09,d2h,0.3240652920012508
0.17160386861965973,0.09080885653633268,3.883053484821594,5.827374452824167,-1.9443209680025735,-1.944320968002574,2.220446049250313e-16,2,160,160,5.622938670759464e-09,d2h,0.29689766600131406
0.17371584018244665,0.09192646375694262,3.8133472998180222,5.756527435550732,-1.9431801357327094,-1.9431801357327096,-1.1102230246251565e-16,2,160,160,5.753471672511118e-09,d2h,0.2881254580006498
