cutoff_bohr,scheme,seed,n_points,rmse_cm-1,linear-r-weighted-rmse_cm-1,mae_cm-1,max-absolute-error_cm-1,shortest-quintile-rmse_cm-1
0.15,A,11,401,27312.6956601363,7898.381661022597,16345.877526762784,150714.23816886425,55318.303554831175
0.15,A,29,401,25916.690689125237,6854.432292221356,14376.540970814776,147184.02651983325,53331.61718416713
0.15,A,47,401,26269.8935608696,7270.14301023426,15158.79699064404,146012.10235268774,53296.485829981844
0.15,A,71,401,27286.727934504972,7843.505238652644,16236.586655213645,151703.1387526801,55447.53142691744
0.15,A,101,401,24122.947383297327,6612.131878533698,13853.086824048334,137033.19258622554,48988.35951618104
0.15,B,11,401,589.4247311010752,270.07598773058584,448.75612986372283,2190.5537799450162,1013.460545541636
0.15,B,29,401,752.2291365512058,400.495125158984,594.4817772168817,2660.1207244177535,1240.510719825004
0.15,B,47,401,720.0994719750969,322.5533723655779,544.6463770654829,2637.557992479061,1222.0855220587694
0.15,B,71,401,660.0318524137184,282.0213375665943,491.0060897357578,2457.720418173088,1136.5252567118282
0.15,B,101,401,618.1248449779677,275.17545063824366,466.817968638966,2278.852526544532,1056.182258367754
0.25,A,11,359,8649.009528081344,2950.8096894090945,5261.12961825022,50512.55082414921,17217.913776775094
0.25,A,29,359,8173.991243162841,2563.4858833443177,4623.026240801212,49519.90611933504,16641.300646912026
0.25,A,47,359,8440.152991168565,2781.214335978556,5013.22540482967,49763.80977091107,16876.060116158827
0.25,A,71,359,8711.625433785563,2938.548594402186,5247.350342965321,51335.455672312346,17436.341397702043
0.25,A,101,359,7777.147416841129,2456.0546749835084,4441.131101236378,46905.93562337372,15671.279176241658
0.25,B,11,359,216.9229846007452,90.3161472065195,151.85494467939347,997.4587802474913,409.63722198328816
0.25,B,29,359,279.0498793851015,154.95365901012298,218.35966241026884,1060.3082957527265,469.2966040713585
0.25,B,47,359,284.1710212469073,157.02489336925495,221.10772031724298,1181.4249217474596,501.5078199955816
0.25,B,71,359,263.00025754188124,123.03605527537233,194.59775988032894,1136.8065778936125,478.49644773781927
0.25,B,101,359,243.40492216229467,114.1051749736611,179.7776048509401,1071.3750927384738,446.01141973893783
0.4,A,11,320,2638.303214695464,1044.0645913789886,1632.7028506477263,15963.378212450618,5232.725497532347
0.4,A,29,320,2480.689709241045,852.8581992403182,1311.5396597703234,15756.561207064358,5115.505953204276
0.4,A,47,320,2419.684895173926,860.3480187641346,1356.654124711625,15208.347179715729,4943.941125850546
0.4,A,71,320,2654.3675111017005,1044.1671054456158,1628.5385820669474,16213.145209675595,5301.177073151465
0.4,A,101,320,2462.3559539478824,894.9436488541741,1415.1299811293259,15358.79816507822,4998.081307215439
0.4,B,11,320,129.43724746918804,143.33450068119635,114.50772789823071,430.5499584305636,103.95384252328812
0.4,B,29,320,89.76029010045336,89.74460438799079,79.03913017924238,285.7217481569499,92.7921868227198
0.4,B,47,320,115.41634798652366,135.4341982378059,100.83840380813756,419.1762871362993,91.10623377487548
0.4,B,71,320,74.79256425816745,59.734537297726725,63.02183339263323,193.4790761823195,87.79171978507739
0.4,B,101,320,63.70880449039836,46.37173599684122,54.519510545539646,129.5149388257925,75.54667487163107
0.7,A,11,275,650.4632218269753,298.9184916073149,408.1007055660338,4092.5460958497933,1310.235083038947
0.7,A,29,275,621.7673624355541,267.52559709514446,363.72234246836365,4070.2896410902854,1287.2281910447011
0.7,A,47,275,672.8960733004199,295.4762732057818,404.8705816021001,4270.590210277036,1367.9561168301643
0.7,A,71,275,523.3272300071799,211.96295656686925,281.9600971991535,3581.655280199959,1111.90671724242
0.7,A,101,275,654.4076613717181,307.5433673558301,416.9513531636209,4133.7554985727065,1317.2234644182074
0.7,B,11,275,129.08206903686326,64.85079823702748,89.00447154046607,598.6957889632181,245.60078633431212
0.7,B,29,275,181.10250733532664,125.99923256448209,132.76833021492683,775.7017096930848,333.7519401847584
0.7,B,47,275,124.70974578196632,68.42003069068382,79.5871582353336,624.2916687221407,249.76318909161643
0.7,B,71,275,140.12969078969041,68.44412894965471,94.25432823790636,648.3650557047839,270.94292210554374
0.7,B,101,275,175.5164294390305,103.47250606691779,130.35454200978867,794.5153061524884,326.0621063602287
1.0,A,11,245,165.933946689203,75.1591151715965,91.63631340625763,1201.8446369745402,351.3744257577117
1.0,A,29,245,191.45691507785878,83.67804974623496,97.34754008535494,1365.9925891201328,410.21411349606296
1.0,A,47,245,192.50281144842555,86.14953019306031,103.98552060987582,1382.5943670854654,409.3686511066492
1.0,A,71,245,199.7261686827548,91.53403135038371,112.06131866214979,1417.4291600622919,422.40209867431304
1.0,A,101,245,185.40229112799133,80.59292101745801,94.4563720886157,1371.9588948973071,397.9574955047633
1.0,B,11,245,167.20598961683868,85.23759544595862,105.6371379969963,933.6332027029971,334.2065862266826
1.0,B,29,245,197.7949642147666,117.98059679785213,142.85753865060525,992.9294681215458,368.06113407301734
1.0,B,47,245,163.50545817989558,99.28357185137736,116.18198727757039,866.2119835899108,308.8108071842294
1.0,B,71,245,138.62130297457983,77.64506700446256,92.15181204785459,781.8149720161529,271.2942126170353
1.0,B,101,245,200.31448221997675,107.39757030929863,129.18977088860797,1113.24342949636,399.260123736542
1.5,A,11,212,103.51241147937465,50.24451229941326,52.24228155423701,797.6519151417806,219.09689813017792
1.5,A,29,212,123.62744936772816,62.12516419622376,67.62620720308199,928.503188525636,260.0776974030598
1.5,A,47,212,126.09447324672524,64.6156456548567,71.88732111054509,932.0953327013723,261.4799077321208
1.5,A,71,212,110.86422149753528,56.02069193346017,61.61419489036728,848.2133244377262,233.05605799158005
1.5,A,101,212,115.21214649908171,59.91544889291457,66.86660059824983,863.2208117690817,239.50706059124656
1.5,B,11,212,102.889950131715,65.46011139336566,71.94957533262165,634.2426906225645,193.10662609124367
1.5,B,29,212,124.90342147990457,71.45502201194883,82.97205455073414,763.4759672830158,239.77418591106843
1.5,B,47,212,100.28826919179998,56.88956557839371,64.25630148689912,662.6616734598003,198.85311595804305
1.5,B,71,212,107.78780507695642,61.323208851440256,69.44000584944116,670.8726130034345,211.66798049226924
1.5,B,101,212,119.44164476918166,67.61984302527735,77.68631752966897,776.0805251114647,234.51914868449785
2.0,A,11,189,57.558938004696145,32.39768947768667,34.613770935818444,379.8581921892071,118.52296979464512
2.0,A,29,189,66.19311260425609,36.710878603371185,38.67810009538406,436.9757379251255,135.79046090251035
2.0,A,47,189,68.04099748549886,38.67006156487783,41.43795942440135,434.0097837795262,137.2115355541148
2.0,A,71,189,55.26302306212352,29.654241975851942,29.696012435727322,373.28630034438686,115.85221804545233
2.0,A,101,189,55.64742615445817,30.449856785584927,31.70279469236885,372.020912930631,115.53859098630915
2.0,B,11,189,72.80517635241549,47.43209153865092,50.425066827818775,447.20441457765077,139.58738847856173
2.0,B,29,189,80.92565236065222,49.21483494393894,54.25499071346352,480.03483044827993,155.2660383602879
2.0,B,47,189,62.01589160527585,36.47415594922659,38.90450321840933,408.7458721125165,125.0751992896512
2.0,B,71,189,73.13668256993007,46.98050423847318,48.83744703397463,443.25252140876836,141.15177878968893
2.0,B,101,189,85.17923050054767,58.512832925839916,59.44391461141549,521.486473379093,162.0388424746979
3.0,A,11,156,1.590984689366345,1.1776134652147598,1.2217591821616303,6.819260166929691,2.467970202546778
3.0,A,29,156,3.921380337910861,3.802702389782582,3.478515771415799,10.380869161604279,3.5159698084858744
3.0,A,47,156,2.882484993240281,1.77351656268609,1.6978367974276918,19.67434387730675,5.901331358243127
3.0,A,71,156,3.2401572113424044,2.1618356562602807,2.176733345099281,21.34702112115776,6.389951322917475
3.0,A,101,156,1.9284871832612154,1.3968885829559943,1.4447882681852862,11.161613882749775,3.4309788001925483
3.0,B,11,156,37.52392386460996,25.37781303102728,25.124428973657732,251.68241107626778,73.07650865614477
3.0,B,29,156,51.786171169841204,38.84558949051011,37.91463804431151,312.1171297013761,93.024904916989
3.0,B,47,156,33.42321371996745,21.690548062338962,21.321035767020007,237.4238232367634,66.83752087334898
3.0,B,71,156,36.45513473314501,22.757139141054758,22.47693328192337,255.9826526955121,73.24964194366171
3.0,B,101,156,36.0305537801669,21.264751327514436,18.481201109892705,273.6194282371088,76.055956730051
