cutoff_bohr,scheme,seed,n_points,rmse_cm-1,linear-r-weighted-rmse_cm-1,mae_cm-1,max-absolute-error_cm-1,shortest-quintile-rmse_cm-1
0.15,A,11,156,28644.644883930723,8280.345235646591,17197.25071774489,150180.5329719548,57660.49555498466
0.15,A,29,156,27216.001967663775,7219.141088287255,15200.448157826655,146633.48759504917,55482.92867483703
0.15,A,47,156,27575.673792708967,7816.579000090925,16219.404363286536,146309.25784814535,55344.298143121014
0.15,A,71,156,28612.235121044694,8247.627729243897,17063.54454835804,151226.72387434394,57775.08213941112
0.15,A,101,156,25373.42164465458,6937.759312171245,14591.690944021799,137570.85553618328,51176.4617236615
0.15,B,11,156,555.5141051503472,303.6865381107116,433.71473432229436,1994.2593763092625,940.6648851311509
0.15,B,29,156,664.8738428656073,458.74076279306075,539.2128997048231,2211.270322611595,1058.2671614252308
0.15,B,47,156,629.2008637539815,351.0377594360288,495.4122075797168,2202.4605813112094,1049.4416017845158
0.15,B,71,156,593.5168826466356,280.8073755616526,454.94393125360597,2100.1252806476364,1006.7309446267426
0.15,B,101,156,557.8097673316154,255.4272880383497,424.18033082655325,2015.3933729228395,956.5034459570795
0.25,A,11,156,9291.449234348464,3080.4904913825303,5527.785240143486,52861.27591183302,18515.32331899597
0.25,A,29,156,8862.973373185901,2687.025515004715,4879.363546296685,52226.94248346485,18057.82665182819
0.25,A,47,156,8760.317782289172,2766.9527394606002,5045.763245131653,50263.68191311784,17544.872502825994
0.25,A,71,156,9363.256695542344,3071.233989132891,5526.606540252791,53651.359988129254,18747.320141488766
0.25,A,101,156,8408.23691603433,2579.2325794889944,4736.652262212686,49489.71056120332,16941.656265679325
0.25,B,11,156,249.90408799215913,150.08362860684645,196.0511205307371,1024.000089471846,432.813130407095
0.25,B,29,156,300.8589060622369,200.69576366820877,242.20018078202543,1182.8560568582768,513.6488708386626
0.25,B,47,156,274.4503821143683,148.59448183972142,211.71813833115328,1121.9739361862244,486.1704660615257
0.25,B,71,156,285.58563317579586,182.2097442820636,226.86760760876282,1111.7567039938303,479.9456844398729
0.25,B,101,156,243.9308878347224,127.46563023387476,186.98084770306534,1017.0084217374568,431.6443125874703
0.4,A,11,156,2813.179181659054,1083.9651953554805,1716.3991189944431,15609.583461539522,5547.648046472321
0.4,A,29,156,2662.827180633584,922.2510483421236,1468.8295404811815,15418.678410791645,5418.455407312851
0.4,A,47,156,2579.7161975395784,896.9079658260208,1447.170806760136,14941.704147658998,5229.531620001364
0.4,A,71,156,2827.2464894232444,1080.7979292179502,1711.5505018798547,15828.941315553355,5606.970286910773
0.4,A,101,156,2626.290783320555,937.421940848102,1508.96002621842,15066.544574651369,5287.510319845312
0.4,B,11,156,100.76984958468,92.97193349604319,88.72520047434386,259.2203647646575,100.81061139453627
0.4,B,29,156,89.52219070472216,74.87312242762557,75.39668882749605,304.4699236230577,108.74707490872136
0.4,B,47,156,95.89173954299584,70.28969116711963,82.43589834439773,195.11120021425327,103.14403880463149
0.4,B,71,156,110.32113052186091,93.39262128251875,96.14728725077825,248.68543649689988,111.1929461702844
0.4,B,101,156,81.58123476138506,64.00520074523334,71.13731599382518,156.22940930465697,89.82553603405442
0.7,A,11,156,710.8462138496539,316.10492293733466,431.91336034654074,4399.705340894077,1434.7504600796854
0.7,A,29,156,686.7574704433235,300.1037801724308,406.37650227360626,4495.724173816997,1407.3001968233332
0.7,A,47,156,737.359607472972,311.54711717305673,415.8938562652581,4429.358768684524,1515.7827707583072
0.7,A,71,156,617.7260677347851,249.04658258051361,323.5409991320496,3827.182800283636,1307.4114952571472
0.7,A,101,156,708.1808115941051,322.71863161050186,438.6026200145956,4480.952212412743,1425.6366142102997
0.7,B,11,156,142.63442988639704,101.01069733476561,114.51677488667349,513.103620040907,234.41206019899968
0.7,B,29,156,89.46979449578089,47.2211852556858,59.98190879564163,373.3359031146252,167.09990318466706
0.7,B,47,156,133.16767125606523,76.43520889911643,99.75289026889179,523.343823702026,237.28796116139512
0.7,B,71,156,130.84006740482755,69.77459491266059,92.89186440408656,525.212670160001,237.9637614782047
0.7,B,101,156,129.8254038401386,85.56582594457844,102.20304468448964,494.52732784024505,220.21213200881292
1.0,A,11,156,176.35335370250772,78.59839858366314,94.90828985104443,1314.4908930132453,369.8059380875112
1.0,A,29,156,226.45113406272924,96.00738088545639,108.51167739193059,1746.231555211943,482.01401199795725
1.0,A,47,156,203.60146157402767,89.62827274549973,106.88123133755573,1516.515940042818,428.9155209320864
1.0,A,71,156,211.75388540116117,96.43763003922862,117.2118053990798,1542.9144706858172,443.2935551685225
1.0,A,101,156,197.13875025076274,84.29647567017949,98.00650547288132,1511.0778386279333,418.476472658775
1.0,B,11,156,148.53285808162565,95.96494766064919,113.8504200217772,670.6702012565057,263.3061658985709
1.0,B,29,156,93.72180054241547,50.54168036436889,64.1907798590808,499.8025402770384,176.1853972236204
1.0,B,47,156,128.94099334247946,73.62946216882655,92.39425453334263,651.9605873567375,240.63608519423818
1.0,B,71,156,126.37942931480669,65.82645239110612,83.52304471158942,647.5383298080936,241.6272814832847
1.0,B,101,156,129.3007048000642,84.76480177841498,99.46411861247536,632.2700021221536,226.77168297965088
1.5,A,11,156,112.11682344138401,52.22091533240337,55.48974035374115,837.3515317963122,237.0654973863772
1.5,A,29,156,132.579223593223,63.737334208822496,70.09302982129653,965.6061235583686,279.00557629968256
1.5,A,47,156,136.48828583632587,67.0734887516469,75.97834590482721,983.0079078989363,283.77311763483016
1.5,A,71,156,119.41482580802617,57.716723573427494,64.22106941477809,883.4983589346581,250.86809871895886
1.5,A,101,156,124.56669281004957,61.89832990831708,68.49554263825145,907.8567750662623,259.37711100145947
1.5,B,11,156,106.62330762086887,60.029288734573974,69.10293622060398,620.2148361476964,203.5706228334337
1.5,B,29,156,78.87392884436511,46.328360726809535,54.146835425651595,462.06712127899357,146.71898987261494
1.5,B,47,156,96.34999035489787,54.32329149538441,63.50990848481364,560.3002643686755,184.30443550741197
1.5,B,71,156,98.4512798381859,53.71068702670818,62.073471811471336,567.8732335109148,189.14813588360028
1.5,B,101,156,103.38725738804686,66.29892889753073,75.57160171226418,573.6901951229097,184.64233347969602
2.0,A,11,156,58.877701000315234,32.80851772574018,35.44717510400353,376.41818218169874,120.22784315791375
2.0,A,29,156,65.79593414440822,36.54068310996605,39.131160543758085,396.83186139222147,133.78561654877117
2.0,A,47,156,69.39547415409666,39.189801512444056,42.612345878826126,429.1192768555254,139.07689141487054
2.0,A,71,156,56.53456264989275,29.861765188936353,30.276212816145016,368.69062148778676,117.81809707317028
2.0,A,101,156,57.11104541653153,30.84767170842945,32.66522496946648,369.65233058398314,117.82464274292433
2.0,B,11,156,62.410813417847756,36.517954223365635,40.285238759798716,367.13283329172134,118.44455051524382
2.0,B,29,156,59.25468884354434,38.56548486380784,42.833843526807925,315.58866693909505,106.82108661042196
2.0,B,47,156,62.56523848521442,36.46237481065242,39.99593506794539,357.590292732603,120.89467719987289
2.0,B,71,156,67.3053020866831,39.18342389780889,42.56492020001701,373.488837073554,128.96335305158055
2.0,B,101,156,72.04356046525226,47.12307580448942,52.48962009727449,382.609095151182,128.5755167126174
3.0,A,11,156,1.590984689366345,1.1776134652147598,1.2217591821616303,6.819260166929691,2.467970202546778
3.0,A,29,156,3.921380337910861,3.802702389782582,3.478515771415799,10.380869161604279,3.5159698084858744
3.0,A,47,156,2.882484993240281,1.77351656268609,1.6978367974276918,19.67434387730675,5.901331358243127
3.0,A,71,156,3.2401572113424044,2.1618356562602807,2.176733345099281,21.34702112115776,6.389951322917475
3.0,A,101,156,1.9284871832612154,1.3968885829559943,1.4447882681852862,11.161613882749775,3.4309788001925483
3.0,B,11,156,29.071506426595896,18.717506601763024,18.771688212600836,184.89530587734157,55.86228506142296
3.0,B,29,156,31.88786086327548,22.665930158979,23.357817288244647,189.7576202339467,57.55635714945825
3.0,B,47,156,28.245748730247293,17.818510805650302,17.697414221074254,187.0229661607393,55.56406127767591
3.0,B,71,156,31.2122834544993,19.493448427146824,19.127501512193703,202.46764306568576,61.20576796901187
3.0,B,101,156,34.58504324194499,23.180353104564308,23.69564310508197,214.8337680960728,64.73423528483946
