cutoff_bohr,scheme,seed,n_points,rmse_cm-1,linear-r-weighted-rmse_cm-1,mae_cm-1,max-absolute-error_cm-1,shortest-quintile-rmse_cm-1
0.15,A,11,401,38105.232289125146,11878.148806395535,23852.796120640916,199307.30915524976,77065.63158716023
0.15,A,29,401,26482.22616401572,7227.432288147712,15123.87849114432,148303.0233378812,53995.09895717466
0.15,A,47,401,38297.704824306995,11291.203334592785,23179.064941628203,201837.85897560563,78056.68122373044
0.15,A,71,401,27440.80120722027,8124.113962545736,16696.406444202396,150490.95950887114,55112.429931816005
0.15,A,101,401,27419.440459035304,7431.152085264609,15572.394316450276,153650.85058111962,56201.46406993398
0.15,B,11,401,581.8544373151427,316.24294748293687,457.9848804310862,2143.9790785821647,991.3768570096507
0.15,B,29,401,755.1024834198589,440.07236531269876,611.7004307481974,2596.8707677114003,1212.890199716121
0.15,B,47,401,702.7196770101604,470.84475435159027,573.5488901245375,2455.0030663426473,1140.234475950769
0.15,B,71,401,743.025081382286,433.3233142429238,596.8679004142722,2618.323255882324,1215.604706845352
0.15,B,101,401,518.0557841898574,314.84255744078587,414.8127506129097,1897.0242175687956,873.3856290410845
0.25,A,11,359,12452.312213304554,4250.888541471155,7584.022925773413,69351.7179708443,25250.867786347844
0.25,A,29,359,8436.649218174582,2686.951918234876,4863.9219398331725,50186.93583539853,16983.957072365465
0.25,A,47,359,12738.930249329791,4243.32641963433,7604.431496590541,71320.28339200134,25988.605710230648
0.25,A,71,359,8813.86600609025,2834.102049396549,5106.933393838574,51753.950779213694,17693.140141566844
0.25,A,101,359,8344.05951426292,2667.9964612902863,4818.046160543061,50229.74711870071,16897.08710791664
0.25,B,11,359,285.6836725582667,246.87225182949413,252.18325892222649,720.4371020974381,323.88003704164703
0.25,B,29,359,362.85362943615553,263.5355807567569,310.48696573415845,1165.7120313514304,524.2764505571805
0.25,B,47,359,401.61047574374356,454.36675244538645,353.77698836434683,1353.7869368862794,408.4326667995902
0.25,B,71,359,383.9183717128796,362.8353738303188,335.3488894561506,1149.019454102404,511.5774668156934
0.25,B,101,359,239.61566735907851,178.4161944605289,194.43494859704953,977.6460500057469,402.6762878682851
0.4,A,11,320,3669.1216354749668,1317.837835333509,2058.81560214927,21754.929403204736,7408.678084753959
0.4,A,29,320,2627.495613988597,990.8400314932586,1566.1339292785026,16130.443378192469,5278.198090340545
0.4,A,47,320,3595.895816369453,1270.1214930594003,1980.3081611596476,21614.998092328515,7309.0554877401655
0.4,A,71,320,2880.9591315013117,1047.3541164022254,1645.8738279614522,17475.876716847757,5778.394569238266
0.4,A,101,320,2324.836712261997,787.9359824189673,1208.2791049938405,15044.476115916894,4845.971630778604
0.4,B,11,320,236.81240913917821,190.17104283452554,207.80787573421335,435.43861491294604,267.4024302044052
0.4,B,29,320,253.19159811772099,196.97902647426008,220.7298345486055,444.3629284373554,229.69841639590825
0.4,B,47,320,348.03149200964845,343.40790771823634,311.04713638337523,925.0686641146598,330.4857143054491
0.4,B,71,320,341.30957359726807,384.15941604483424,302.3797844100133,1124.8425875265557,246.51974970519328
0.4,B,101,320,87.55180488503733,102.5262991130162,74.96109686736952,337.3945152131617,91.28395842621896
0.7,A,11,275,697.2505075269355,296.0614258101948,401.4548903532083,4497.056109437157,1438.1327701319794
0.7,A,29,275,568.2165051601359,228.72665008826908,299.01643714857914,3795.199449928482,1193.3114332537607
0.7,A,47,275,561.4897714965955,226.59597631954657,301.17857993031896,3848.8220881092966,1191.6426755373168
0.7,A,71,275,591.2544860604097,238.71781022600055,310.0249714048042,3956.389943019969,1247.05307491615
0.7,A,101,275,542.3223332264752,221.92349234753274,297.2520154620053,3685.248422650411,1145.102024787677
0.7,B,11,275,284.854685603061,203.14524578890493,234.74497571675013,1012.9432944335745,460.5642561297548
0.7,B,29,275,311.86676189984547,225.86011495057016,260.6679603693563,1016.2047739188421,485.7252659270427
0.7,B,47,275,514.5842274791027,571.6056031965865,445.70080233428575,1684.8010082137566,601.3006739974983
0.7,B,71,275,380.08115675753794,372.1331002941566,332.1052212016643,1060.3475126227404,495.7737118031698
0.7,B,101,275,81.22915920459529,68.42908214091452,64.7176335056876,322.94835902381226,137.98046658526917
1.0,A,11,245,168.71844592369888,73.30482597630996,84.97456181971388,1239.9931002982873,361.45315797894824
1.0,A,29,245,250.82469064457393,124.66564309915206,154.76806816598088,1693.8464613331923,516.1372877778342
1.0,A,47,245,171.59782703925322,78.94896084576932,96.9925267806028,1208.772021561781,361.15924300622515
1.0,A,71,245,301.4724886293971,143.54656533130378,177.93108382650962,1994.987228705582,623.2028094948364
1.0,A,101,245,180.66289715266083,79.5256555888488,94.4003878129545,1313.3672260724509,386.07521878600977
1.0,B,11,245,256.71864130708184,176.79143214649062,204.6633013736338,1076.0702676774351,435.52082249553445
1.0,B,29,245,263.53011777887707,171.76560845379373,206.61563687861818,1061.4341095055825,457.68046077478414
1.0,B,47,245,401.524863172797,417.92029633610866,346.0623270558955,1221.6208214163034,514.135947799991
1.0,B,71,245,335.22497000486203,317.0148841138716,289.1965906113775,1077.9865722635889,466.361867467956
1.0,B,101,245,79.11561385106603,50.54794941632575,56.965616871272964,411.70347817353064,150.04943444805033
1.5,A,11,212,108.57735610199049,57.14516134683777,64.54971840190143,799.5894070601818,222.84971467435435
1.5,A,29,212,161.04253963447783,83.66895753636489,93.70558186819854,1178.1099933835658,331.48406107294534
1.5,A,47,212,105.51061929460649,52.29507603399785,56.55405841007,800.4482304370445,220.97440482728643
1.5,A,71,212,206.54395664684756,111.46695291981075,126.7636305911186,1414.8752303563545,414.92032461068055
1.5,A,101,212,97.68668110276546,47.01770902077758,49.31765889752859,764.3502946736105,208.21684641635184
1.5,B,11,212,192.13679700296407,127.11433360301076,145.20756895426626,989.9746323171848,336.174970792766
1.5,B,29,212,180.28499128543297,111.64488193638277,130.0516501266033,911.4408843484962,328.75336842498035
1.5,B,47,212,187.7544120469259,192.9062316113796,159.30755914001813,672.2412298672511,235.75953918797364
1.5,B,71,212,244.87712988753688,225.48421242016832,208.8194995154108,939.6792475380014,343.53474416473097
1.5,B,101,212,52.798024676090044,27.603278823273047,31.20354560214414,353.0021922454459,105.60249669616017
2.0,A,11,189,79.31732213959496,45.43060563858507,48.81544503495946,495.97534044963624,158.78872215210106
2.0,A,29,189,95.00903355580131,53.522297609743156,56.51703036408486,583.372550510107,190.1145511967951
2.0,A,47,189,92.77728180689998,52.26922660371388,55.11763747942415,566.4567834826206,185.38879492428526
