cutoff_bohr,scheme,seed,n_points,rmse_cm-1,linear-r-weighted-rmse_cm-1,mae_cm-1,max-absolute-error_cm-1,shortest-quintile-rmse_cm-1
0.15,A,11,401,574.3962557074861,727.4774109987243,479.13481907851656,2463.575376193284,576.3021076371602
0.15,A,29,401,490.7386625575641,544.7089604048017,366.63545659392577,3412.2994119565806,732.0224235290584
0.15,A,47,401,642.7679334371496,793.0658729204108,540.2879851429896,2777.1795648262023,674.6378896503581
0.15,A,71,401,679.3978372468337,703.1727818503297,564.494471887638,3796.4075033093523,945.1633972043546
0.15,A,101,401,860.9573873594013,803.1084421472077,684.5975248558449,5645.4323025045405,1362.1674610125558
0.15,B,11,401,131.1834614637697,185.48939124798437,99.161372138491,415.71777746025305,24.245158052178084
0.15,B,29,401,123.14549933437121,163.93397465599293,94.90995983898345,301.4212686335143,27.158780498209197
0.15,B,47,401,172.5355549261843,226.53067923419704,142.87143248780464,486.90289311265417,111.0467790515693
0.15,B,71,401,140.50633244721377,170.26194862163487,121.73553409146307,367.7427227861288,98.64876956344119
0.15,B,101,401,116.30475617027102,138.21094756091728,99.38926921060963,282.9363987429215,74.04725662613136
0.25,A,11,359,369.35094727098107,452.73627533392374,312.3094108722602,1365.6696530160202,334.0671035149766
0.25,A,29,359,242.1579556182447,260.32173999382013,178.36186799146682,1660.4702872836544,344.18694035174775
0.25,A,47,359,401.98910620906435,448.1245674479026,345.8058610437151,1698.4811162292758,436.3158499257935
0.25,A,71,359,411.8254654733301,417.08882506931866,349.3774017460555,2085.5135006602964,546.0438489016619
0.25,A,101,359,495.32984784386616,475.435143635388,404.87998345259837,2961.944145955187,735.7597693576679
0.25,B,11,359,94.90640695532481,113.50722796246613,79.40424858389379,194.722254923773,38.87474586440391
0.25,B,29,359,85.90960682938196,98.63927614723804,71.8241970352598,187.27317460060357,39.577738125736424
0.25,B,47,359,87.41373671154426,100.49261455378102,72.56284357386525,191.5389069769845,38.603333231653856
