cutoff_bohr,scheme,seed,n_points,rmse_cm-1,linear-r-weighted-rmse_cm-1,mae_cm-1,max-absolute-error_cm-1,shortest-quintile-rmse_cm-1
0.15,A,11,401,27312.6956601363,7898.381661022597,16345.877526762784,150714.23816886425,55318.303554831175
0.15,A,29,401,25916.690689125237,6854.432292221356,14376.540970814776,147184.02651983325,53331.61718416713
0.15,A,47,401,26269.8935608696,7270.14301023426,15158.79699064404,146012.10235268774,53296.485829981844
0.15,A,71,401,27286.727934504972,7843.505238652644,16236.586655213645,151703.1387526801,55447.53142691744
0.15,A,101,401,24122.947383297327,6612.131878533698,13853.086824048334,137033.19258622554,48988.35951618104
0.15,B,11,401,531.0928907749251,270.7452909667935,413.14606322015965,1983.0820855783704,913.7065383161871
0.15,B,29,401,635.6433051128506,405.6892690254179,520.2020198370464,2217.9380174966927,1028.931886430901
0.15,B,47,401,603.6635929044163,314.38995624960165,474.4473908759502,2205.9696294313585,1019.6023032122602
0.15,B,71,401,568.9391592834332,258.90658524231094,433.2665649941255,2104.658968561773,975.6735119007391
0.15,B,101,401,536.8029409658217,241.72171444181453,406.9431551496922,2011.9344035135941,929.5935059243577
0.25,A,11,359,8649.009528081344,2950.8096894090945,5261.12961825022,50512.55082414921,17217.913776775094
0.25,A,29,359,8173.991243162841,2563.4858833443177,4623.026240801212,49519.90611933504,16641.300646912026
0.25,A,47,359,8440.152991168565,2781.214335978556,5013.22540482967,49763.80977091107,16876.060116158827
0.25,A,71,359,8711.625433785563,2938.548594402186,5247.350342965321,51335.455672312346,17436.341397702043
0.25,A,101,359,7777.147416841129,2456.0546749835084,4441.131101236378,46905.93562337372,15671.279176241658
0.25,B,11,359,237.53743658038914,139.88424250631715,185.86311402106145,1012.1489610425257,419.40204807114424
0.25,B,29,359,292.24852675374166,192.86024472181077,235.20914755868577,1191.5217797741564,502.32788601627954
0.25,B,47,359,264.14982993276504,139.81952587715764,202.28857100186283,1136.12885652206,476.0178238251773
0.25,B,71,359,274.76422258635046,177.03629745922726,220.6352691532651,1107.910465341401,468.40792791559034
0.25,B,101,359,233.23583345646117,121.07719420959211,178.07211222728773,1008.1280004166485,417.9100713052374
0.4,A,11,320,2638.303214695464,1044.0645913789886,1632.7028506477263,15963.378212450618,5232.725497532347
0.4,A,29,320,2480.689709241045,852.8581992403182,1311.5396597703234,15756.561207064358,5115.505953204276
0.4,A,47,320,2419.684895173926,860.3480187641346,1356.654124711625,15208.347179715729,4943.941125850546
0.4,A,71,320,2654.3675111017005,1044.1671054456158,1628.5385820669474,16213.145209675595,5301.177073151465
0.4,A,101,320,2462.3559539478824,894.9436488541741,1415.1299811293259,15358.79816507822,4998.081307215439
0.4,B,11,320,90.55865181107946,87.67649585866769,80.61757845602882,219.42538770066955,90.94990091020107
0.4,B,29,320,98.47311229818463,105.38392460536893,85.77608849110086,380.03412663966174,101.87681388730851
0.4,B,47,320,90.0998153142952,68.52392049972767,78.20642340397958,172.60228287424076,94.01840981755339
0.4,B,71,320,100.63232694208511,88.49514373279466,88.00073886324354,260.79440885059336,100.47286522173273
0.4,B,101,320,77.05936153861843,60.741574578227976,67.24068646887318,145.4098986464943,82.5171458005203
0.7,A,11,275,650.4632218269753,298.9184916073149,408.1007055660338,4092.5460958497933,1310.235083038947
0.7,A,29,275,621.7673624355541,267.52559709514446,363.72234246836365,4070.2896410902854,1287.2281910447011
0.7,A,47,275,672.8960733004199,295.4762732057818,404.8705816021001,4270.590210277036,1367.9561168301643
0.7,A,71,275,523.3272300071799,211.96295656686925,281.9600971991535,3581.655280199959,1111.90671724242
0.7,A,101,275,654.4076613717181,307.5433673558301,416.9513531636209,4133.7554985727065,1317.2234644182074
0.7,B,11,275,133.7954376804171,95.0912235397919,109.26526077774531,496.77754823915905,225.6912184334307
0.7,B,29,275,85.13527662171649,44.30582608916585,57.13983737774193,368.3580737978568,162.8456292841307
0.7,B,47,275,127.95643780985547,73.41809909950554,96.40434647360239,517.7262530564832,232.38748355563592
0.7,B,71,275,123.7925137702542,64.36473030952168,87.27551083321173,507.4499566631775,231.01251742507637
0.7,B,101,275,125.50201239144192,83.86250262915114,100.15592042068612,492.1552626654619,216.20376384870855
1.0,A,11,245,165.933946689203,75.1591151715965,91.63631340625763,1201.8446369745402,351.3744257577117
1.0,A,29,245,191.45691507785878,83.67804974623496,97.34754008535494,1365.9925891201328,410.21411349606296
1.0,A,47,245,192.50281144842555,86.14953019306031,103.98552060987582,1382.5943670854654,409.3686511066492
1.0,A,71,245,199.7261686827548,91.53403135038371,112.06131866214979,1417.4291600622919,422.40209867431304
1.0,A,101,245,185.40229112799133,80.59292101745801,94.4563720886157,1371.9588948973071,397.9574955047633
1.0,B,11,245,136.48598151073898,84.49854551251673,103.09405690044652,622.7504088633793,249.27598339067669
1.0,B,29,245,90.46824616149071,49.23375275154601,62.463947928173376,454.6065826669405,171.1101743291165
1.0,B,47,245,124.49504725819601,71.04782105375311,89.37291658876642,598.5213810223528,234.29055838692028
1.0,B,71,245,121.83584639246574,63.91553619357424,80.744896161792,593.4911768198641,234.31248125677055
1.0,B,101,245,125.1471286086738,82.4830522645565,96.76551266270762,577.7839807745623,220.87581396170066
1.5,A,11,212,103.51241147937465,50.24451229941326,52.24228155423701,797.6519151417806,219.09689813017792
1.5,A,29,212,123.62744936772816,62.12516419622376,67.62620720308199,928.503188525636,260.0776974030598
1.5,A,47,212,126.09447324672524,64.6156456548567,71.88732111054509,932.0953327013723,261.4799077321208
1.5,A,71,212,110.86422149753528,56.02069193346017,61.61419489036728,848.2133244377262,233.05605799158005
1.5,A,101,212,115.21214649908171,59.91544889291457,66.86660059824983,863.2208117690817,239.50706059124656
1.5,B,11,212,104.44962727347982,61.224078160583204,71.3733706521862,573.2732722343882,195.9111594121059
1.5,B,29,212,74.68774740957144,45.27997918628769,52.73234421990787,437.7379186835785,137.28647038268196
1.5,B,47,212,91.0596523048167,52.3903883390248,61.11483057406812,536.4325367146059,173.6601176123882
1.5,B,71,212,93.3862956744632,52.10159494596271,60.05305963547915,545.7260522177685,178.8159138181285
1.5,B,101,212,97.91417893962165,64.50412138999648,73.33087385440602,540.8263729153402,172.76776224164647
2.0,A,11,189,57.558938004696145,32.39768947768667,34.613770935818444,379.8581921892071,118.52296979464512
2.0,A,29,189,66.19311260425609,36.710878603371185,38.67810009538406,436.9757379251255,135.79046090251035
2.0,A,47,189,68.04099748549886,38.67006156487783,41.43795942440135,434.0097837795262,137.2115355541148
2.0,A,71,189,55.26302306212352,29.654241975851942,29.696012435727322,373.28630034438686,115.85221804545233
2.0,A,101,189,55.64742615445817,30.449856785584927,31.70279469236885,372.020912930631,115.53859098630915
2.0,B,11,189,60.337966264880144,36.183711483952145,39.69616532341084,345.0345816511598,114.89688790817748
2.0,B,29,189,59.74692260557143,39.89991886217886,44.046961971973325,330.42273213003455,107.28432901511906
2.0,B,47,189,61.28550845978972,35.96694117025366,39.16058914231521,364.1707262928187,119.44961845482777
2.0,B,71,189,65.81545216477825,38.45408262985984,41.45985457074886,381.66264946651415,127.36536594532164
2.0,B,101,189,71.0694938667544,46.93791923314707,51.96080642033544,386.96374238544865,127.45701790375603
3.0,A,11,156,1.590984689366345,1.1776134652147598,1.2217591821616303,6.819260166929691,2.467970202546778
3.0,A,29,156,3.921380337910861,3.802702389782582,3.478515771415799,10.380869161604279,3.5159698084858744
3.0,A,47,156,2.882484993240281,1.77351656268609,1.6978367974276918,19.67434387730675,5.901331358243127
3.0,A,71,156,3.2401572113424044,2.1618356562602807,2.176733345099281,21.34702112115776,6.389951322917475
3.0,A,101,156,1.9284871832612154,1.3968885829559943,1.4447882681852862,11.161613882749775,3.4309788001925483
3.0,B,11,156,29.071506426595896,18.717506601763024,18.771688212600836,184.89530587734157,55.86228506142296
3.0,B,29,156,31.88786086327548,22.665930158979,23.357817288244647,189.7576202339467,57.55635714945825
3.0,B,47,156,28.245748730247293,17.818510805650302,17.697414221074254,187.0229661607393,55.56406127767591
3.0,B,71,156,31.2122834544993,19.493448427146824,19.127501512193703,202.46764306568576,61.20576796901187
3.0,B,101,156,34.58504324194499,23.180353104564308,23.69564310508197,214.8337680960728,64.73423528483946
