cutoff_bohr,scheme,seed,n_points,rmse_cm-1,linear-r-weighted-rmse_cm-1,mae_cm-1,max-absolute-error_cm-1,shortest-quintile-rmse_cm-1
0.15,A,11,401,27313.96848849702,7897.814749288143,16345.429993461885,150732.2961950574,55322.58172759294
0.15,A,29,401,25920.49558237753,6854.6933353807235,14377.12328299585,147200.03119978332,53341.73117088046
0.15,A,47,401,26264.324676184697,7268.020704296922,15155.486519300966,145983.26848516133,53286.305469873034
0.15,A,71,401,27290.47991611126,7844.846555520607,16239.074257713413,151710.71532816387,55455.77300155553
0.15,A,101,401,24124.82911323564,6611.767315159381,13852.533697039536,137058.56918317845,48993.33249393347
0.15,B,11,401,523.2802966128124,267.0911640527259,406.5482958462785,1974.845490606838,905.5513871921511
0.15,B,29,401,627.3021305822098,401.5641505515354,513.0402594673241,2208.847626004228,1019.8338678915403
0.15,B,47,401,594.9598035800846,310.24638026521717,467.13249034300037,2195.354119693172,1009.9642100429587
0.15,B,71,401,561.0516897936011,255.74145351110087,427.0245826302149,2095.867003403899,967.0815714485403
0.15,B,101,401,529.0074667514803,238.404265862016,400.60025534778725,2003.8434659505408,921.3548253260462
0.25,A,11,359,8645.108154521487,2949.179443632724,5258.218561091046,50501.71584983947,17211.393785959917
0.25,A,29,359,8173.466661585986,2563.162651879284,4622.189298047556,49520.019453577916,16641.808953699892
0.25,A,47,359,8437.601516642453,2779.5897893632705,5010.740136009411,49773.90888222346,16872.177433470988
0.25,A,71,359,8707.910460760433,2937.2023631226175,5244.838546094678,51301.65019471808,17429.703557069137
0.25,A,101,359,7772.57594719661,2454.534870751904,4438.373187219134,46894.47257391263,15662.98203189267
0.25,B,11,359,229.91469853752704,137.68867219627884,180.78343828808823,984.1191968934517,403.3664245990602
0.25,B,29,359,284.9293332621542,190.99837117360624,230.41283536865447,1161.1810257718987,485.3799536755941
0.25,B,47,359,256.293870368523,137.6006712594939,197.26974930144803,1105.4826143829034,458.88533348741464
0.25,B,71,359,267.12744747081933,174.66724914730244,215.39975207164,1078.5998598596989,451.83842623851217
0.25,B,101,359,225.45425015918843,119.02844686198858,173.00301321825296,979.6033888086382,401.78098305983775
0.4,A,11,320,2636.218859723731,1043.3758229713956,1631.6435216964308,15952.65879925826,5227.836121383092
0.4,A,29,320,2479.4552829810896,852.5724483647671,1311.0781166024174,15749.04364366537,5112.302393200276
0.4,A,47,320,2418.1777947115265,859.9424036877007,1356.0737039249218,15208.429140794784,4940.195103095024
0.4,A,71,320,2653.122207135922,1044.1469775554174,1628.3606036247968,16198.972548302372,5297.636891441804
0.4,A,101,320,2460.685706351293,894.5199123870711,1414.5057909932143,15346.654012927154,4994.025482446699
0.4,B,11,320,89.66112515706345,87.64555310725588,79.9066104977449,217.23057186389818,87.01630677235006
0.4,B,29,320,98.48186776894016,105.94980186289536,85.94084403776621,380.3075384022558,99.3243459578496
0.4,B,47,320,88.99601399709218,68.71330728927285,77.41202143223411,169.85612346931362,89.30233105031957
0.4,B,71,320,99.63828662490839,88.64643517462905,87.28175015738911,260.75272490004056,95.95721733979944
0.4,B,101,320,75.23389441952476,60.33358424794619,65.84182107830576,140.10587116127797,77.32729430868305
0.7,A,11,275,651.5384387598286,299.20883126882774,408.5215040838554,4101.627451976727,1312.7884709732452
0.7,A,29,275,622.0348409079373,266.9144134795666,363.04123146086033,4077.11800111555,1288.6233449711067
0.7,A,47,275,672.9877481427096,295.5595138178596,405.52463877385196,4268.996776783256,1367.9687288213145
0.7,A,71,275,524.7792341166697,214.14391056532395,285.9770290508426,3592.4393397128456,1113.9308334944235
0.7,A,101,275,655.3040418922349,307.846669204446,417.3741462154338,4137.670029211407,1319.3144170456133
0.7,B,11,275,133.00188189212153,95.02630148383396,108.96297763248008,486.44626265275247,223.09023920265415
0.7,B,29,275,84.1428073716818,44.05275532109861,56.78784605101682,359.27529135437993,160.48901363377215
0.7,B,47,275,127.03421210789271,73.4084108049323,96.12521264053534,507.6803560781236,229.65439415789868
0.7,B,71,275,122.54837893532707,63.98245698946451,86.69528972278594,497.26285126155,227.92540100779595
0.7,B,101,275,124.38035298736301,83.79521043422831,99.64438875829273,480.8044204598619,213.2199451568687
1.0,A,11,245,165.91586401146776,75.12441712023686,91.57685267729688,1203.0977251837378,351.38054247142475
1.0,A,29,245,191.27124183763874,83.59379229373079,97.23722616149051,1364.451038014513,409.8131461623445
