cutoff_bohr,fold,seed,scheme,n_train,n_test,best_standardized_mse,final_standardized_mse,best_step
0.15,0,11,A,320,81,0.009601873352047884,0.009601873352047884,20000
0.15,0,29,A,320,81,0.00862326305701446,0.00862326305701446,20000
0.15,0,47,A,320,81,0.008863089109445419,0.008863089109445419,20000
0.15,0,71,A,320,81,0.009583283419196597,0.009583283419196597,20000
0.15,0,101,A,320,81,0.007502756346811168,0.007502756346811168,20000
0.15,0,11,B,320,81,4.508997798146149e-06,4.508997798146149e-06,20000
0.15,0,29,B,320,81,7.376515666905915e-06,7.376515666905915e-06,20000
0.15,0,47,B,320,81,6.800914309490724e-06,6.800914309490724e-06,20000
0.15,0,71,B,320,81,5.684182624984914e-06,5.684182624984914e-06,20000
0.15,0,101,B,320,81,4.984469529235303e-06,4.984469529235303e-06,20000
0.15,1,11,A,321,80,0.009994871781472263,0.009994871781472263,20000
0.15,1,29,A,321,80,0.009016288837051665,0.009016288837051665,20000
0.15,1,47,A,321,80,0.009267131348570339,0.009267131348570339,20000
0.15,1,71,A,321,80,0.009974073833105546,0.009974073833105546,20000
0.15,1,101,A,321,80,0.007789850186256463,0.007789850186256463,20000
0.15,1,11,B,321,80,4.616972517158695e-06,4.616972517158695e-06,20000
0.15,1,29,B,321,80,7.46206235134701e-06,7.46206235134701e-06,20000
0.15,1,47,B,321,80,6.855289826033097e-06,6.855289826033097e-06,20000
0.15,1,71,B,321,80,5.775743727595342e-06,5.775743727595342e-06,20000
0.15,1,101,B,321,80,5.065667998738631e-06,5.065667998738631e-06,20000
0.15,2,11,A,321,80,0.009680241857238585,0.009680241857238585,20000
0.15,2,29,A,321,80,0.008705100902866662,0.008705100902866662,20000
0.15,2,47,A,321,80,0.008941741542591905,0.008941741542591905,20000
0.15,2,71,A,321,80,0.009663053515175275,0.009663053515175275,20000
0.15,2,101,A,321,80,0.007543225981488183,0.007543225981488183,20000
0.15,2,11,B,321,80,4.557611493991694e-06,4.557611493991694e-06,20000
0.15,2,29,B,321,80,7.389592952333948e-06,7.389592952333948e-06,20000
0.15,2,47,B,321,80,6.7863828377823995e-06,6.7863828377823995e-06,20000
0.15,2,71,B,321,80,5.709941592955737e-06,5.709941592955737e-06,20000
0.15,2,101,B,321,80,5.006812378442495e-06,5.006812378442495e-06,20000
0.15,3,11,A,321,80,0.009774554635618141,0.009774554635618141,20000
0.15,3,29,A,321,80,0.008803183324648606,0.008803183324648606,20000
0.15,3,47,A,321,80,0.009033042085332782,0.009033042085332782,20000
0.15,3,71,A,321,80,0.009760557204845885,0.009760557204845885,20000
0.15,3,101,A,321,80,0.007615184652274673,0.007615184652274673,20000
0.15,3,11,B,321,80,4.563206738077107e-06,4.563206738077107e-06,20000
0.15,3,29,B,321,80,7.4420735405944024e-06,7.4420735405944024e-06,20000
0.15,3,47,B,321,80,6.8029478558712405e-06,6.8029478558712405e-06,20000
0.15,3,71,B,321,80,5.716154277701174e-06,5.716154277701174e-06,20000
0.15,3,101,B,321,80,5.017636941266949e-06,5.017636941266949e-06,20000
0.15,4,11,A,321,80,0.009961052701147709,0.009961052701147709,20000
0.15,4,29,A,321,80,0.008981117369068356,0.008981117369068356,20000
0.15,4,47,A,321,80,0.009234743668028865,0.009234743668028865,20000
0.15,4,71,A,321,80,0.00993820692948339,0.00993820692948339,20000
0.15,4,101,A,321,80,0.007778642622144575,0.007778642622144575,20000
0.15,4,11,B,321,80,4.607523941663087e-06,4.607523941663087e-06,20000
0.15,4,29,B,321,80,7.517316738931632e-06,7.517316738931632e-06,20000
0.15,4,47,B,321,80,6.879417059812539e-06,6.879417059812539e-06,20000
0.15,4,71,B,321,80,5.784239776549374e-06,5.784239776549374e-06,20000
0.15,4,101,B,321,80,5.0707206961921445e-06,5.0707206961921445e-06,20000
0.25,0,11,A,286,73,0.0038684256459546314,0.0038684256459546314,20000
0.25,0,29,A,286,73,0.0034295791771597676,0.0034295791771597676,20000
0.25,0,47,A,286,73,0.0036849414645319122,0.0036849414645319122,20000
0.25,0,71,A,286,73,0.003922699458658686,0.003922699458658686,20000
0.25,0,101,A,286,73,0.0031197994928499227,0.0031197994928499227,20000
0.25,0,11,B,286,73,2.45689247445727e-06,2.45689247445727e-06,20000
0.25,0,29,B,286,73,3.5356480479639336e-06,3.5356480479639336e-06,20000
0.25,0,47,B,286,73,4.302322169224718e-06,4.302322169224718e-06,20000
0.25,0,71,B,286,73,3.6542009967534997e-06,3.6542009967534997e-06,20000
0.25,0,101,B,286,73,3.1160438004570225e-06,3.1160438004570225e-06,20000
0.25,1,11,A,288,71,0.004063761568077833,0.004063761568077833,20000
0.25,1,29,A,288,71,0.003634325517721884,0.003634325517721884,20000
0.25,1,47,A,288,71,0.003869948220535948,0.003869948220535948,20000
0.25,1,71,A,288,71,0.004119257034128473,0.004119257034128473,20000
0.25,1,101,A,288,71,0.003275802666284775,0.003275802666284775,20000
0.25,1,11,B,288,71,2.5798550081775655e-06,2.5798550081775655e-06,20000
0.25,1,29,B,288,71,5.298567397234971e-06,5.298567397234971e-06,20000
0.25,1,47,B,288,71,4.371696127816774e-06,4.371696127816774e-06,20000
0.25,1,71,B,288,71,3.7620182085584917e-06,3.7620182085584917e-06,20000
0.25,1,101,B,288,71,3.232744036142334e-06,3.232744036142334e-06,20000
0.25,2,11,A,287,72,0.0039645586967490135,0.0039645586967490135,20000
0.25,2,29,A,287,72,0.003536857569366969,0.003536857569366969,20000
0.25,2,47,A,287,72,0.0037689623063363945,0.0037689623063363945,20000
0.25,2,71,A,287,72,0.004023162914794001,0.004023162914794001,20000
0.25,2,101,A,287,72,0.003205102843771837,0.003205102843771837,20000
0.25,2,11,B,287,72,2.4913722225627588e-06,2.4913722225627588e-06,20000
0.25,2,29,B,287,72,3.4311293974082727e-06,3.4311293974082727e-06,20000
0.25,2,47,B,287,72,4.295076734217665e-06,4.295076734217665e-06,20000
0.25,2,71,B,287,72,3.6820977180266077e-06,3.6820977180266077e-06,20000
0.25,2,101,B,287,72,3.146959932695785e-06,3.146959932695785e-06,20000
0.25,3,11,A,288,71,0.004053005672927035,0.004053005672927035,20000
0.25,3,29,A,288,71,0.0036349676713770176,0.0036349676713770176,20000
0.25,3,47,A,288,71,0.003867214277610024,0.003867214277610024,20000
0.25,3,71,A,288,71,0.004113756548813148,0.004113756548813148,20000
0.25,3,101,A,288,71,0.003279010412454939,0.003279010412454939,20000
0.25,3,11,B,288,71,2.598196479802029e-06,2.598196479802029e-06,20000
0.25,3,29,B,288,71,5.327282078155065e-06,5.327282078155065e-06,20000
0.25,3,47,B,288,71,4.398522630287205e-06,4.398522630287205e-06,20000
0.25,3,71,B,288,71,3.7728249841163206e-06,3.7728249841163206e-06,20000
0.25,3,101,B,288,71,3.25159850413932e-06,3.25159850413932e-06,20000
0.25,4,11,A,287,72,0.004018792299705487,0.004018792299705487,20000
0.25,4,29,A,287,72,0.0035867958377178567,0.0035867958377178567,20000
0.25,4,47,A,287,72,0.003820764807202047,0.003820764807202047,20000
0.25,4,71,A,287,72,0.004075578853452301,0.004075578853452301,20000
0.25,4,101,A,287,72,0.00324244779274069,0.00324244779274069,20000
0.25,4,11,B,287,72,2.542436432801722e-06,2.542436432801722e-06,20000
0.25,4,29,B,287,72,3.5466540685698953e-06,3.5466540685698953e-06,20000
0.25,4,47,B,287,72,4.383115292988439e-06,4.383115292988439e-06,20000
0.25,4,71,B,287,72,3.7621632422837506e-06,3.7621632422837506e-06,20000
0.25,4,101,B,287,72,3.2100127997962657e-06,3.2100127997962657e-06,20000
0.4,0,11,A,255,65,0.001842835253884721,0.001842835253884721,20000
0.4,0,29,A,255,65,0.0016311155905337096,0.0016311155905337096,20000
0.4,0,47,A,255,65,0.0015534759117468884,0.0015534759117468884,20000
0.4,0,71,A,255,65,0.0018619732487700665,0.0018619732487700665,20000
0.4,0,101,A,255,65,0.0016052881314913647,0.0016052881314913647,20000
0.4,0,11,B,255,65,4.337531296357847e-06,4.337531296357847e-06,20000
0.4,0,29,B,255,65,2.122389867467891e-06,2.122389867467891e-06,20000
0.4,0,47,B,255,65,3.2642135727716535e-06,3.2642135727716535e-06,20000
0.4,0,71,B,255,65,1.4464193307412259e-06,1.4464193307412259e-06,20000
0.4,0,101,B,255,65,1.0286972285007865e-06,1.0286972285007865e-06,20000
0.4,1,11,A,257,63,0.0018790592677787377,0.0018790592677787377,20000
0.4,1,29,A,257,63,0.001658354314699315,0.001658354314699315,20000
0.4,1,47,A,257,63,0.0015808449171447697,0.0015808449171447697,20000
0.4,1,71,A,257,63,0.0019056014004842582,0.0019056014004842582,20000
0.4,1,101,A,257,63,0.0016323588159945016,0.0016323588159945016,20000
0.4,1,11,B,257,63,4.4831572798915295e-06,4.4831572798915295e-06,20000
0.4,1,29,B,257,63,2.1376139459574083e-06,2.1376139459574083e-06,20000
0.4,1,47,B,257,63,3.969725529102986e-06,3.969725529102986e-06,20000
0.4,1,71,B,257,63,1.5610807004278061e-06,1.5610807004278061e-06,20000
0.4,1,101,B,257,63,1.177016976303717e-06,1.177016976303717e-06,20000
0.4,2,11,A,256,64,0.0018411491505172693,0.0018411491505172693,20000
0.4,2,29,A,256,64,0.0016160938223163009,0.0016160938223163009,20000
0.4,2,47,A,256,64,0.001536410018881064,0.001536410018881064,20000
0.4,2,71,A,256,64,0.0018613506885117098,0.0018613506885117098,20000
0.4,2,101,A,256,64,0.0015990016493173454,0.0015990016493173454,20000
0.4,2,11,B,256,64,4.499188221891956e-06,4.499188221891956e-06,20000
0.4,2,29,B,256,64,2.1293472082801814e-06,2.1293472082801814e-06,20000
0.4,2,47,B,256,64,3.456994335700716e-06,3.456994335700716e-06,20000
0.4,2,71,B,256,64,1.4806362492173217e-06,1.4806362492173217e-06,20000
0.4,2,101,B,256,64,1.0855607154094775e-06,1.0855607154094775e-06,20000
0.4,3,11,A,256,64,0.001913694587752183,0.001913694587752183,20000
0.4,3,29,A,256,64,0.0016902717810742887,0.0016902717810742887,20000
0.4,3,47,A,256,64,0.0016071449870346585,0.0016071449870346585,20000
0.4,3,71,A,256,64,0.0019380603851207436,0.0019380603851207436,20000
0.4,3,101,A,256,64,0.00166518049087471,0.00166518049087471,20000
0.4,3,11,B,256,64,4.667721137193139e-06,4.667721137193139e-06,20000
0.4,3,29,B,256,64,2.2604974372748987e-06,2.2604974372748987e-06,20000
0.4,3,47,B,256,64,3.6482898245384718e-06,3.6482898245384718e-06,20000
0.4,3,71,B,256,64,1.5482400852618654e-06,1.5482400852618654e-06,20000
0.4,3,101,B,256,64,1.119609684745335e-06,1.119609684745335e-06,20000
0.4,4,11,A,256,64,0.0019131720153808044,0.0019131720153808044,20000
0.4,4,29,A,256,64,0.001696722210301894,0.001696722210301894,20000
0.4,4,47,A,256,64,0.001614083206845808,0.001614083206845808,20000
0.4,4,71,A,256,64,0.0019368142029665715,0.0019368142029665715,20000
0.4,4,101,A,256,64,0.001670625318411625,0.001670625318411625,20000
0.4,4,11,B,256,64,4.626652090017162e-06,4.626652090017162e-06,20000
0.4,4,29,B,256,64,2.2204387876195793e-06,2.2204387876195793e-06,20000
0.4,4,47,B,256,64,3.6600038102817686e-06,3.6600038102817686e-06,20000
0.4,4,71,B,256,64,1.54465199993804e-06,1.54465199993804e-06,20000
0.4,4,101,B,256,64,1.118915809274576e-06,1.118915809274576e-06,20000
0.7,0,11,A,220,55,0.0013673053049358115,0.0013673053049358115,20000
0.7,0,29,A,220,55,0.0012202523351058832,0.0012202523351058832,20000
0.7,0,47,A,220,55,0.0013678694301859468,0.0013678694301859468,20000
0.7,0,71,A,220,55,0.0008552226578473504,0.0008552226578473504,20000
0.7,0,101,A,220,55,0.0013812113279033891,0.0013812113279033891,20000
0.7,0,11,B,220,55,5.040050061867734e-05,5.040050061867734e-05,20000
0.7,0,29,B,220,55,9.949349334815835e-05,9.949349334815835e-05,20000
0.7,0,47,B,220,55,4.440419960625518e-05,4.440419960625518e-05,20000
0.7,0,71,B,220,55,6.015935169719626e-05,6.015935169719626e-05,20000
0.7,0,101,B,220,55,8.611101873950064e-05,8.611101873950064e-05,20000
0.7,1,11,A,220,55,0.0014285651571432517,0.0014285651571432517,20000
0.7,1,29,A,220,55,0.0012921027319386228,0.0012921027319386228,20000
0.7,1,47,A,220,55,0.0015085654398412265,0.0015085654398412265,20000
0.7,1,71,A,220,55,0.0009226655187453482,0.0009226655187453482,20000
0.7,1,101,A,220,55,0.0014444045667383373,0.0014444045667383373,20000
0.7,1,11,B,220,55,5.607331187090463e-05,5.607331187090463e-05,20000
0.7,1,29,B,220,55,0.00010925156281998226,0.00010925156281998226,20000
0.7,1,47,B,220,55,5.1894344293650604e-05,5.1894344293650604e-05,20000
0.7,1,71,B,220,55,6.597265328882337e-05,6.597265328882337e-05,20000
0.7,1,101,B,220,55,0.00010441582435604051,0.00010441582435604051,20000
0.7,2,11,A,220,55,0.0013961241418676573,0.0013961241418676573,20000
0.7,2,29,A,220,55,0.0012761007720760726,0.0012761007720760726,20000
0.7,2,47,A,220,55,0.0015240063016785143,0.0015240063016785143,20000
0.7,2,71,A,220,55,0.0008941969777509431,0.0008941969777509431,20000
0.7,2,101,A,220,55,0.0014082653003768368,0.0014082653003768368,20000
0.7,2,11,B,220,55,5.721393634857634e-05,5.721393634857634e-05,20000
0.7,2,29,B,220,55,0.00010919701095330409,0.00010919701095330409,20000
0.7,2,47,B,220,55,5.3592846028261693e-05,5.3592846028261693e-05,20000
0.7,2,71,B,220,55,6.717763288943781e-05,6.717763288943781e-05,20000
0.7,2,101,B,220,55,0.00010771847276389387,0.00010771847276389387,20000
0.7,3,11,A,220,55,0.0013266820414593922,0.0013266820414593922,20000
0.7,3,29,A,220,55,0.001210996348393932,0.001210996348393932,20000
0.7,3,47,A,220,55,0.0014422144241219399,0.0014422144241219399,20000
0.7,3,71,A,220,55,0.0008557518910979605,0.0008557518910979605,20000
0.7,3,101,A,220,55,0.0013465002981617946,0.0013465002981617946,20000
0.7,3,11,B,220,55,5.643003005591605e-05,5.643003005591605e-05,20000
0.7,3,29,B,220,55,0.00011164165018402088,0.00011164165018402088,20000
0.7,3,47,B,220,55,5.3054848043131186e-05,5.3054848043131186e-05,20000
0.7,3,71,B,220,55,6.639544820870692e-05,6.639544820870692e-05,20000
0.7,3,101,B,220,55,0.00010628080760875361,0.00010628080760875361,20000
0.7,4,11,A,220,55,0.0014202320545962852,0.0014202320545962852,20000
0.7,4,29,A,220,55,0.0012992214128048813,0.0012992214128048813,20000
0.7,4,47,A,220,55,0.001553628944545895,0.001553628944545895,20000
0.7,4,71,A,220,55,0.0009226578527304013,0.0009226578527304013,20000
0.7,4,101,A,220,55,0.0014377757815729835,0.0014377757815729835,20000
0.7,4,11,B,220,55,5.7315642682042725e-05,5.7315642682042725e-05,20000
0.7,4,29,B,220,55,0.00011350583496169887,0.00011350583496169887,20000
0.7,4,47,B,220,55,5.429496380716846e-05,5.429496380716846e-05,20000
0.7,4,71,B,220,55,6.74387110197859e-05,6.74387110197859e-05,20000
0.7,4,101,B,220,55,0.00010806877361266026,0.00010806877361266026,20000
1.0,0,11,A,195,50,0.000341173314258387,0.000341173314258387,20000
1.0,0,29,A,195,50,0.0004385944665432317,0.0004385944665432317,20000
1.0,0,47,A,195,50,0.00046176725638274546,0.00046176725638274546,20000
1.0,0,71,A,195,50,0.0004954546253148341,0.0004954546253148341,20000
1.0,0,101,A,195,50,0.0004257185806218312,0.0004257185806218312,20000
1.0,0,11,B,195,50,0.0003474990097435932,0.0003474990097435932,20000
1.0,0,29,B,195,50,0.0005001366819173163,0.0005001366819173163,20000
1.0,0,47,B,195,50,0.00033717716091032155,0.00033717716091032155,20000
1.0,0,71,B,195,50,0.00023747110341224063,0.00023747110341224063,20000
1.0,0,101,B,195,50,0.0004739089653340846,0.0004739089653340846,20000
1.0,1,11,A,196,49,0.00034570813152846343,0.00034570813152846343,20000
1.0,1,29,A,196,49,0.0004504447069759016,0.0004504447069759016,20000
1.0,1,47,A,196,49,0.00046793166856881233,0.00046793166856881233,20000
1.0,1,71,A,196,49,0.0005005250176078126,0.0005005250176078126,20000
1.0,1,101,A,196,49,0.0004357000933905011,0.0004357000933905011,20000
1.0,1,11,B,196,49,0.0003718689945687601,0.0003718689945687601,20000
1.0,1,29,B,196,49,0.0005229004752295507,0.0005229004752295507,20000
1.0,1,47,B,196,49,0.0003548572064129234,0.0003548572064129234,20000
1.0,1,71,B,196,49,0.0002521890485948981,0.0002521890485948981,20000
