cutoff_bohr,fold,seed,scheme,n_train,n_test,best_standardized_mse,final_standardized_mse,best_step
0.15,0,11,A,128,28,0.009888670030041936,0.009888670030041936,20000
0.15,0,29,A,128,28,0.008810433533730486,0.008810433533730486,20000
0.15,0,47,A,128,28,0.009111050408605662,0.009111050408605662,20000
0.15,0,71,A,128,28,0.009883433183324542,0.009883433183324542,20000
0.15,0,101,A,128,28,0.007772476085737836,0.007772476085737836,20000
0.15,0,11,B,128,28,2.3402733906429394e-05,2.3402733906429394e-05,20000
0.15,0,29,B,128,28,3.327933288140025e-05,3.327933288140025e-05,20000
0.15,0,47,B,128,28,3.0315503419032308e-05,3.0315503419032308e-05,20000
0.15,0,71,B,128,28,2.7452806728587443e-05,2.7452806728587443e-05,20000
0.15,0,101,B,128,28,2.4203669712318444e-05,2.4203669712318444e-05,20000
0.15,1,11,A,123,33,0.010324770256039685,0.010324770256039685,20000
0.15,1,29,A,123,33,0.00947167943790667,0.00947167943790667,20000
0.15,1,47,A,123,33,0.009536170029378014,0.009536170029378014,20000
0.15,1,71,A,123,33,0.010320998198678578,0.010320998198678578,20000
0.15,1,101,A,123,33,0.008157541593543476,0.008157541593543476,20000
0.15,1,11,B,123,33,2.247351152350568e-05,2.247351152350568e-05,20000
0.15,1,29,B,123,33,3.22303510936848e-05,3.22303510936848e-05,20000
0.15,1,47,B,123,33,2.9086974393431903e-05,2.9086974393431903e-05,20000
0.15,1,71,B,123,33,2.5914339271739666e-05,2.5914339271739666e-05,20000
0.15,1,101,B,123,33,2.2904354386872867e-05,2.2904354386872867e-05,20000
0.15,2,11,A,131,25,0.00859430340274493,0.00859430340274493,20000
0.15,2,29,A,131,25,0.007674079205381657,0.007674079205381657,20000
0.15,2,47,A,131,25,0.007999309037606693,0.007999309037606693,20000
0.15,2,71,A,131,25,0.008586707579178563,0.008586707579178563,20000
0.15,2,101,A,131,25,0.0067044214344223795,0.0067044214344223795,20000
0.15,2,11,B,131,25,2.4020724016357135e-05,2.4020724016357135e-05,20000
0.15,2,29,B,131,25,3.258635810877268e-05,3.258635810877268e-05,20000
0.15,2,47,B,131,25,3.055748902611555e-05,3.055748902611555e-05,20000
0.15,2,71,B,131,25,2.7557354189469922e-05,2.7557354189469922e-05,20000
0.15,2,101,B,131,25,2.411987627065984e-05,2.411987627065984e-05,20000
0.15,3,11,A,118,38,0.011321609747601234,0.011321609747601234,20000
0.15,3,29,A,118,38,0.010154680231851584,0.010154680231851584,20000
0.15,3,47,A,118,38,0.010258884618670023,0.010258884618670023,20000
0.15,3,71,A,118,38,0.011244177113258293,0.011244177113258293,20000
0.15,3,101,A,118,38,0.008699168678031732,0.008699168678031732,20000
0.15,3,11,B,118,38,2.2585561275175996e-05,2.2585561275175996e-05,20000
0.15,3,29,B,118,38,3.1810819907442885e-05,3.1810819907442885e-05,20000
0.15,3,47,B,118,38,2.8940329894479166e-05,2.8940329894479166e-05,20000
0.15,3,71,B,118,38,2.6061801427722593e-05,2.6061801427722593e-05,20000
0.15,3,101,B,118,38,2.284187887915512e-05,2.284187887915512e-05,20000
0.15,4,11,A,124,32,0.010762867749552775,0.010762867749552775,20000
0.15,4,29,A,124,32,0.009785052834800799,0.009785052834800799,20000
0.15,4,47,A,124,32,0.0099441057093743,0.0099441057093743,20000
0.15,4,71,A,124,32,0.010712132104284271,0.010712132104284271,20000
0.15,4,101,A,124,32,0.008267024251179658,0.008267024251179658,20000
0.15,4,11,B,124,32,2.5019691775522596e-05,2.5019691775522596e-05,20000
0.15,4,29,B,124,32,3.5469586784538726e-05,3.5469586784538726e-05,20000
0.15,4,47,B,124,32,3.198459275434142e-05,3.198459275434142e-05,20000
0.15,4,71,B,124,32,2.8727942925295896e-05,2.8727942925295896e-05,20000
0.15,4,101,B,124,32,2.560649612485829e-05,2.560649612485829e-05,20000
0.25,0,11,A,122,34,0.004670780023970328,0.004670780023970328,20000
0.25,0,29,A,122,34,0.004212325470095465,0.004212325470095465,20000
0.25,0,47,A,122,34,0.003759508864204819,0.003759508864204819,20000
0.25,0,71,A,122,34,0.004727731365008425,0.004727731365008425,20000
0.25,0,101,A,122,34,0.0036899931994550314,0.0036899931994550314,20000
0.25,0,11,B,122,34,5.34478070061684e-06,5.34478070061684e-06,20000
0.25,0,29,B,122,34,7.364571549937759e-06,7.364571549937759e-06,20000
0.25,0,47,B,122,34,6.534907161158449e-06,6.534907161158449e-06,20000
0.25,0,71,B,122,34,7.220196927825476e-06,7.220196927825476e-06,20000
0.25,0,101,B,122,34,5.090083066748165e-06,5.090083066748165e-06,20000
0.25,1,11,A,121,35,0.0033752565125081636,0.0033752565125081636,20000
0.25,1,29,A,121,35,0.0029549013377780623,0.0029549013377780623,20000
0.25,1,47,A,121,35,0.003246295183017582,0.003246295183017582,20000
0.25,1,71,A,121,35,0.0034321119493597794,0.0034321119493597794,20000
0.25,1,101,A,121,35,0.0026973858115556314,0.0026973858115556314,20000
0.25,1,11,B,121,35,5.333472729318624e-06,5.333472729318624e-06,20000
0.25,1,29,B,121,35,8.899930329888697e-06,8.899930329888697e-06,20000
0.25,1,47,B,121,35,7.074437584314944e-06,7.074437584314944e-06,20000
0.25,1,71,B,121,35,6.258364879891416e-06,6.258364879891416e-06,20000
0.25,1,101,B,121,35,5.344999487330498e-06,5.344999487330498e-06,20000
0.25,2,11,A,127,29,0.004033934678467755,0.004033934678467755,20000
0.25,2,29,A,127,29,0.003648718844205778,0.003648718844205778,20000
0.25,2,47,A,127,29,0.0033695373375608843,0.0033695373375608843,20000
0.25,2,71,A,127,29,0.004085006788318044,0.004085006788318044,20000
0.25,2,101,A,127,29,0.0032937270558759278,0.0032937270558759278,20000
0.25,2,11,B,127,29,5.488201645042036e-06,5.488201645042036e-06,20000
0.25,2,29,B,127,29,7.053543288682895e-06,7.053543288682895e-06,20000
0.25,2,47,B,127,29,6.343517548146499e-06,6.343517548146499e-06,20000
0.25,2,71,B,127,29,7.203538256250734e-06,7.203538256250734e-06,20000
0.25,2,101,B,127,29,4.823332796433788e-06,4.823332796433788e-06,20000
0.25,3,11,A,125,31,0.004078156993139883,0.004078156993139883,20000
0.25,3,29,A,125,31,0.0035877035372529936,0.0035877035372529936,20000
0.25,3,47,A,125,31,0.0038500485722681773,0.0038500485722681773,20000
0.25,3,71,A,125,31,0.004120037709217629,0.004120037709217629,20000
0.25,3,101,A,125,31,0.003234393146018916,0.003234393146018916,20000
0.25,3,11,B,125,31,5.707072090817643e-06,5.707072090817643e-06,20000
0.25,3,29,B,125,31,8.695182088574718e-06,8.695182088574718e-06,20000
0.25,3,47,B,125,31,6.9847576603798305e-06,6.9847576603798305e-06,20000
0.25,3,71,B,125,31,7.51853772945137e-06,7.51853772945137e-06,20000
0.25,3,101,B,125,31,5.5191177162048555e-06,5.5191177162048555e-06,20000
0.25,4,11,A,129,27,0.004280559656815483,0.004280559656815483,20000
0.25,4,29,A,129,27,0.0038609753294852425,0.0038609753294852425,20000
0.25,4,47,A,129,27,0.004113611510731264,0.004113611510731264,20000
0.25,4,71,A,129,27,0.0043476586608869,0.0043476586608869,20000
0.25,4,101,A,129,27,0.0034888873221011656,0.0034888873221011656,20000
0.25,4,11,B,129,27,5.716573728832887e-06,5.716573728832887e-06,20000
0.25,4,29,B,129,27,8.526266564843045e-06,8.526266564843045e-06,20000
0.25,4,47,B,129,27,6.947775037614707e-06,6.947775037614707e-06,20000
0.25,4,71,B,129,27,7.686613659900866e-06,7.686613659900866e-06,20000
0.25,4,101,B,129,27,5.456576455742878e-06,5.456576455742878e-06,20000
0.4,0,11,A,121,35,0.002292905769345458,0.002292905769345458,20000
0.4,0,29,A,121,35,0.002021866490720973,0.002021866490720973,20000
0.4,0,47,A,121,35,0.0018745955928545406,0.0018745955928545406,20000
0.4,0,71,A,121,35,0.0022621466485434117,0.0022621466485434117,20000
0.4,0,101,A,121,35,0.0019808152680057633,0.0019808152680057633,20000
0.4,0,11,B,121,35,1.5904870754467568e-06,1.5904870754467568e-06,20000
0.4,0,29,B,121,35,1.0057707105887754e-06,1.0057707105887754e-06,20000
0.4,0,47,B,121,35,1.2018989298897218e-06,1.2018989298897218e-06,20000
0.4,0,71,B,121,35,1.6329747412358252e-06,1.6329747412358252e-06,20000
0.4,0,101,B,121,35,8.036517529357274e-07,8.036517529357274e-07,20000
0.4,1,11,A,125,31,0.0018766155686189949,0.0018766155686189949,20000
0.4,1,29,A,125,31,0.0016891509213081985,0.0016891509213081985,20000
0.4,1,47,A,125,31,0.0016138646652295325,0.0016138646652295325,20000
0.4,1,71,A,125,31,0.001923255850094501,0.001923255850094501,20000
0.4,1,101,A,125,31,0.0016462557142561268,0.0016462557142561268,20000
0.4,1,11,B,125,31,1.0277018814740141e-06,1.0277018814740141e-06,20000
0.4,1,29,B,125,31,8.653282154665181e-07,8.653282154665181e-07,20000
0.4,1,47,B,125,31,1.0910082997215407e-06,1.0910082997215407e-06,20000
0.4,1,71,B,125,31,1.3856814908409859e-06,1.3856814908409859e-06,20000
0.4,1,101,B,125,31,8.168028998468614e-07,8.168028998468614e-07,20000
0.4,2,11,A,133,23,0.0015370215075428204,0.0015370215075428204,20000
0.4,2,29,A,133,23,0.0013263956661275075,0.0013263956661275075,20000
0.4,2,47,A,133,23,0.0012743568477948848,0.0012743568477948848,20000
0.4,2,71,A,133,23,0.0015352478172086857,0.0015352478172086857,20000
0.4,2,101,A,133,23,0.0013268800473883373,0.0013268800473883373,20000
0.4,2,11,B,133,23,7.067829629225972e-07,7.067829629225972e-07,20000
0.4,2,29,B,133,23,6.315999589384135e-07,6.315999589384135e-07,20000
0.4,2,47,B,133,23,7.223474150050521e-07,7.223474150050521e-07,20000
0.4,2,71,B,133,23,9.202760630506717e-07,9.202760630506717e-07,20000
0.4,2,101,B,133,23,6.695665749539831e-07,6.695665749539831e-07,20000
0.4,3,11,A,119,37,0.0019640727821858186,0.0019640727821858186,20000
0.4,3,29,A,119,37,0.0017076608520611041,0.0017076608520611041,20000
0.4,3,47,A,119,37,0.0016314649944289292,0.0016314649944289292,20000
0.4,3,71,A,119,37,0.0019841027199177116,0.0019841027199177116,20000
0.4,3,101,A,119,37,0.001688893741965243,0.001688893741965243,20000
0.4,3,11,B,119,37,9.524571852114388e-07,9.524571852114388e-07,20000
0.4,3,29,B,119,37,7.141178206948636e-07,7.141178206948636e-07,20000
0.4,3,47,B,119,37,1.0077955366407015e-06,1.0077955366407015e-06,20000
0.4,3,71,B,119,37,1.2889520412009976e-06,1.2889520412009976e-06,20000
0.4,3,101,B,119,37,7.390511739964554e-07,7.390511739964554e-07,20000
0.4,4,11,A,126,30,0.001991988038460061,0.001991988038460061,20000
0.4,4,29,A,126,30,0.001870759907357233,0.001870759907357233,20000
0.4,4,47,A,126,30,0.001687941520173083,0.001687941520173083,20000
0.4,4,71,A,126,30,0.002036549874306225,0.002036549874306225,20000
0.4,4,101,A,126,30,0.0017447434287306495,0.0017447434287306495,20000
0.4,4,11,B,126,30,1.1627803089425444e-06,1.1627803089425444e-06,20000
0.4,4,29,B,126,30,1.0357508737703609e-06,1.0357508737703609e-06,20000
0.4,4,47,B,126,30,9.893490657861935e-07,9.893490657861935e-07,20000
0.4,4,71,B,126,30,1.2680236769214786e-06,1.2680236769214786e-06,20000
0.4,4,101,B,126,30,7.04680612769544e-07,7.04680612769544e-07,20000
0.7,0,11,A,123,33,0.0013702260542186773,0.0013702260542186773,20000
0.7,0,29,A,123,33,0.0012775427337196905,0.0012775427337196905,20000
0.7,0,47,A,123,33,0.0016298276199043912,0.0016298276199043912,20000
0.7,0,71,A,123,33,0.0010447889427035925,0.0010447889427035925,20000
0.7,0,101,A,123,33,0.0013721532369607647,0.0013721532369607647,20000
0.7,0,11,B,123,33,3.0863943601273612e-06,3.0863943601273612e-06,20000
0.7,0,29,B,123,33,1.3496867184326639e-06,1.3496867184326639e-06,20000
0.7,0,47,B,123,33,3.0299596962926487e-06,3.0299596962926487e-06,20000
0.7,0,71,B,123,33,2.82723586649504e-06,2.82723586649504e-06,20000
0.7,0,101,B,123,33,2.9787416381253452e-06,2.9787416381253452e-06,20000
0.7,1,11,A,126,30,0.0012118251596741818,0.0012118251596741818,20000
0.7,1,29,A,126,30,0.0011039596041689612,0.0011039596041689612,20000
0.7,1,47,A,126,30,0.0011469799119592674,0.0011469799119592674,20000
0.7,1,71,A,126,30,0.0007497816077628966,0.0007497816077628966,20000
0.7,1,101,A,126,30,0.0011579735385304454,0.0011579735385304454,20000
0.7,1,11,B,126,30,2.1367410049895317e-06,2.1367410049895317e-06,20000
0.7,1,29,B,126,30,1.0421334575151784e-06,1.0421334575151784e-06,20000
0.7,1,47,B,126,30,2.329703247831097e-06,2.329703247831097e-06,20000
0.7,1,71,B,126,30,2.167228822999998e-06,2.167228822999998e-06,20000
0.7,1,101,B,126,30,2.4245275882190537e-06,2.4245275882190537e-06,20000
0.7,2,11,A,126,30,0.001505894619782008,0.001505894619782008,20000
0.7,2,29,A,126,30,0.0013552439398947698,0.0013552439398947698,20000
0.7,2,47,A,126,30,0.0014431000292798536,0.0014431000292798536,20000
0.7,2,71,A,126,30,0.000936921322593696,0.000936921322593696,20000
0.7,2,101,A,126,30,0.0015602835335611122,0.0015602835335611122,20000
0.7,2,11,B,126,30,4.346652140388256e-06,4.346652140388256e-06,20000
0.7,2,29,B,126,30,1.5202385367280452e-06,1.5202385367280452e-06,20000
0.7,2,47,B,126,30,3.387282130497728e-06,3.387282130497728e-06,20000
0.7,2,71,B,126,30,3.436242782988777e-06,3.436242782988777e-06,20000
0.7,2,101,B,126,30,3.056074167275781e-06,3.056074167275781e-06,20000
0.7,3,11,A,120,36,0.0013180406893805493,0.0013180406893805493,20000
0.7,3,29,A,120,36,0.0013066766249256391,0.0013066766249256391,20000
0.7,3,47,A,120,36,0.001219153185847342,0.001219153185847342,20000
0.7,3,71,A,120,36,0.0007891818195016238,0.0007891818195016238,20000
0.7,3,101,A,120,36,0.0013504570194181507,0.0013504570194181507,20000
0.7,3,11,B,120,36,3.7411963560403613e-06,3.7411963560403613e-06,20000
0.7,3,29,B,120,36,1.3535062746151091e-06,1.3535062746151091e-06,20000
0.7,3,47,B,120,36,3.0909264609472558e-06,3.0909264609472558e-06,20000
0.7,3,71,B,120,36,3.091371591887892e-06,3.091371591887892e-06,20000
0.7,3,101,B,120,36,2.8308330040767936e-06,2.8308330040767936e-06,20000
0.7,4,11,A,129,27,0.0015574113314115227,0.0015574113314115227,20000
0.7,4,29,A,129,27,0.0013906778910809216,0.0013906778910809216,20000
0.7,4,47,A,129,27,0.001911373462283814,0.001911373462283814,20000
0.7,4,71,A,129,27,0.0014230472085139756,0.0014230472085139756,20000
0.7,4,101,A,129,27,0.0014844155701475078,0.0014844155701475078,20000
0.7,4,11,B,129,27,3.746402412282074e-06,3.746402412282074e-06,20000
0.7,4,29,B,129,27,1.4515036221981149e-06,1.4515036221981149e-06,20000
0.7,4,47,B,129,27,3.2135542961507005e-06,3.2135542961507005e-06,20000
0.7,4,71,B,129,27,2.9465649866675697e-06,2.9465649866675697e-06,20000
0.7,4,101,B,129,27,3.107514672514517e-06,3.107514672514517e-06,20000
1.0,0,11,A,120,36,0.0003184929493373414,0.0003184929493373414,20000
1.0,0,29,A,120,36,0.0005696973261277336,0.0005696973261277336,20000
1.0,0,47,A,120,36,0.0004388367605098817,0.0004388367605098817,20000
1.0,0,71,A,120,36,0.00044710275909958533,0.00044710275909958533,20000
1.0,0,101,A,120,36,0.0004072445951932714,0.0004072445951932714,20000
1.0,0,11,B,120,36,4.236891907086487e-06,4.236891907086487e-06,20000
