cutoff_bohr,fold,seed,scheme,n_train,n_test,best_standardized_mse,final_standardized_mse,best_step
0.15,0,11,A,320,81,0.009267749793996359,0.009267749793996359,20000
0.15,0,29,A,320,81,0.010413022501124632,0.010413022501124632,20000
0.15,0,47,A,320,81,0.00949185298984517,0.00949185298984517,20000
0.15,0,71,A,320,81,0.009392648509746134,0.009392648509746134,20000
0.15,0,101,A,320,81,0.008994811364451526,0.008994811364451526,20000
0.15,0,11,B,320,81,2.7174090517485594e-05,2.7174090517485594e-05,20000
0.15,0,29,B,320,81,4.3587421432364945e-05,4.3587421432364945e-05,20000
0.15,0,47,B,320,81,3.3546729370584776e-05,3.3546729370584776e-05,20000
0.15,0,71,B,320,81,3.923120660686144e-05,3.923120660686144e-05,20000
0.15,0,101,B,320,81,3.252017864094204e-05,3.252017864094204e-05,20000
0.15,1,11,A,321,80,0.009599062262420069,0.009599062262420069,20000
0.15,1,29,A,321,80,0.010796377288551536,0.010796377288551536,20000
0.15,1,47,A,321,80,0.009860904105616347,0.009860904105616347,20000
0.15,1,71,A,321,80,0.009724918444747314,0.009724918444747314,20000
0.15,1,101,A,321,80,0.009361943887426125,0.009361943887426125,20000
0.15,1,11,B,321,80,2.7311408572047834e-05,2.7311408572047834e-05,20000
0.15,1,29,B,321,80,4.324166471823088e-05,4.324166471823088e-05,20000
0.15,1,47,B,321,80,3.392583225012164e-05,3.392583225012164e-05,20000
0.15,1,71,B,321,80,3.944640136009563e-05,3.944640136009563e-05,20000
0.15,1,101,B,321,80,3.245628445628735e-05,3.245628445628735e-05,20000
0.15,2,11,A,321,80,0.009327924899685869,0.009327924899685869,20000
0.15,2,29,A,321,80,0.01049146794433992,0.01049146794433992,20000
0.15,2,47,A,321,80,0.00956928719641585,0.00956928719641585,20000
0.15,2,71,A,321,80,0.009456180350794374,0.009456180350794374,20000
0.15,2,101,A,321,80,0.009064761413083,0.009064761413083,20000
0.15,2,11,B,321,80,2.7113946371696615e-05,2.7113946371696615e-05,20000
0.15,2,29,B,321,80,4.302271025820213e-05,4.302271025820213e-05,20000
0.15,2,47,B,321,80,3.3694009416985e-05,3.3694009416985e-05,20000
0.15,2,71,B,321,80,3.9163422021734275e-05,3.9163422021734275e-05,20000
0.15,2,101,B,321,80,3.233056090749668e-05,3.233056090749668e-05,20000
0.15,3,11,A,321,80,0.009435728192883725,0.009435728192883725,20000
0.15,3,29,A,321,80,0.010614314081815844,0.010614314081815844,20000
0.15,3,47,A,321,80,0.009663980551918824,0.009663980551918824,20000
0.15,3,71,A,321,80,0.009570924875579399,0.009570924875579399,20000
0.15,3,101,A,321,80,0.009172205037258203,0.009172205037258203,20000
0.15,3,11,B,321,80,2.702897397542396e-05,2.702897397542396e-05,20000
0.15,3,29,B,321,80,4.3031769410464426e-05,4.3031769410464426e-05,20000
0.15,3,47,B,321,80,3.360724686661414e-05,3.360724686661414e-05,20000
0.15,3,71,B,321,80,3.9104710990530946e-05,3.9104710990530946e-05,20000
0.15,3,101,B,321,80,3.2253767387429695e-05,3.2253767387429695e-05,20000
0.15,4,11,A,321,80,0.009585309885413257,0.009585309885413257,20000
0.15,4,29,A,321,80,0.010783388633037386,0.010783388633037386,20000
0.15,4,47,A,321,80,0.00983732507908462,0.00983732507908462,20000
0.15,4,71,A,321,80,0.009731526721051617,0.009731526721051617,20000
0.15,4,101,A,321,80,0.009330242892355308,0.009330242892355308,20000
0.15,4,11,B,321,80,2.741786226083477e-05,2.741786226083477e-05,20000
0.15,4,29,B,321,80,4.373353397713684e-05,4.373353397713684e-05,20000
0.15,4,47,B,321,80,3.4118488017253827e-05,3.4118488017253827e-05,20000
0.15,4,71,B,321,80,3.966747563423778e-05,3.966747563423778e-05,20000
0.15,4,101,B,321,80,3.270591480273166e-05,3.270591480273166e-05,20000
0.25,0,11,A,286,73,0.004260823980214345,0.004260823980214345,20000
0.25,0,29,A,286,73,0.005121370706656215,0.005121370706656215,20000
