cutoff_bohr,fold,seed,scheme,n_train,n_test,best_standardized_mse,final_standardized_mse,best_step
0.15,0,11,A,320,81,4.199661742581165e-06,4.199661742581165e-06,20000
0.15,0,29,A,320,81,3.0020317743916503e-06,3.0020317743916503e-06,20000
0.15,0,47,A,320,81,5.278446350304368e-06,5.278446350304368e-06,20000
0.15,0,71,A,320,81,5.905657801079009e-06,5.905657801079009e-06,20000
0.15,0,101,A,320,81,9.335219917714523e-06,9.335219917714523e-06,20000
0.15,0,11,B,320,81,1.4067559571734309e-06,1.4067559571734309e-06,20000
0.15,0,29,B,320,81,1.2591457198864417e-06,1.2591457198864417e-06,20000
0.15,0,47,B,320,81,2.487152166216695e-06,2.487152166216695e-06,20000
0.15,0,71,B,320,81,1.598889119355552e-06,1.598889119355552e-06,20000
0.15,0,101,B,320,81,1.6265676656159727e-06,1.6265676656159727e-06,20000
0.15,1,11,A,321,80,4.327251587507596e-06,4.327251587507596e-06,20000
0.15,1,29,A,321,80,3.0487582143706995e-06,3.0487582143706995e-06,20000
0.15,1,47,A,321,80,5.450138965612102e-06,5.450138965612102e-06,20000
0.15,1,71,A,321,80,6.068258227826483e-06,6.068258227826483e-06,20000
0.15,1,101,A,321,80,9.682637926179952e-06,9.682637926179952e-06,20000
0.15,1,11,B,321,80,1.3681166703413236e-06,1.3681166703413236e-06,20000
0.15,1,29,B,321,80,1.2091703776059079e-06,1.2091703776059079e-06,20000
0.15,1,47,B,321,80,2.377099772826855e-06,2.377099772826855e-06,20000
0.15,1,71,B,321,80,1.5921776658889358e-06,1.5921776658889358e-06,20000
0.15,1,101,B,321,80,9.692952934987791e-07,9.692952934987791e-07,20000
0.15,2,11,A,321,80,4.224802165395177e-06,4.224802165395177e-06,20000
0.15,2,29,A,321,80,3.0322351925633054e-06,3.0322351925633054e-06,20000
0.15,2,47,A,321,80,5.290124384714683e-06,5.290124384714683e-06,20000
0.15,2,71,A,321,80,5.845165669311131e-06,5.845165669311131e-06,20000
0.15,2,101,A,321,80,9.377019785406366e-06,9.377019785406366e-06,20000
0.15,2,11,B,321,80,1.3814085953159939e-06,1.3814085953159939e-06,20000
0.15,2,29,B,321,80,1.2040366936766544e-06,1.2040366936766544e-06,20000
0.15,2,47,B,321,80,2.351810310883866e-06,2.351810310883866e-06,20000
