cutoff_bohr,fold,seed,scheme,n_train,n_test,best_standardized_mse,final_standardized_mse,best_step
0.15,0,11,A,320,81,0.018054526242413407,0.018054526242413407,40000
0.15,0,29,A,320,81,0.018322505804460106,0.018322505804460106,40000
0.15,0,47,A,320,81,0.018786595096048193,0.018786595096048193,40000
0.15,0,71,A,320,81,0.019315272282417452,0.019315272282417452,40000
0.15,0,101,A,320,81,0.016478577076711985,0.016478577076711985,40000
0.15,0,11,B,320,81,2.581707350595768e-05,2.581707350595768e-05,40000
0.15,0,29,B,320,81,2.4636018067391695e-05,2.4636018067391695e-05,40000
0.15,0,47,B,320,81,2.7356124512291618e-05,2.7356124512291618e-05,40000
0.15,0,71,B,320,81,2.4670900684660066e-05,2.4670900684660066e-05,40000
0.15,0,101,B,320,81,1.9743485095447112e-05,1.9743485095447112e-05,40000
0.15,1,11,A,321,80,0.01878265279384891,0.01878265279384891,40000
0.15,1,29,A,321,80,0.019041551210098408,0.019041551210098408,40000
0.15,1,47,A,321,80,0.01950360971413491,0.01950360971413491,40000
0.15,1,71,A,321,80,0.020099909915964043,0.020099909915964043,40000
0.15,1,101,A,321,80,0.017145167970520115,0.017145167970520115,40000
0.15,1,11,B,321,80,2.687251922354626e-05,2.687251922354626e-05,40000
0.15,1,29,B,321,80,2.4816728077771024e-05,2.4816728077771024e-05,40000
0.15,1,47,B,321,80,2.7584304257094422e-05,2.7584304257094422e-05,40000
0.15,1,71,B,321,80,2.516273351525184e-05,2.516273351525184e-05,40000
0.15,1,101,B,321,80,2.0111320196159315e-05,2.0111320196159315e-05,40000
0.15,2,11,A,321,80,0.018225513791569562,0.018225513791569562,40000
0.15,2,29,A,321,80,0.01848479416786127,0.01848479416786127,40000
0.15,2,47,A,321,80,0.018951572390441367,0.018951572390441367,40000
0.15,2,71,A,321,80,0.01948046659215904,0.01948046659215904,40000
0.15,2,101,A,321,80,0.01663589804443795,0.01663589804443795,40000
0.15,2,11,B,321,80,2.6462961785709396e-05,2.6462961785709396e-05,40000
0.15,2,29,B,321,80,2.462663598033141e-05,2.462663598033141e-05,40000
0.15,2,47,B,321,80,2.73447757381682e-05,2.73447757381682e-05,40000
0.15,2,71,B,321,80,2.4888014177681323e-05,2.4888014177681323e-05,40000
0.15,2,101,B,321,80,1.9935645163605792e-05,1.9935645163605792e-05,40000
0.15,3,11,A,321,80,0.018316845270365777,0.018316845270365777,40000
0.15,3,29,A,321,80,0.01857380713032272,0.01857380713032272,40000
0.15,3,47,A,321,80,0.019027643920367845,0.019027643920367845,40000
0.15,3,71,A,321,80,0.01957032493144291,0.01957032493144291,40000
0.15,3,101,A,321,80,0.016723366691605082,0.016723366691605082,40000
0.15,3,11,B,321,80,2.642172867703035e-05,2.642172867703035e-05,40000
