cutoff_bohr,fold,seed,scheme,n_train,n_test,best_standardized_mse,final_standardized_mse,best_step
0.15,0,11,A,320,81,0.009601873352047884,0.009601873352047884,20000
0.15,0,29,A,320,81,0.00862326305701446,0.00862326305701446,20000
0.15,0,47,A,320,81,0.008863089109445419,0.008863089109445419,20000
0.15,0,71,A,320,81,0.009583283419196597,0.009583283419196597,20000
0.15,0,101,A,320,81,0.007502756346811168,0.007502756346811168,20000
0.15,0,11,B,320,81,2.2677401880818683e-05,2.2677401880818683e-05,20000
0.15,0,29,B,320,81,3.262905061580739e-05,3.262905061580739e-05,20000
0.15,0,47,B,320,81,2.9458880293994547e-05,2.9458880293994547e-05,20000
0.15,0,71,B,320,81,2.605237016265054e-05,2.605237016265054e-05,20000
0.15,0,101,B,320,81,2.3278664265877512e-05,2.3278664265877512e-05,20000
0.15,1,11,A,321,80,0.009994871781472263,0.009994871781472263,20000
0.15,1,29,A,321,80,0.009016288837051665,0.009016288837051665,20000
0.15,1,47,A,321,80,0.009267131348570339,0.009267131348570339,20000
0.15,1,71,A,321,80,0.009974073833105546,0.009974073833105546,20000
0.15,1,101,A,321,80,0.007789850186256463,0.007789850186256463,20000
0.15,1,11,B,321,80,2.2941176483142237e-05,2.2941176483142237e-05,20000
0.15,1,29,B,321,80,3.272282933567994e-05,3.272282933567994e-05,20000
0.15,1,47,B,321,80,2.9547890638711328e-05,2.9547890638711328e-05,20000
0.15,1,71,B,321,80,2.634680175618367e-05,2.634680175618367e-05,20000
0.15,1,101,B,321,80,2.3415042696849825e-05,2.3415042696849825e-05,20000
0.15,2,11,A,321,80,0.009680241857238585,0.009680241857238585,20000
0.15,2,29,A,321,80,0.008705100902866662,0.008705100902866662,20000
0.15,2,47,A,321,80,0.008941741542591905,0.008941741542591905,20000
0.15,2,71,A,321,80,0.009663053515175275,0.009663053515175275,20000
0.15,2,101,A,321,80,0.007543225981488183,0.007543225981488183,20000
0.15,2,11,B,321,80,2.273898738889766e-05,2.273898738889766e-05,20000
0.15,2,29,B,321,80,3.251328450423484e-05,3.251328450423484e-05,20000
0.15,2,47,B,321,80,2.934798172203859e-05,2.934798172203859e-05,20000
0.15,2,71,B,321,80,2.610690739494544e-05,2.610690739494544e-05,20000
0.15,2,101,B,321,80,2.320951140911957e-05,2.320951140911957e-05,20000
0.15,3,11,A,321,80,0.009774554635618141,0.009774554635618141,20000
0.15,3,29,A,321,80,0.008803183324648606,0.008803183324648606,20000
0.15,3,47,A,321,80,0.009033042085332782,0.009033042085332782,20000
0.15,3,71,A,321,80,0.009760557204845885,0.009760557204845885,20000
0.15,3,101,A,321,80,0.007615184652274673,0.007615184652274673,20000
0.15,3,11,B,321,80,2.2677535289814183e-05,2.2677535289814183e-05,20000
0.15,3,29,B,321,80,3.243931282568854e-05,3.243931282568854e-05,20000
0.15,3,47,B,321,80,2.9271709613021004e-05,2.9271709613021004e-05,20000
0.15,3,71,B,321,80,2.6042713352021197e-05,2.6042713352021197e-05,20000
0.15,3,101,B,321,80,2.3175394003899196e-05,2.3175394003899196e-05,20000
0.15,4,11,A,321,80,0.009961052701147709,0.009961052701147709,20000
0.15,4,29,A,321,80,0.008981117369068356,0.008981117369068356,20000
0.15,4,47,A,321,80,0.009234743668028865,0.009234743668028865,20000
0.15,4,71,A,321,80,0.00993820692948339,0.00993820692948339,20000
0.15,4,101,A,321,80,0.007778642622144575,0.007778642622144575,20000
0.15,4,11,B,321,80,2.2995652305537157e-05,2.2995652305537157e-05,20000
0.15,4,29,B,321,80,3.282669538355407e-05,3.282669538355407e-05,20000
0.15,4,47,B,321,80,2.9694839712122173e-05,2.9694839712122173e-05,20000
0.15,4,71,B,321,80,2.6398972700008847e-05,2.6398972700008847e-05,20000
0.15,4,101,B,321,80,2.349730142039614e-05,2.349730142039614e-05,20000
0.25,0,11,A,286,73,0.0038684256459546314,0.0038684256459546314,20000
0.25,0,29,A,286,73,0.0034295791771597676,0.0034295791771597676,20000
0.25,0,47,A,286,73,0.0036849414645319122,0.0036849414645319122,20000
0.25,0,71,A,286,73,0.003922699458658686,0.003922699458658686,20000
0.25,0,101,A,286,73,0.0031197994928499227,0.0031197994928499227,20000
0.25,0,11,B,286,73,5.0842084765425485e-06,5.0842084765425485e-06,20000
0.25,0,29,B,286,73,7.851811081505395e-06,7.851811081505395e-06,20000
0.25,0,47,B,286,73,6.3756465665017155e-06,6.3756465665017155e-06,20000
0.25,0,71,B,286,73,6.847564512211539e-06,6.847564512211539e-06,20000
0.25,0,101,B,286,73,4.953656750444157e-06,4.953656750444157e-06,20000
0.25,1,11,A,288,71,0.004063761568077833,0.004063761568077833,20000
0.25,1,29,A,288,71,0.003634325517721884,0.003634325517721884,20000
0.25,1,47,A,288,71,0.003869948220535948,0.003869948220535948,20000
0.25,1,71,A,288,71,0.004119257034128473,0.004119257034128473,20000
0.25,1,101,A,288,71,0.003275802666284775,0.003275802666284775,20000
0.25,1,11,B,288,71,5.461958194043287e-06,5.461958194043287e-06,20000
0.25,1,29,B,288,71,8.222154650607668e-06,8.222154650607668e-06,20000
0.25,1,47,B,288,71,6.735594128335854e-06,6.735594128335854e-06,20000
0.25,1,71,B,288,71,7.297960244930205e-06,7.297960244930205e-06,20000
0.25,1,101,B,288,71,5.2601148283561145e-06,5.2601148283561145e-06,20000
0.25,2,11,A,287,72,0.0039645586967490135,0.0039645586967490135,20000
0.25,2,29,A,287,72,0.003536857569366969,0.003536857569366969,20000
0.25,2,47,A,287,72,0.0037689623063363945,0.0037689623063363945,20000
0.25,2,71,A,287,72,0.004023162914794001,0.004023162914794001,20000
0.25,2,101,A,287,72,0.003205102843771837,0.003205102843771837,20000
0.25,2,11,B,287,72,5.226703016959349e-06,5.226703016959349e-06,20000
0.25,2,29,B,287,72,7.889489934191671e-06,7.889489934191671e-06,20000
0.25,2,47,B,287,72,6.443563871294175e-06,6.443563871294175e-06,20000
0.25,2,71,B,287,72,6.985800415378761e-06,6.985800415378761e-06,20000
0.25,2,101,B,287,72,5.020706237741496e-06,5.020706237741496e-06,20000
0.25,3,11,A,288,71,0.004053005672927035,0.004053005672927035,20000
0.25,3,29,A,288,71,0.0036349676713770176,0.0036349676713770176,20000
0.25,3,47,A,288,71,0.003867214277610024,0.003867214277610024,20000
0.25,3,71,A,288,71,0.004113756548813148,0.004113756548813148,20000
0.25,3,101,A,288,71,0.003279010412454939,0.003279010412454939,20000
0.25,3,11,B,288,71,5.527714371842345e-06,5.527714371842345e-06,20000
0.25,3,29,B,288,71,8.34122032642398e-06,8.34122032642398e-06,20000
0.25,3,47,B,288,71,6.839183675207468e-06,6.839183675207468e-06,20000
0.25,3,71,B,288,71,7.3828576260911106e-06,7.3828576260911106e-06,20000
0.25,3,101,B,288,71,5.3310872625855745e-06,5.3310872625855745e-06,20000
0.25,4,11,A,287,72,0.004018792299705487,0.004018792299705487,20000
0.25,4,29,A,287,72,0.0035867958377178567,0.0035867958377178567,20000
0.25,4,47,A,287,72,0.003820764807202047,0.003820764807202047,20000
0.25,4,71,A,287,72,0.004075578853452301,0.004075578853452301,20000
0.25,4,101,A,287,72,0.00324244779274069,0.00324244779274069,20000
0.25,4,11,B,287,72,5.300840230753965e-06,5.300840230753965e-06,20000
0.25,4,29,B,287,72,7.9417737490282e-06,7.9417737490282e-06,20000
0.25,4,47,B,287,72,6.530402528061493e-06,6.530402528061493e-06,20000
0.25,4,71,B,287,72,7.074168819578789e-06,7.074168819578789e-06,20000
0.25,4,101,B,287,72,5.089552299848758e-06,5.089552299848758e-06,20000
0.4,0,11,A,255,65,0.001842835253884721,0.001842835253884721,20000
0.4,0,29,A,255,65,0.0016311155905337096,0.0016311155905337096,20000
0.4,0,47,A,255,65,0.0015534759117468884,0.0015534759117468884,20000
0.4,0,71,A,255,65,0.0018619732487700665,0.0018619732487700665,20000
0.4,0,101,A,255,65,0.0016052881314913647,0.0016052881314913647,20000
0.4,0,11,B,255,65,9.030505173654389e-07,9.030505173654389e-07,20000
0.4,0,29,B,255,65,1.1507532774891038e-06,1.1507532774891038e-06,20000
0.4,0,47,B,255,65,9.240695177561219e-07,9.240695177561219e-07,20000
0.4,0,71,B,255,65,1.1422490857029335e-06,1.1422490857029335e-06,20000
0.4,0,101,B,255,65,6.750502778535699e-07,6.750502778535699e-07,20000
0.4,1,11,A,257,63,0.0018790592677787377,0.0018790592677787377,20000
0.4,1,29,A,257,63,0.001658354314699315,0.001658354314699315,20000
0.4,1,47,A,257,63,0.0015808449171447697,0.0015808449171447697,20000
0.4,1,71,A,257,63,0.0019056014004842582,0.0019056014004842582,20000
0.4,1,101,A,257,63,0.0016323588159945016,0.0016323588159945016,20000
0.4,1,11,B,257,63,1.0193882440486716e-06,1.0193882440486716e-06,20000
0.4,1,29,B,257,63,1.1910324865700057e-06,1.1910324865700057e-06,20000
0.4,1,47,B,257,63,1.0044294671924606e-06,1.0044294671924606e-06,20000
0.4,1,71,B,257,63,1.266483332364959e-06,1.266483332364959e-06,20000
0.4,1,101,B,257,63,7.276273546960127e-07,7.276273546960127e-07,20000
0.4,2,11,A,256,64,0.0018411491505172693,0.0018411491505172693,20000
0.4,2,29,A,256,64,0.0016160938223163009,0.0016160938223163009,20000
0.4,2,47,A,256,64,0.001536410018881064,0.001536410018881064,20000
0.4,2,71,A,256,64,0.0018613506885117098,0.0018613506885117098,20000
0.4,2,101,A,256,64,0.0015990016493173454,0.0015990016493173454,20000
0.4,2,11,B,256,64,9.703547009834773e-07,9.703547009834773e-07,20000
0.4,2,29,B,256,64,1.099833974084004e-06,1.099833974084004e-06,20000
0.4,2,47,B,256,64,9.629038252581087e-07,9.629038252581087e-07,20000
0.4,2,71,B,256,64,1.187032147891962e-06,1.187032147891962e-06,20000
0.4,2,101,B,256,64,7.13596385407765e-07,7.13596385407765e-07,20000
0.4,3,11,A,256,64,0.001913694587752183,0.001913694587752183,20000
0.4,3,29,A,256,64,0.0016902717810742887,0.0016902717810742887,20000
0.4,3,47,A,256,64,0.0016071449870346585,0.0016071449870346585,20000
0.4,3,71,A,256,64,0.0019380603851207436,0.0019380603851207436,20000
0.4,3,101,A,256,64,0.00166518049087471,0.00166518049087471,20000
0.4,3,11,B,256,64,1.008752076156235e-06,1.008752076156235e-06,20000
0.4,3,29,B,256,64,1.1502704988323513e-06,1.1502704988323513e-06,20000
0.4,3,47,B,256,64,9.93855640141462e-07,9.93855640141462e-07,20000
0.4,3,71,B,256,64,1.2273787937792575e-06,1.2273787937792575e-06,20000
0.4,3,101,B,256,64,7.297557738007925e-07,7.297557738007925e-07,20000
0.4,4,11,A,256,64,0.0019131720153808044,0.0019131720153808044,20000
0.4,4,29,A,256,64,0.001696722210301894,0.001696722210301894,20000
0.4,4,47,A,256,64,0.001614083206845808,0.001614083206845808,20000
0.4,4,71,A,256,64,0.0019368142029665715,0.0019368142029665715,20000
0.4,4,101,A,256,64,0.001670625318411625,0.001670625318411625,20000
0.4,4,11,B,256,64,1.0025345984453505e-06,1.0025345984453505e-06,20000
0.4,4,29,B,256,64,1.1345436004663565e-06,1.1345436004663565e-06,20000
0.4,4,47,B,256,64,9.899007539798671e-07,9.899007539798671e-07,20000
0.4,4,71,B,256,64,1.2259361580933387e-06,1.2259361580933387e-06,20000
0.4,4,101,B,256,64,7.182616353205976e-07,7.182616353205976e-07,20000
0.7,0,11,A,220,55,0.0013673053049358115,0.0013673053049358115,20000
0.7,0,29,A,220,55,0.0012202523351058832,0.0012202523351058832,20000
0.7,0,47,A,220,55,0.0013678694301859468,0.0013678694301859468,20000
0.7,0,71,A,220,55,0.0008552226578473504,0.0008552226578473504,20000
0.7,0,101,A,220,55,0.0013812113279033891,0.0013812113279033891,20000
0.7,0,11,B,220,55,2.9393910230454174e-06,2.9393910230454174e-06,20000
0.7,0,29,B,220,55,1.2308430211586288e-06,1.2308430211586288e-06,20000
0.7,0,47,B,220,55,2.801772626617192e-06,2.801772626617192e-06,20000
0.7,0,71,B,220,55,2.6178774163697983e-06,2.6178774163697983e-06,20000
0.7,0,101,B,220,55,2.6933765897821617e-06,2.6933765897821617e-06,20000
0.7,1,11,A,220,55,0.0014285651571432517,0.0014285651571432517,20000
0.7,1,29,A,220,55,0.0012921027319386228,0.0012921027319386228,20000
0.7,1,47,A,220,55,0.0015085654398412265,0.0015085654398412265,20000
0.7,1,71,A,220,55,0.0009226655187453482,0.0009226655187453482,20000
0.7,1,101,A,220,55,0.0014444045667383373,0.0014444045667383373,20000
0.7,1,11,B,220,55,3.3793460079033836e-06,3.3793460079033836e-06,20000
0.7,1,29,B,220,55,1.330974078693701e-06,1.330974078693701e-06,20000
0.7,1,47,B,220,55,3.0333218880606662e-06,3.0333218880606662e-06,20000
0.7,1,71,B,220,55,2.8447963747542422e-06,2.8447963747542422e-06,20000
0.7,1,101,B,220,55,2.9254216171509514e-06,2.9254216171509514e-06,20000
0.7,2,11,A,220,55,0.0013961241418676573,0.0013961241418676573,20000
0.7,2,29,A,220,55,0.0012761007720760726,0.0012761007720760726,20000
0.7,2,47,A,220,55,0.0015240063016785143,0.0015240063016785143,20000
0.7,2,71,A,220,55,0.0008941969777509431,0.0008941969777509431,20000
0.7,2,101,A,220,55,0.0014082653003768368,0.0014082653003768368,20000
0.7,2,11,B,220,55,3.2825190360839197e-06,3.2825190360839197e-06,20000
0.7,2,29,B,220,55,1.3309514778622443e-06,1.3309514778622443e-06,20000
0.7,2,47,B,220,55,2.9988666014772756e-06,2.9988666014772756e-06,20000
0.7,2,71,B,220,55,2.801037147479515e-06,2.801037147479515e-06,20000
0.7,2,101,B,220,55,2.8887774350445893e-06,2.8887774350445893e-06,20000
0.7,3,11,A,220,55,0.0013266820414593922,0.0013266820414593922,20000
0.7,3,29,A,220,55,0.001210996348393932,0.001210996348393932,20000
0.7,3,47,A,220,55,0.0014422144241219399,0.0014422144241219399,20000
0.7,3,71,A,220,55,0.0008557518910979605,0.0008557518910979605,20000
0.7,3,101,A,220,55,0.0013465002981617946,0.0013465002981617946,20000
0.7,3,11,B,220,55,3.306969035477853e-06,3.306969035477853e-06,20000
0.7,3,29,B,220,55,1.3282814532700987e-06,1.3282814532700987e-06,20000
0.7,3,47,B,220,55,3.0155741485915155e-06,3.0155741485915155e-06,20000
0.7,3,71,B,220,55,2.809986736920515e-06,2.809986736920515e-06,20000
0.7,3,101,B,220,55,2.900751623022195e-06,2.900751623022195e-06,20000
0.7,4,11,A,220,55,0.0014202320545962852,0.0014202320545962852,20000
0.7,4,29,A,220,55,0.0012992214128048813,0.0012992214128048813,20000
0.7,4,47,A,220,55,0.001553628944545895,0.001553628944545895,20000
0.7,4,71,A,220,55,0.0009226578527304013,0.0009226578527304013,20000
0.7,4,101,A,220,55,0.0014377757815729835,0.0014377757815729835,20000
0.7,4,11,B,220,55,3.352559255384809e-06,3.352559255384809e-06,20000
0.7,4,29,B,220,55,1.3381675859948294e-06,1.3381675859948294e-06,20000
0.7,4,47,B,220,55,3.0405102228483073e-06,3.0405102228483073e-06,20000
0.7,4,71,B,220,55,2.847841542088981e-06,2.847841542088981e-06,20000
0.7,4,101,B,220,55,2.9048306381427052e-06,2.9048306381427052e-06,20000
1.0,0,11,A,195,50,0.000341173314258387,0.000341173314258387,20000
1.0,0,29,A,195,50,0.0004385944665432317,0.0004385944665432317,20000
1.0,0,47,A,195,50,0.00046176725638274546,0.00046176725638274546,20000
1.0,0,71,A,195,50,0.0004954546253148341,0.0004954546253148341,20000
1.0,0,101,A,195,50,0.0004257185806218312,0.0004257185806218312,20000
1.0,0,11,B,195,50,4.712359148997794e-06,4.712359148997794e-06,20000
1.0,0,29,B,195,50,2.0945781530795034e-06,2.0945781530795034e-06,20000
1.0,0,47,B,195,50,3.9880643562703135e-06,3.9880643562703135e-06,20000
1.0,0,71,B,195,50,3.828309392690456e-06,3.828309392690456e-06,20000
1.0,0,101,B,195,50,4.088103613516769e-06,4.088103613516769e-06,20000
1.0,1,11,A,196,49,0.00034570813152846343,0.00034570813152846343,20000
1.0,1,29,A,196,49,0.0004504447069759016,0.0004504447069759016,20000
1.0,1,47,A,196,49,0.00046793166856881233,0.00046793166856881233,20000
1.0,1,71,A,196,49,0.0005005250176078126,0.0005005250176078126,20000
1.0,1,101,A,196,49,0.0004357000933905011,0.0004357000933905011,20000
1.0,1,11,B,196,49,5.164375206874386e-06,5.164375206874386e-06,20000
1.0,1,29,B,196,49,2.2720707378990648e-06,2.2720707378990648e-06,20000
