cutoff_bohr,fold,seed,scheme,n_train,n_test,best_standardized_mse,final_standardized_mse,best_step
0.15,0,11,A,320,81,0.009599664485276018,0.009599664485276018,20000
0.15,0,29,A,320,81,0.008625025868185834,0.008625025868185834,20000
0.15,0,47,A,320,81,0.008861231882611589,0.008861231882611589,20000
0.15,0,71,A,320,81,0.009584964842223879,0.009584964842223879,20000
0.15,0,101,A,320,81,0.007497466289160452,0.007497466289160452,20000
0.15,0,11,B,320,81,2.2032726503140845e-05,2.2032726503140845e-05,20000
0.15,0,29,B,320,81,3.1840036529193915e-05,3.1840036529193915e-05,20000
0.15,0,47,B,320,81,2.863544546980953e-05,2.863544546980953e-05,20000
0.15,0,71,B,320,81,2.5371456336860343e-05,2.5371456336860343e-05,20000
0.15,0,101,B,320,81,2.2620969735014555e-05,2.2620969735014555e-05,20000
0.15,1,11,A,321,80,0.009989671623726793,0.009989671623726793,20000
0.15,1,29,A,321,80,0.009012206297700992,0.009012206297700992,20000
0.15,1,47,A,321,80,0.009260106664417305,0.009260106664417305,20000
0.15,1,71,A,321,80,0.009971443219520546,0.009971443219520546,20000
0.15,1,101,A,321,80,0.007789037770453377,0.007789037770453377,20000
0.15,1,11,B,321,80,2.2301013957983558e-05,2.2301013957983558e-05,20000
0.15,1,29,B,321,80,3.18775829146649e-05,3.18775829146649e-05,20000
0.15,1,47,B,321,80,2.87379822811046e-05,2.87379822811046e-05,20000
0.15,1,71,B,321,80,2.5645239826177657e-05,2.5645239826177657e-05,20000
0.15,1,101,B,321,80,2.2773401373016878e-05,2.2773401373016878e-05,20000
0.15,2,11,A,321,80,0.009679291065061317,0.009679291065061317,20000
0.15,2,29,A,321,80,0.008703338853269788,0.008703338853269788,20000
0.15,2,47,A,321,80,0.00893440897915038,0.00893440897915038,20000
0.15,2,71,A,321,80,0.009660545557429736,0.009660545557429736,20000
0.15,2,101,A,321,80,0.007543712575226949,0.007543712575226949,20000
0.15,2,11,B,321,80,2.2086861373361268e-05,2.2086861373361268e-05,20000
0.15,2,29,B,321,80,3.170951436343091e-05,3.170951436343091e-05,20000
0.15,2,47,B,321,80,2.8523797970620968e-05,2.8523797970620968e-05,20000
0.15,2,71,B,321,80,2.5403871687712043e-05,2.5403871687712043e-05,20000
0.15,2,101,B,321,80,2.256243354608368e-05,2.256243354608368e-05,20000
0.15,3,11,A,321,80,0.009775445170758559,0.009775445170758559,20000
0.15,3,29,A,321,80,0.00880078087257084,0.00880078087257084,20000
0.15,3,47,A,321,80,0.009028823497372161,0.009028823497372161,20000
0.15,3,71,A,321,80,0.00975476897600483,0.00975476897600483,20000
0.15,3,101,A,321,80,0.007620220532553859,0.007620220532553859,20000
0.15,3,11,B,321,80,2.2037713042013024e-05,2.2037713042013024e-05,20000
0.15,3,29,B,321,80,3.159626524322509e-05,3.159626524322509e-05,20000
0.15,3,47,B,321,80,2.8457965513449145e-05,2.8457965513449145e-05,20000
0.15,3,71,B,321,80,2.532934590265745e-05,2.532934590265745e-05,20000
0.15,3,101,B,321,80,2.251908745109568e-05,2.251908745109568e-05,20000
0.15,4,11,A,321,80,0.00995743477777644,0.00995743477777644,20000
0.15,4,29,A,321,80,0.008987674740333762,0.008987674740333762,20000
0.15,4,47,A,321,80,0.009221661470247793,0.009221661470247793,20000
0.15,4,71,A,321,80,0.00994671063810043,0.00994671063810043,20000
0.15,4,101,A,321,80,0.007771965277352742,0.007771965277352742,20000
0.15,4,11,B,321,80,2.233980668207966e-05,2.233980668207966e-05,20000
0.15,4,29,B,321,80,3.1991098894463676e-05,3.1991098894463676e-05,20000
0.15,4,47,B,321,80,2.8876025044701477e-05,2.8876025044701477e-05,20000
0.15,4,71,B,321,80,2.5706710058249178e-05,2.5706710058249178e-05,20000
0.15,4,101,B,321,80,2.283941528112741e-05,2.283941528112741e-05,20000
0.25,0,11,A,286,73,0.0038618688232890737,0.0038618688232890737,20000
0.25,0,29,A,286,73,0.0034309971339373246,0.0034309971339373246,20000
0.25,0,47,A,286,73,0.0036745173837242216,0.0036745173837242216,20000
0.25,0,71,A,286,73,0.003914796982254465,0.003914796982254465,20000
0.25,0,101,A,286,73,0.0031132062600552793,0.0031132062600552793,20000
0.25,0,11,B,286,73,4.758750428340606e-06,4.758750428340606e-06,20000
0.25,0,29,B,286,73,7.462014420184893e-06,7.462014420184893e-06,20000
0.25,0,47,B,286,73,5.999240245347036e-06,5.999240245347036e-06,20000
0.25,0,71,B,286,73,6.470531355617835e-06,6.470531355617835e-06,20000
0.25,0,101,B,286,73,4.627158209599122e-06,4.627158209599122e-06,20000
0.25,1,11,A,288,71,0.00405741593433308,0.00405741593433308,20000
0.25,1,29,A,288,71,0.003623157332210329,0.003623157332210329,20000
0.25,1,47,A,288,71,0.0038628849842791213,0.0038628849842791213,20000
0.25,1,71,A,288,71,0.004114016978314595,0.004114016978314595,20000
0.25,1,101,A,288,71,0.0032710945818434246,0.0032710945818434246,20000
0.25,1,11,B,288,71,5.125941340087936e-06,5.125941340087936e-06,20000
0.25,1,29,B,288,71,7.827058514809187e-06,7.827058514809187e-06,20000
0.25,1,47,B,288,71,6.347919109828833e-06,6.347919109828833e-06,20000
0.25,1,71,B,288,71,6.917820540099687e-06,6.917820540099687e-06,20000
0.25,1,101,B,288,71,4.921674294381458e-06,4.921674294381458e-06,20000
0.25,2,11,A,287,72,0.0039582813418776825,0.0039582813418776825,20000
0.25,2,29,A,287,72,0.0035331653244533704,0.0035331653244533704,20000
0.25,2,47,A,287,72,0.0037667309827907934,0.0037667309827907934,20000
0.25,2,71,A,287,72,0.00401247976865064,0.00401247976865064,20000
0.25,2,101,A,287,72,0.003199960883541838,0.003199960883541838,20000
0.25,2,11,B,287,72,4.907294050958902e-06,4.907294050958902e-06,20000
0.25,2,29,B,287,72,7.500844750008254e-06,7.500844750008254e-06,20000
0.25,2,47,B,287,72,6.070001406369895e-06,6.070001406369895e-06,20000
0.25,2,71,B,287,72,6.600782877203469e-06,6.600782877203469e-06,20000
0.25,2,101,B,287,72,4.6939213394813016e-06,4.6939213394813016e-06,20000
0.25,3,11,A,288,71,0.004047312390764411,0.004047312390764411,20000
0.25,3,29,A,288,71,0.003627962297698094,0.003627962297698094,20000
0.25,3,47,A,288,71,0.0038634918595050246,0.0038634918595050246,20000
0.25,3,71,A,288,71,0.0041106283513712635,0.0041106283513712635,20000
0.25,3,101,A,288,71,0.0032747965241785863,0.0032747965241785863,20000
0.25,3,11,B,288,71,5.18655068598364e-06,5.18655068598364e-06,20000
0.25,3,29,B,288,71,7.948822205969176e-06,7.948822205969176e-06,20000
0.25,3,47,B,288,71,6.452853131963698e-06,6.452853131963698e-06,20000
0.25,3,71,B,288,71,6.99227740520949e-06,6.99227740520949e-06,20000
0.25,3,101,B,288,71,4.988816043152378e-06,4.988816043152378e-06,20000
0.25,4,11,A,287,72,0.004012496793413159,0.004012496793413159,20000
0.25,4,29,A,287,72,0.00358909340543014,0.00358909340543014,20000
0.25,4,47,A,287,72,0.0038199562714474034,0.0038199562714474034,20000
0.25,4,71,A,287,72,0.004073251727037391,0.004073251727037391,20000
0.25,4,101,A,287,72,0.003234299028871568,0.003234299028871568,20000
0.25,4,11,B,287,72,4.963257712788799e-06,4.963257712788799e-06,20000
0.25,4,29,B,287,72,7.549487635442118e-06,7.549487635442118e-06,20000
0.25,4,47,B,287,72,6.151443917450021e-06,6.151443917450021e-06,20000
0.25,4,71,B,287,72,6.684441682228848e-06,6.684441682228848e-06,20000
0.25,4,101,B,287,72,4.759459542178713e-06,4.759459542178713e-06,20000
0.4,0,11,A,255,65,0.0018348916511195248,0.0018348916511195248,20000
0.4,0,29,A,255,65,0.0016265956314631665,0.0016265956314631665,20000
0.4,0,47,A,255,65,0.0015476125736909022,0.0015476125736909022,20000
0.4,0,71,A,255,65,0.0018592535738588352,0.0018592535738588352,20000
0.4,0,101,A,255,65,0.00160389535084501,0.00160389535084501,20000
0.4,0,11,B,255,65,8.788516649972135e-07,8.788516649972135e-07,20000
0.4,0,29,B,255,65,1.148011490155509e-06,1.148011490155509e-06,20000
0.4,0,47,B,255,65,9.057300169768562e-07,9.057300169768562e-07,20000
0.4,0,71,B,255,65,1.118469288476224e-06,1.118469288476224e-06,20000
0.4,0,101,B,255,65,6.398401509787673e-07,6.398401509787673e-07,20000
0.4,1,11,A,257,63,0.0018740719188190928,0.0018740719188190928,20000
0.4,1,29,A,257,63,0.0016553322479901614,0.0016553322479901614,20000
0.4,1,47,A,257,63,0.0015771188510668925,0.0015771188510668925,20000
0.4,1,71,A,257,63,0.001902539672589251,0.001902539672589251,20000
0.4,1,101,A,257,63,0.00162469640270244,0.00162469640270244,20000
0.4,1,11,B,257,63,9.922231918342137e-07,9.922231918342137e-07,20000
0.4,1,29,B,257,63,1.1972720167306418e-06,1.1972720167306418e-06,20000
0.4,1,47,B,257,63,9.782495814306108e-07,9.782495814306108e-07,20000
0.4,1,71,B,257,63,1.236510317514341e-06,1.236510317514341e-06,20000
