
normal: paper adiabatic displacement = -1
       T       disp    |dev|   min|z|
     400    -1.4732   0.4732   0.9702
     800    -0.6316   0.3684   0.9714
    1200    -1.1011   0.1011   0.9721
    1600    -0.9145   0.0855   0.9721
    2000    -1.0554   0.0554   0.9722
    2400    -0.9563   0.0437   0.9722
    2800    -1.0174   0.0174   0.9722
    3200    -0.9871   0.0129   0.9720
    3600    -0.8797   0.1203   0.9698
    4000    -0.9185   0.0815   0.9681
    4400    -1.0123   0.0123   0.9519
    4800    -0.9130   0.0870   0.9380
    5200    -0.9931   0.0069   0.9666
    5600    -0.9822   0.0178   0.9703

anom2: paper adiabatic displacement = -2
       T       disp    |dev|   min|z|
     400     3.3726   5.3726   0.8745
     800    12.0951  14.0951   0.9380
    1200   -15.5326  13.5326   0.9564
    1600     1.9860   3.9860   0.9520
    2000     1.9896   3.9896   0.9552
    2400     3.9819   5.9819   0.9572
    2800     2.1039   4.1039   0.9581
    3200     2.4333   4.4333   0.9580
    3600    -0.3707   1.6293   0.9568
    4000     0.3447   2.3447   0.9544
    4400    -4.3074   2.3074   0.9421
    4800    -6.8499   4.8499   0.9112
    5200    -0.7646   1.2354   0.9528
    5600    -1.8851   0.1149   0.9585

wrote lowT.json
