env: CPython 3.13.12 arm64 darwin | numpy 2.4.4
4th-order Yoshida, dt=0.03, N=1.45, L=60

normal: g=1.0 g12=1.0 m0=1.0  paper adiabatic displacement = -1
       T       disp   min|z|
    4000    -0.9185   0.9681
    4400    -1.0123   0.9519
    4800    -0.9130   0.9380
    5200    -0.9931   0.9666
    5600    -0.9822   0.9703
    6000    -0.9782   0.9719
    6400    -1.0074   0.9720
    6800    -0.9947   0.9718
    7200    -1.0506   0.9701
    7600    -1.1243   0.9696
    8000    -1.0760   0.9701
    8400    -1.0088   0.9707
    8800    -1.0113   0.9692
    9200    -0.9773   0.9532
    9600    -0.9759   0.9685
   10000    -0.9904   0.9677
   10400    -0.9078   0.9696
   10800    -0.9976   0.9702
   11200    -1.0217   0.9702
   11600    -0.9468   0.9697
   12000    -0.9995   0.9688

anom2: g=1.0 g12=0.0 m0=1.0  paper adiabatic displacement = -2
       T       disp   min|z|
    4000     0.3447   0.9544
    4400    -4.3074   0.9421
    4800    -6.8499   0.9112
    5200    -0.7646   0.9528
    5600    -1.8851   0.9585
    6000    -1.9841   0.9590
    6400    -1.9921   0.9591
    6800    -2.0169   0.9591
    7200    -2.0224   0.9585
    7600    -2.0540   0.9582
    8000    -2.0974   0.9571
    8400    -2.3865   0.9545
    8800    -2.3979   0.9530
    9200    -2.1521   0.9445
    9600    -3.4096   0.9350
   10000    -1.3778   0.9442
   10400    -1.8104   0.9571
   10800    -1.7911   0.9570
   11200    -2.1007   0.9585
   11600    -2.0045   0.9580
   12000    -1.9782   0.9579

wrote plateau.json
