env: CPython 3.13.12 arm64 darwin | numpy 2.4.4
N=1.45 L=60, dt = 0.02*min(1, sqrt(3200/T))  [holds Strang error T*dt^2 fixed]

normal: g=1.0 g12=1.0 m0=1.0  paper adiabatic displacement = -1
       T      dt       disp   min|z|     drift      s
     400  0.0200    -1.4734   0.9702   6.2e-13      2
     800  0.0200    -0.6314   0.9714   3.3e-13      3
    1200  0.0200    -1.1012   0.9721   3.0e-12      3
    1600  0.0200    -0.9143   0.9721   4.1e-12      4
    2400  0.0200    -0.9563   0.9722   9.1e-12      5
    3200  0.0200    -1.0202   0.9719   2.5e-12      5
    4800  0.0163    -0.9765   0.9277   8.0e-12      9
    6400  0.0141    -0.9987   0.9721   6.0e-11     13
    9600  0.0115    -1.0310   0.9559   5.3e-11     22
   12800  0.0100    -0.9947   0.9638   7.0e-11     32

anom1: g=-1.0 g12=0.0 m0=1.0  paper adiabatic displacement = 0
       T      dt       disp   min|z|     drift      s
     400  0.0200    -0.0001   0.9978   1.4e-12      2
     800  0.0200     0.0001   0.9978   1.2e-12      3
    1200  0.0200    -0.0001   0.9978   2.1e-12      3
    1600  0.0200     0.0003   0.9968   5.7e-12      4
    2400  0.0200     0.0002   0.9974   4.3e-12      5
    3200  0.0200     0.0016   0.9961   1.8e-12      5
    4800  0.0163     0.0004   0.9972   7.3e-12      9
    6400  0.0141     0.0000   0.9968   4.4e-11     13
    9600  0.0115     0.0002   0.9969   1.4e-11     22
   12800  0.0100    -0.0003   0.9967   4.2e-11     33

anom2: g=1.0 g12=0.0 m0=1.0  paper adiabatic displacement = -2
       T      dt       disp   min|z|     drift      s
     400  0.0200     3.3730   0.8745   2.6e-13      2
     800  0.0200    12.1180   0.9380   7.5e-14      3
    1200  0.0200   -15.5312   0.9565   2.3e-12      3
    1600  0.0200     1.9735   0.9519   3.7e-12      4
    2400  0.0200     3.9772   0.9572   5.6e-12      5
    3200  0.0200     2.4441   0.9580   5.4e-12      5
    4800  0.0163     2.3938   0.9401   9.0e-12      9
    6400  0.0141    -1.9905   0.9591   4.5e-11     13
    9600  0.0115    -0.2694   0.9450   3.9e-11     22
   12800  0.0100    -2.1146   0.9550   6.1e-11     33

anom3: g=1.0 g12=0.0 m0=1.3  paper adiabatic displacement = -3
       T      dt       disp   min|z|     drift      s
     400  0.0200    -2.0217   0.9395   5.5e-13      2
     800  0.0200     1.5903   0.9626   7.1e-13      3
    1200  0.0200     1.9361   0.9633   2.4e-12      3
    1600  0.0200   -12.0357   0.9635   2.1e-13      4
    2400  0.0200   -15.2774   0.9636   5.3e-13      5
    3200  0.0200    10.6648   0.9636   9.8e-12      5
    4800  0.0163   -12.9661   0.9574   7.0e-12      9
    6400  0.0141   -22.8790   0.9529   2.1e-11     13
    9600  0.0115    -2.2489   0.9608   1.7e-11     22
   12800  0.0100   -23.7029   0.9572   2.0e-11     33

wrote scan2.json
