env: CPython 3.13.12 arm64 darwin | numpy 2.4.4
N=1.45 L=60 dt=0.02 nblocks=1500

normal (g=1.0, g12=1.0, m0=1.0) -- paper adiabatic displacement = -1
        T  displacement  norm drift  wall(s)
      100      -4.33283     1.7e-13      1.9
      200      -3.45159     5.0e-13      2.0
      400      -1.47341     6.2e-13      2.1
      800      -0.63141     3.3e-13      2.6
     1600      -0.91428     4.1e-12      3.6
     3200      -1.02022     2.5e-12      5.5
     6400      -1.00748     1.1e-11      9.4
    12800      -0.98148     2.0e-11     17.1
    25600      -1.21625     6.3e-11     33.2
    51200      -0.99864     9.7e-11     64.2

anom1 (g=-1.0, g12=0.0, m0=1.0) -- paper adiabatic displacement = 0
        T  displacement  norm drift  wall(s)
      100       0.00202     3.7e-14      1.9
      200      -0.00060     1.1e-13      2.0
      400      -0.00009     1.4e-12      2.1
      800       0.00007     1.2e-12      2.6
     1600       0.00029     5.7e-12      3.5
     3200       0.00158     1.8e-12      5.5
     6400      -0.00071     2.3e-11      9.3
    12800       0.00247     4.0e-12     17.2
    25600       0.00149     5.3e-11     32.8
    51200      -0.00680     6.1e-11     64.1

anom2 (g=1.0, g12=0.0, m0=1.0) -- paper adiabatic displacement = -2
        T  displacement  norm drift  wall(s)
      100       6.52557     2.8e-14      1.9
      200       3.64783     1.6e-13      2.0
      400       3.37299     2.6e-13      2.1
      800      12.11801     7.5e-14      2.6
     1600       1.97352     3.7e-12      3.5
     3200       2.44413     5.4e-12      5.5
     6400      -1.99109     1.1e-11      9.4
    12800      -1.98660     3.9e-11     17.4
    25600      12.72479     2.2e-11     33.5
    51200     -27.13912     1.8e-11     64.7

anom3 (g=1.0, g12=0.0, m0=1.3) -- paper adiabatic displacement = -3
        T  displacement  norm drift  wall(s)
      100      -5.39027     9.2e-14      1.9
      200      -3.17498     9.3e-15      2.1
      400      -2.02166     5.5e-13      2.2
      800       1.59028     7.1e-13      2.7
     1600     -12.03569     2.1e-13      3.6
     3200      10.66476     9.8e-12      5.5
     6400     -23.52456     2.9e-12      9.3
    12800     -29.59934     6.0e-12     17.2
    25600      29.35150     2.2e-11     32.5
    51200      14.29695     4.8e-11     63.5

wrote scan_T.json
