nm,benzene_b3lyp,benzene_camb3lyp,aniline_b3lyp,aniline_camb3lyp,nitrobenzene_b3lyp,nitrobenzene_camb3lyp,pNA_b3lyp,pNA_camb3lyp
200,0.0165,0.0004961,2036,204.7,7975,1533,5998,2389
200.5,0.009199,0.0002597,1668,234.1,7521,1213,5909,1997
201,0.005087,0.0001349,1363,273.3,7120,957,5816,1660
201.5,0.002792,6.958e-05,1110,321.6,6767,753.5,5709,1374
202,0.00152,3.562e-05,902.1,378.8,6455,592.8,5580,1134
202.5,0.0008219,1.811e-05,732.8,444.6,6176,466.5,5425,935.9
203,0.0004411,9.142e-06,596.4,518.7,5921,367.7,5242,773.5
203.5,0.0002351,4.583e-06,488.3,600.9,5682,290.4,5029,642.9
204,0.0001244,2.282e-06,404.9,691.3,5451,230.1,4788,539.9
204.5,6.536e-05,1.129e-06,343.1,789.6,5223,182.9,4524,460.9
205,3.411e-05,5.55e-07,300.7,895.8,4993,146,4239,402.9
205.5,1.769e-05,2.711e-07,276.2,1010,4756,116.9,3940,363.5
206,9.109e-06,1.316e-07,268.4,1133,4511,93.84,3632,341.1
206.5,4.662e-06,6.346e-08,276.8,1264,4257,75.54,3320,334.5
207,2.371e-06,3.043e-08,301.3,1404,3995,60.91,3011,343.1
207.5,1.198e-06,1.45e-08,342.2,1555,3727,49.15,2709,366.9
208,6.02e-07,6.873e-09,399.9,1717,3455,39.65,2419,406.2
208.5,3.006e-07,3.239e-09,475.4,1891,3181,31.96,2145,461.9
209,1.492e-07,1.518e-09,569.4,2080,2909,25.71,1889,534.9
209.5,7.367e-08,7.073e-10,682.9,2285,2642,20.64,1653,626.3
210,3.616e-08,3.278e-10,816.7,2507,2383,16.53,1440,737.3
210.5,1.765e-08,1.512e-10,971.5,2749,2134,13.21,1249,869.2
211,8.568e-09,6.934e-11,1148,3011,1898,10.57,1080,1023
211.5,4.137e-09,3.165e-11,1346,3295,1676,8.482,932.6,1199
212,1.987e-09,1.437e-11,1565,3600,1470,6.889,806,1398
212.5,9.497e-10,6.495e-12,1805,3927,1281,5.734,698.6,1619
213,4.516e-10,2.921e-12,2064,4275,1108,4.99,608.7,1862
213.5,2.137e-10,1.308e-12,2340,4642,953.1,4.655,534.4,2126
214,1.006e-10,5.827e-13,2631,5025,814.4,4.755,473.9,2407
214.5,4.714e-11,2.585e-13,2935,5419,691.5,5.347,425.2,2704
215,2.199e-11,1.142e-13,3247,5821,583.5,6.53,386.6,3014
215.5,1.021e-11,5.02e-14,3564,6224,489.6,8.446,356.3,3331
216,4.719e-12,2.198e-14,3883,6623,408.3,11.3,332.8,3651
216.5,2.171e-12,9.586e-15,4199,7010,338.7,15.35,314.5,3970
217,9.949e-13,4.163e-15,4508,7378,279.4,20.96,300.3,4282
217.5,4.539e-13,1.801e-15,4807,7720,229.2,28.58,288.9,4582
218,2.063e-13,7.759e-16,5091,8029,187.1,38.76,279.6,4863
218.5,9.333e-14,3.33e-16,5359,8299,151.9,52.21,271.4,5122
219,4.207e-14,1.424e-16,5606,8523,122.8,69.79,263.9,5352
219.5,1.889e-14,6.067e-17,5832,8696,98.75,92.52,256.5,5549
220,8.446e-15,2.576e-17,6034,8814,79.05,121.6,248.9,5710
220.5,3.763e-15,1.09e-17,6212,8875,63,158.5,241,5832
221,1.671e-15,4.593e-18,6365,8877,49.98,204.9,232.5,5913
221.5,7.389e-16,1.93e-18,6495,8820,39.49,262.6,223.5,5951
222,3.257e-16,8.081e-19,6601,8705,31.06,333.8,214.1,5946
222.5,1.43e-16,3.373e-19,6686,8534,24.34,420.8,204.3,5898
223,6.262e-17,1.403e-19,6750,8312,19,526.2,194.4,5810
223.5,2.732e-17,5.822e-20,6796,8042,14.78,652.7,184.6,5684
224,1.188e-17,2.408e-20,6825,7730,11.46,803.4,175.1,5523
224.5,5.15e-18,9.927e-21,6839,7382,8.862,981,166.4,5330
225,2.225e-18,4.081e-21,6840,7004,6.85,1189,158.6,5109
225.5,9.588e-19,1.673e-21,6830,6603,5.306,1430,152.2,4866
226,4.118e-19,6.841e-22,6809,6186,4.14,1706,147.7,4604
226.5,1.764e-19,2.789e-22,6778,5760,3.283,2022,145.3,4328
227,7.532e-20,1.134e-22,6739,5330,2.685,2377,145.7,4043
227.5,3.208e-20,4.6e-23,6690,4902,2.313,2776,149.2,3754
228,1.362e-20,1.861e-23,6631,4481,2.149,3218,156.4,3463
228.5,5.771e-21,7.512e-24,6564,4073,2.19,3704,167.9,3176
229,2.438e-21,3.024e-24,6486,3680,2.449,4234,184.2,2896
