molecule,functional,state,energy_eV,wavelength_nm,f,hole_particle_dist_ang,type,dominant_transition,dominant_weight_pct
benzene,B3LYP,1,5.3753,230.66,0.0,0.0,dark/weak,HOMO->LUMO,49.6
benzene,B3LYP,2,6.0483,204.99,0.0,0.0,dark/weak,HOMO-1->LUMO,49.1
benzene,B3LYP,3,7.0268,176.45,0.57817,0.0,pi->pi*,HOMO-1->LUMO+1,47.3
benzene,B3LYP,4,7.0268,176.44,0.57825,0.0,pi->pi*,HOMO->LUMO+1,47.3
benzene,B3LYP,5,7.2078,172.01,0.0,0.0,dark/weak,HOMO->LUMO+2,99.3
benzene,B3LYP,6,7.2079,172.01,0.0,0.0,dark/weak,HOMO-1->LUMO+2,99.3
benzene,B3LYP,7,7.5978,163.18,0.0,0.0,dark/weak,HOMO-2->LUMO,50.0
benzene,B3LYP,8,7.6942,161.14,2e-05,0.0,dark/weak,HOMO-2->LUMO+1,53.8
benzene,B3LYP,9,7.6942,161.14,0.0,0.0,dark/weak,HOMO-3->LUMO+1,49.7
benzene,B3LYP,10,7.697,161.08,0.01021,0.0,pi->pi*,HOMO-3->LUMO,53.9
benzene,B3LYP,11,8.0619,153.79,0.0164,0.0,pi->pi*,HOMO->LUMO+3,46.4
benzene,B3LYP,12,8.1368,152.38,0.0,0.0,dark/weak,HOMO-1->LUMO+4,49.6
benzene,CAM-B3LYP,1,5.4583,227.15,0.0,0.0,dark/weak,HOMO->LUMO,49.3
benzene,CAM-B3LYP,2,6.1484,201.65,0.0,0.0,dark/weak,HOMO-1->LUMO,48.9
benzene,CAM-B3LYP,3,7.1165,174.22,0.60057,0.0,pi->pi*,HOMO-1->LUMO+1,47.6
benzene,CAM-B3LYP,4,7.1165,174.22,0.60064,0.0,pi->pi*,HOMO->LUMO+1,47.6
benzene,CAM-B3LYP,5,7.6967,161.09,0.0,0.0,dark/weak,HOMO->LUMO+2,96.9
benzene,CAM-B3LYP,6,7.6968,161.09,0.0,0.0,dark/weak,HOMO-1->LUMO+2,96.9
benzene,CAM-B3LYP,7,7.8909,157.12,0.0,0.0,dark/weak,HOMO-2->LUMO,49.3
benzene,CAM-B3LYP,8,7.9728,155.51,0.01123,0.0,pi->pi*,HOMO-2->LUMO+1,49.8
benzene,CAM-B3LYP,9,7.9938,155.1,0.0,0.0,dark/weak,HOMO-3->LUMO,48.4
benzene,CAM-B3LYP,10,7.9938,155.1,0.0,0.0,dark/weak,HOMO-3->LUMO+1,48.1
benzene,CAM-B3LYP,11,8.4474,146.77,0.02023,0.0,pi->pi*,HOMO->LUMO+3,44.4
benzene,CAM-B3LYP,12,8.6891,142.69,0.0,0.0,dark/weak,HOMO-1->LUMO+4,48.4
aniline,B3LYP,1,4.6801,264.92,0.03676,0.84,pi->pi*,HOMO->LUMO,88.8
aniline,B3LYP,2,5.3504,231.73,0.06159,0.51,pi->pi*,HOMO->LUMO+1,49.4
aniline,B3LYP,3,5.6142,220.84,0.06926,2.08,CT,HOMO->LUMO+2,51.3
aniline,B3LYP,4,6.2569,198.16,0.00036,1.59,dark/weak,HOMO->LUMO+3,98.6
aniline,B3LYP,5,6.3797,194.34,0.02575,1.11,pi->pi*,HOMO->LUMO+4,73.2
aniline,B3LYP,6,6.5432,189.49,0.14578,0.34,pi->pi*,HOMO-1->LUMO+1,56.2
aniline,B3LYP,7,6.6716,185.84,0.58145,0.01,pi->pi*,HOMO-1->LUMO,77.9
aniline,B3LYP,8,6.8527,180.93,0.01085,2.91,CT,HOMO-1->LUMO+2,93.0
