pl_name,hostname,disc_year,discoverymethod,disc_facility,pl_orbper,pl_orbsmax,pl_rade,pl_bmasse,pl_eqt,st_teff,sy_dist,sy_snum,sy_pnum
"PSR B1257+12 c","PSR B1257+12",1992,"Pulsar Timing","Arecibo Observatory",66.54190000000,0.3600000000,1.91000000,4.30000000,,,600.00000000,1,3
"PSR B1257+12 d","PSR B1257+12",1992,"Pulsar Timing","Arecibo Observatory",98.21140000000,0.4600000000,1.80000000,3.90000000,,,600.00000000,1,3
"PSR B1257+12 b","PSR B1257+12",1994,"Pulsar Timing","Arecibo Observatory",25.26200000000,0.1900000000,0.33800000,0.02000000,,,600.00000000,1,3
"51 Peg b","51 Peg",1995,"Radial Velocity","Haute-Provence Observatory",4.23079660000,0.0520000000,14.10000000,193.87532827,1328.93,5761.00,15.46140000,1,1
"16 Cyg B b","16 Cyg B",1996,"Radial Velocity","Multiple Observatories",798.50000000000,1.6600000000,13.50000000,565.73740000,228.76,5750.00,21.13970000,3,1
"47 UMa b","47 UMa",1996,"Radial Velocity","Lick Observatory",1078.00000000000,2.1000000000,13.20000000,804.08000000,215.23,5872.00,13.79670000,1,3
"55 Cnc b","55 Cnc",1996,"Radial Velocity","Lick Observatory",14.65155200000,0.1180000000,13.90000000,263.97850000,700.00,5198.00,12.58550000,2,7
"70 Vir b","70 Vir",1996,"Radial Velocity","Lick Observatory",116.68800000000,0.4810000000,12.60000000,2380.45000000,525.24,5495.00,17.90110000,1,1
"tau Boo b","tau Boo",1996,"Radial Velocity","Lick Observatory",3.31245680000,0.0490000000,12.80000000,1891.00000000,1682.02,6466.27,15.65210000,2,1
"ups And b","ups And",1996,"Radial Velocity","Lick Observatory",4.61703300000,0.0592216600,14.00000000,218.53100000,1523.73,6156.77,13.40540000,2,3
"rho CrB b","rho CrB",1997,"Radial Velocity","Fred Lawrence Whipple Observatory",39.84900000000,0.2245000000,13.70000000,347.99500000,614.00,5817.00,17.46710000,1,3
"GJ 876 b","GJ 876",1998,"Radial Velocity","Multiple Observatories",61.11660000000,0.2083170000,13.30000000,723.22350000,190.60,3293.74,4.67517000,1,4
"HD 168443 b","HD 168443",1998,"Radial Velocity","W. M. Keck Observatory",58.11187000000,0.2920000000,12.60000000,2424.39508860,641.03,5491.00,39.62450000,1,2
"HD 187123 b","HD 187123",1998,"Radial Velocity","W. M. Keck Observatory",3.09658280000,0.0426000000,14.20000000,166.21800000,1450.90,5790.00,45.95480000,1,2
"HD 195019 b","HD 195019",1998,"Radial Velocity","Lick Observatory",18.20132000000,0.1400000000,13.00000000,1264.96340000,901.66,5751.00,37.66810000,2,1
"HD 210277 b","HD 210277",1998,"Radial Velocity","W. M. Keck Observatory",442.19000000000,1.1300000000,13.60000000,410.00070000,259.86,5538.00,21.29850000,1,1
"HD 217107 b","HD 217107",1998,"Radial Velocity","Lick Observatory",7.12701660000,0.0735900000,13.60000000,459.57987652,1105.84,5622.00,20.06190000,1,2
"GJ 86 b","GJ 86",1999,"Radial Velocity","La Silla Observatory",15.76491000000,0.1100000000,12.90000000,1404.80860000,661.12,5182.00,10.78360000,2,1
"HD 10697 b","HD 10697",1999,"Radial Velocity","W. M. Keck Observatory",1075.37990000000,2.0510000000,12.80000000,1825.28854140,259.25,5641.00,33.12050000,1,1
"HD 130322 b","HD 130322",1999,"Radial Velocity","La Silla Observatory",10.70871000000,0.0925000000,13.70000000,365.49000000,720.00,5387.00,31.87660000,1,1
"HD 134987 b","HD 134987",1999,"Radial Velocity","W. M. Keck Observatory",258.17999000000,0.8100000000,13.50000000,511.70630000,339.45,5736.00,26.18040000,1,2
"HD 177830 b","HD 177830",1999,"Radial Velocity","W. M. Keck Observatory",410.10001000000,1.1400000000,13.50000000,537.13270000,399.64,4901.00,62.76740000,2,2
"HD 192263 b","HD 192263",1999,"Radial Velocity","La Silla Observatory",24.35560000000,0.1500000000,14.20000000,177.98480000,486.00,4976.00,19.63590000,1,1
"HD 209458 b","HD 209458",1999,"Radial Velocity","W. M. Keck Observatory",3.52474859000,0.0470700000,15.58051000,232.01590000,1459.00,6091.00,48.30160000,1,1
"HD 222582 b","HD 222582",1999,"Radial Velocity","W. M. Keck Observatory",572.38000000000,1.3400000000,12.60000000,2660.23710000,256.39,5790.00,42.15860000,2,1
"HD 75289 b","HD 75289",1999,"Radial Velocity","La Silla Observatory",3.50927000000,0.0500000000,14.20000000,155.73670000,1260.00,6117.00,29.11580000,2,1
"HD 89744 b","HD 89744",1999,"Radial Velocity","Fred Lawrence Whipple Observatory",256.78000000000,0.9170000000,12.60000000,2653.88050000,462.62,6291.00,38.63640000,2,1
"HR 810 b","HR 810",1999,"Radial Velocity","La Silla Observatory",302.79999000000,0.9200000000,12.70000000,1970.53612340,329.57,6167.00,17.31810000,1,1
"ups And c","ups And",1999,"Radial Velocity","Multiple Observatories",241.25800000000,0.8277740000,12.30000000,4443.24112986,407.56,6156.77,13.40540000,2,3
"ups And d","ups And",1999,"Radial Velocity","Multiple Observatories",1276.46000000000,2.5132900000,12.50000000,3257.74117175,233.90,6156.77,13.40540000,2,3
"BD-10 3166 b","BD-10 3166",2000,"Radial Velocity","W. M. Keck Observatory",3.48777000000,0.0400000000,14.10000000,187.51970000,1240.38,5393.00,84.40690000,1,1
"GJ 3021 b","GJ 3021",2000,"Radial Velocity","La Silla Observatory",133.71000000000,0.4900000000,13.10000000,1071.04000000,350.00,5540.00,17.55590000,2,1
"GJ 876 c","GJ 876",2000,"Radial Velocity","Multiple Observatories",30.08810000000,0.1295900000,14.00000000,226.98460000,241.66,3293.74,4.67517000,1,4
"HD 12661 b","HD 12661",2000,"Radial Velocity","Multiple Observatories",262.70862000000,0.8400000000,13.30000000,772.32690000,325.35,5645.00,37.84780000,1,2
"HD 160691 b","HD 160691",2000,"Radial Velocity","Anglo-Australian Telescope",645.00000000000,1.5000000000,,1366.66215010,262.13,5773.00,15.59810000,1,4
"HD 16141 b","HD 16141",2000,"Radial Velocity","W. M. Keck Observatory",75.52300000000,0.3600000000,10.90000000,82.63580000,562.87,5757.00,37.78610000,2,1
"HD 168443 c","HD 168443",2000,"Radial Velocity","W. M. Keck Observatory",1753.10960000000,2.8420000000,12.20000000,5500.33841154,205.47,5491.00,39.62450000,1,2
