sender,first_date,last_date,messages,bytes
network-eng-2,2026-05-02,2026-05-02,2,11373
security-cost,2026-05-02,2026-05-02,20,106911
network-eng,2026-05-02,2026-05-03,19,67297
senior-review,2026-05-02,2026-05-03,22,101290
dev,2026-05-02,2026-05-06,56,277781
main,2026-05-04,2026-05-04,26,76482
peter,2026-05-04,2026-05-04,1,18718
delivery-dev,2026-05-04,2026-05-13,7,21702
review,2026-05-04,2026-05-14,141,668606
admin-frontend,2026-05-04,2026-05-15,89,323501
admin-dev,2026-05-04,2026-05-16,30,123579
global,2026-05-05,2026-05-05,9,71528
delivery,2026-05-05,2026-05-25,11,44404
bugfix,2026-05-06,2026-05-14,9,79160
admin,2026-05-06,2026-05-25,8,56505
coordinator,2026-05-06,2026-05-30,19,97080
delivery-bugfix,2026-05-07,2026-05-07,2,6695
gantt,2026-05-08,2026-05-08,2,12749
gantt-builder,2026-05-08,2026-05-08,1,5178
live-web-review,2026-05-09,2026-05-09,3,27150
gh-gate,2026-05-09,2026-05-14,58,123710
dockmaster,2026-05-14,2026-05-14,13,24488
drawbridge,2026-05-14,2026-06-04,169,396823
shipwright,2026-05-14,2026-06-24,136,558462
harbormaster,2026-05-14,2026-07-16,14,151888
coord,2026-05-15,2026-05-15,1,2140
trim,2026-05-16,2026-05-16,21,78195
lookout,2026-05-16,2026-05-18,73,383189
quartermaster,2026-05-16,2026-05-18,49,280550
scout,2026-05-16,2026-05-18,9,162200
joiner,2026-05-18,2026-05-18,16,80824
sightline,2026-05-19,2026-06-30,119,821001
co-cli-dev,2026-05-21,2026-05-21,3,22091
portcullis,2026-05-21,2026-05-23,16,33866
purser,2026-05-21,2026-06-01,24,80082
executive,2026-05-23,2026-05-23,1,14940
shakedown,2026-05-23,2026-05-23,14,51559
keelson,2026-05-25,2026-05-28,23,93541
porticulis,2026-05-28,2026-05-30,26,76482
coordination,2026-06-01,2026-06-01,1,1399
bosun,2026-06-01,2026-07-28,138,139337
task-parity,2026-06-10,2026-06-10,3,12142
brightwork,2026-06-10,2026-07-08,9,138347
delivery-lane,2026-07-02,2026-07-02,3,8296
roofing-kickoff,2026-07-02,2026-07-02,2,4055
main-session,2026-07-08,2026-07-08,2,6513
reviewer,2026-07-08,2026-07-08,4,19418
cabinet-pdf,2026-07-10,2026-07-10,1,1918
