wavelength_nm,intensity_arb_gaussian_fwhm_0.35eV_COSMETIC
250.0,0.05199474
250.5,0.05517198
251.0,0.05853112
251.5,0.0620523
252.0,0.06571391
252.5,0.06949257
253.0,0.07336322
253.5,0.07729924
254.0,0.08127266
254.5,0.08525445
255.0,0.08921479
255.5,0.0931235
256.0,0.09695036
256.5,0.10066556
257.0,0.10424015
257.5,0.10764638
258.0,0.11085815
258.5,0.11385139
259.0,0.11660435
259.5,0.11909793
260.0,0.12131593
260.5,0.12324519
261.0,0.12487573
261.5,0.12620082
262.0,0.12721697
262.5,0.12792388
263.0,0.12832426
263.5,0.12842375
264.0,0.1282306
264.5,0.12775549
265.0,0.12701121
265.5,0.12601232
266.0,0.12477487
266.5,0.12331603
267.0,0.12165378
267.5,0.11980659
268.0,0.11779308
268.5,0.11563181
269.0,0.11334094
269.5,0.11093807
270.0,0.10844004
270.5,0.10586276
271.0,0.10322111
271.5,0.10052884
272.0,0.09779856
272.5,0.09504169
273.0,0.09226846
273.5,0.08948802
274.0,0.0867084
274.5,0.08393666
275.0,0.08117894
275.5,0.07844058
276.0,0.07572619
276.5,0.07303979
277.0,0.07038486
277.5,0.0677645
278.0,0.06518144
278.5,0.06263817
279.0,0.06013702
279.5,0.05768014
280.0,0.05526963
280.5,0.05290752
281.0,0.0505958
281.5,0.04833644
282.0,0.04613139
282.5,0.04398255
283.0,0.04189181
283.5,0.03986096
284.0,0.03789171
284.5,0.03598566
285.0,0.03414428
285.5,0.03236884
286.0,0.03066044
286.5,0.02901996
287.0,0.02744803
287.5,0.02594502
288.0,0.02451105
288.5,0.02314595
289.0,0.02184926
289.5,0.02062027
290.0,0.01945797
290.5,0.0183611
291.0,0.01732812
291.5,0.0163573
292.0,0.01544667
292.5,0.01459406
293.0,0.01379717
293.5,0.01305352
294.0,0.01236053
294.5,0.01171555
295.0,0.01111585
295.5,0.01055867
296.0,0.01004125
296.5,0.00956085
297.0,0.00911476
297.5,0.00870034
298.0,0.00831502
298.5,0.00795634
299.0,0.00762195
299.5,0.00730961
300.0,0.00701723
300.5,0.00674285
301.0,0.00648468
301.5,0.00624107
302.0,0.00601051
302.5,0.00579167
303.0,0.00558338
303.5,0.00538459
304.0,0.00519442
304.5,0.00501215
305.0,0.00483717
305.5,0.00466902
306.0,0.00450738
306.5,0.00435202
307.0,0.00420285
307.5,0.00405989
308.0,0.00392325
308.5,0.00379313
309.0,0.00366983
309.5,0.00355374
310.0,0.00344531
310.5,0.00334507
311.0,0.00325362
311.5,0.00317161
312.0,0.00309977
312.5,0.00303886
313.0,0.0029897
313.5,0.00295317
314.0,0.00293017
314.5,0.00292166
315.0,0.00292863
315.5,0.0029521
316.0,0.00299313
316.5,0.00305281
317.0,0.00313224
317.5,0.00323254
318.0,0.00335488
318.5,0.0035004
319.0,0.00367027
319.5,0.00386566
320.0,0.00408772
320.5,0.00433762
321.0,0.00461648
321.5,0.00492542
322.0,0.00526552
322.5,0.00563781
323.0,0.0060433
323.5,0.0064829
324.0,0.00695749
324.5,0.00746786
325.0,0.00801472
325.5,0.00859866
326.0,0.00922021
326.5,0.00987975
327.0,0.01057754
327.5,0.01131373
328.0,0.01208831
328.5,0.01290112
329.0,0.01375186
329.5,0.01464005
330.0,0.01556506
330.5,0.01652607
331.0,0.0175221
331.5,0.01855198
332.0,0.01961437
332.5,0.02070773
333.0,0.02183037
333.5,0.0229804
334.0,0.02415578
334.5,0.02535429
335.0,0.02657354
335.5,0.02781103
336.0,0.02906407
336.5,0.03032987
337.0,0.03160551
337.5,0.03288799
338.0,0.03417418
338.5,0.03546092
339.0,0.03674497
339.5,0.03802306
340.0,0.0392919
340.5,0.0405482
341.0,0.04178869
341.5,0.04301015
342.0,0.04420943
342.5,0.04538343
343.0,0.04652919
343.5,0.04764386
344.0,0.04872476
344.5,0.04976935
345.0,0.05077529
345.5,0.05174046
346.0,0.05266295
346.5,0.05354113
347.0,0.05437359
347.5,0.05515924
348.0,0.05589728
348.5,0.05658722
349.0,0.05722889
349.5,0.05782247
350.0,0.0583685
350.5,0.05886787
351.0,0.05932185
351.5,0.05973208
352.0,0.0601006
352.5,0.06042982
353.0,0.06072259
353.5,0.06098211
354.0,0.061212
354.5,0.0614163
355.0,0.06159942
355.5,0.06176618
356.0,0.06192181
356.5,0.06207189
357.0,0.06222243
357.5,0.06237979
358.0,0.06255069
358.5,0.06274224
359.0,0.06296188
359.5,0.06321737
360.0,0.06351682
360.5,0.06386864
361.0,0.06428154
361.5,0.0647645
362.0,0.06532675
362.5,0.06597779
363.0,0.06672732
363.5,0.06758525
364.0,0.06856166
364.5,0.0696668
365.0,0.07091103
365.5,0.07230483
366.0,0.07385876
366.5,0.07558343
367.0,0.07748946
367.5,0.07958747
368.0,0.08188804
368.5,0.08440168
369.0,0.0871388
369.5,0.09010965
370.0,0.09332432
370.5,0.0967927
371.0,0.10052442
371.5,0.10452884
372.0,0.10881497
372.5,0.11339151
373.0,0.11826672
373.5,0.12344844
374.0,0.12894406
374.5,0.13476042
375.0,0.14090385
375.5,0.14738007
376.0,0.15419418
376.5,0.16135065
377.0,0.16885322
377.5,0.17670493
378.0,0.18490807
378.5,0.19346411
379.0,0.20237374
379.5,0.21163679
380.0,0.22125222
380.5,0.23121812
381.0,0.24153166
381.5,0.25218908
382.0,0.26318569
382.5,0.27451584
383.0,0.28617294
383.5,0.29814941
384.0,0.31043673
384.5,0.32302541
385.0,0.33590499
385.5,0.34906406
386.0,0.36249029
386.5,0.37617043
387.0,0.39009029
387.5,0.40423485
388.0,0.41858821
388.5,0.43313364
389.0,0.44785364
389.5,0.46272996
390.0,0.47774361
390.5,0.49287494
391.0,0.5081037
391.5,0.52340903
392.0,0.53876957
392.5,0.55416346
393.0,0.56956845
393.5,0.58496192
394.0,0.60032096
394.5,0.61562241
395.0,0.63084293
395.5,0.64595909
396.0,0.66094738
396.5,0.67578432
397.0,0.69044653
397.5,0.70491073
398.0,0.71915389
398.5,0.73315321
399.0,0.74688627
399.5,0.76033101
400.0,0.77346584
400.5,0.78626969
401.0,0.79872204
401.5,0.81080303
402.0,0.82249345
402.5,0.83377484
403.0,0.84462949
403.5,0.85504056
404.0,0.86499201
404.5,0.87446877
405.0,0.88345665
405.5,0.89194247
406.0,0.89991402
406.5,0.90736015
407.0,0.91427073
407.5,0.92063671
408.0,0.9264501
408.5,0.93170403
409.0,0.9363927
409.5,0.94051144
410.0,0.94405667
410.5,0.94702592
411.0,0.94941779
411.5,0.95123199
412.0,0.95246931
412.5,0.95313157
413.0,0.95322164
413.5,0.95274342
414.0,0.95170177
414.5,0.95010255
415.0,0.94795253
415.5,0.94525939
416.0,0.94203169
416.5,0.93827883
417.0,0.93401097
417.5,0.92923907
418.0,0.9239748
418.5,0.91823048
419.0,0.9120191
419.5,0.90535422
420.0,0.89824995
420.5,0.89072091
421.0,0.88278216
421.5,0.8744492
422.0,0.86573788
422.5,0.85666436
423.0,0.84724512
423.5,0.83749683
424.0,0.82743638
424.5,0.81708079
425.0,0.80644719
425.5,0.79555279
426.0,0.7844148
426.5,0.77305044
427.0,0.76147687
427.5,0.74971115
428.0,0.73777023
428.5,0.72567091
429.0,0.71342979
429.5,0.70106326
430.0,0.68858745
430.5,0.67601824
431.0,0.66337119
431.5,0.65066155
432.0,0.63790421
432.5,0.62511372
433.0,0.61230422
433.5,0.59948947
434.0,0.5866828
434.5,0.57389712
435.0,0.56114489
435.5,0.54843814
436.0,0.53578842
436.5,0.52320681
437.0,0.51070394
437.5,0.49828994
438.0,0.48597447
438.5,0.47376671
439.0,0.46167535
439.5,0.44970862
440.0,0.43787425
440.5,0.4261795
441.0,0.41463116
441.5,0.40323556
442.0,0.39199857
442.5,0.3809256
443.0,0.37002162
443.5,0.35929116
444.0,0.34873834
444.5,0.33836685
445.0,0.32817997
445.5,0.3181806
446.0,0.30837123
446.5,0.29875402
447.0,0.28933074
447.5,0.28010281
448.0,0.27107134
448.5,0.2622371
449.0,0.25360056
449.5,0.24516188
450.0,0.23692097
450.5,0.22887743
451.0,0.22103064
451.5,0.21337972
452.0,0.20592357
452.5,0.19866085
453.0,0.19159005
453.5,0.18470945
454.0,0.17801715
454.5,0.17151108
455.0,0.16518904
455.5,0.15904865
456.0,0.15308742
456.5,0.14730274
457.0,0.14169189
457.5,0.13625203
458.0,0.13098026
458.5,0.12587357
459.0,0.12092891
459.5,0.11614314
460.0,0.11151309
460.5,0.10703552
461.0,0.10270718
461.5,0.09852476
462.0,0.09448497
462.5,0.09058447
463.0,0.08681991
463.5,0.08318796
464.0,0.07968528
464.5,0.07630853
465.0,0.07305441
465.5,0.06991962
466.0,0.06690087
466.5,0.06399493
467.0,0.06119857
467.5,0.05850862
468.0,0.05592193
468.5,0.05343539
469.0,0.05104595
469.5,0.0487506
470.0,0.04654637
470.5,0.04443035
471.0,0.04239968
471.5,0.04045154
472.0,0.0385832
472.5,0.03679194
473.0,0.03507514
473.5,0.03343022
474.0,0.03185466
474.5,0.03034599
475.0,0.02890182
475.5,0.0275198
