wavelength_nm,intensity_arb_gaussian_fwhm_0.35eV_COSMETIC
92.38,0.0
92.615,0.0
92.85,0.0
93.084,0.0
93.319,0.0
93.554,0.0
93.789,0.0
94.024,0.0
94.258,0.0
94.493,0.0
94.728,0.0
94.963,0.0
95.198,0.0
95.432,0.0
95.667,0.0
95.902,0.0
96.137,0.0
96.372,0.0
96.606,0.0
96.841,0.0
97.076,0.0
97.311,0.0
97.546,0.0
97.78,0.0
98.015,0.0
98.25,0.0
98.485,0.0
98.72,0.0
98.954,0.0
99.189,0.0
99.424,0.0
99.659,0.0
99.894,0.0
100.128,0.0
100.363,0.0
100.598,0.0
100.833,0.0
101.068,0.0
101.302,0.0
101.537,0.0
101.772,0.0
102.007,0.0
102.242,0.0
102.476,0.0
102.711,0.0
102.946,0.0
103.181,0.0
103.416,0.0
103.65,0.0
103.885,0.0
104.12,0.0
104.355,0.0
104.59,0.0
104.824,0.0
105.059,0.0
105.294,0.0
105.529,0.0
105.764,0.0
105.998,0.0
106.233,0.0
106.468,0.0
106.703,0.0
106.938,0.0
107.172,0.0
107.407,0.0
107.642,0.0
107.877,0.0
108.112,0.0
108.346,0.0
108.581,0.0
108.816,0.0
109.051,0.0
109.286,0.0
109.52,0.0
109.755,0.0
109.99,0.0
110.225,0.0
110.46,0.0
110.694,0.0
110.929,0.0
111.164,0.0
111.399,0.0
111.634,0.0
111.868,0.0
112.103,0.0
112.338,0.0
112.573,0.0
112.808,0.0
113.042,0.0
113.277,0.0
113.512,0.0
113.747,0.0
113.982,0.0
114.216,0.0
114.451,0.0
114.686,0.0
114.921,0.0
115.156,0.0
115.39,0.0
115.625,0.0
115.86,0.0
116.095,0.0
116.33,0.0
116.564,0.0
116.799,0.0
117.034,0.0
117.269,0.0
117.504,0.0
117.738,0.0
117.973,0.0
118.208,0.0
118.443,0.0
118.678,0.0
118.912,0.0
119.147,0.0
119.382,0.0
119.617,0.0
119.852,0.0
120.086,0.0
120.321,0.0
120.556,0.0
120.791,0.0
121.026,0.0
121.26,0.0
121.495,0.0
121.73,0.0
121.965,0.0
122.2,0.0
122.434,0.0
122.669,0.0
122.904,0.0
123.139,0.0
123.374,0.0
123.608,0.0
123.843,0.0
124.078,0.0
124.313,0.0
124.548,0.0
124.782,0.0
125.017,0.0
125.252,0.0
125.487,0.0
125.722,0.0
125.956,0.0
126.191,0.0
126.426,0.0
126.661,0.0
126.896,0.0
127.13,0.0
127.365,0.0
127.6,0.0
127.835,0.0
128.07,0.0
128.304,0.0
128.539,0.0
128.774,0.0
129.009,0.0
129.244,0.0
129.478,0.0
129.713,0.0
129.948,0.0
130.183,0.0
130.418,0.0
130.652,0.0
130.887,0.0
131.122,0.0
131.357,0.0
131.592,0.0
131.826,0.0
132.061,0.0
132.296,0.0
132.531,0.0
132.766,0.0
133.0,0.0
133.235,0.0
133.47,0.0
133.705,0.0
133.94,0.0
134.174,0.0
134.409,0.0
134.644,0.0
134.879,0.0
135.114,0.0
135.348,0.0
135.583,0.0
135.818,0.0
136.053,0.0
136.288,0.0
136.522,0.0
136.757,0.0
136.992,0.0
137.227,0.0
137.462,0.0
137.696,0.0
137.931,0.0
138.166,0.0
138.401,0.0
138.636,0.0
138.87,0.0
139.105,0.0
139.34,0.0
139.575,0.0
139.81,1e-08
140.044,1e-08
140.279,2e-08
140.514,3e-08
140.749,5e-08
140.984,9e-08
141.218,1.4e-07
141.453,2.3e-07
141.688,3.6e-07
141.923,5.6e-07
142.158,8.6e-07
142.392,1.32e-06
