wavelength_nm,intensity_arb_gaussian_fwhm_0.35eV_COSMETIC
82.69,0.0
82.93,0.0
83.171,0.0
83.411,0.0
83.652,0.0
83.892,0.0
84.133,0.0
84.373,0.0
84.613,0.0
84.854,0.0
85.094,0.0
85.335,0.0
85.575,0.0
85.815,0.0
86.056,0.0
86.296,0.0
86.537,0.0
86.777,0.0
87.018,0.0
87.258,0.0
87.498,0.0
87.739,0.0
87.979,0.0
88.22,0.0
88.46,0.0
88.7,0.0
88.941,0.0
89.181,0.0
89.422,0.0
89.662,0.0
89.903,0.0
90.143,0.0
90.383,0.0
90.624,0.0
90.864,0.0
91.105,0.0
91.345,0.0
91.585,0.0
91.826,0.0
92.066,0.0
92.307,0.0
92.547,0.0
92.788,0.0
93.028,0.0
93.268,0.0
93.509,0.0
93.749,0.0
93.99,0.0
94.23,0.0
94.47,0.0
94.711,0.0
94.951,0.0
95.192,0.0
95.432,0.0
95.673,0.0
95.913,0.0
96.153,0.0
96.394,0.0
96.634,0.0
96.875,0.0
97.115,0.0
97.356,0.0
97.596,0.0
97.836,0.0
98.077,0.0
98.317,0.0
98.558,0.0
98.798,0.0
99.038,0.0
99.279,0.0
99.519,0.0
99.76,0.0
100.0,0.0
100.241,0.0
100.481,0.0
100.721,0.0
100.962,0.0
101.202,0.0
101.443,0.0
101.683,0.0
101.923,0.0
102.164,0.0
102.404,0.0
102.645,0.0
102.885,0.0
103.126,0.0
103.366,0.0
103.606,0.0
103.847,0.0
104.087,0.0
104.328,0.0
104.568,0.0
104.808,0.0
105.049,0.0
105.289,0.0
105.53,0.0
105.77,0.0
106.011,0.0
106.251,0.0
106.491,0.0
106.732,0.0
106.972,0.0
107.213,0.0
107.453,0.0
107.693,0.0
107.934,0.0
108.174,0.0
108.415,0.0
108.655,0.0
108.896,0.0
109.136,0.0
109.376,0.0
109.617,0.0
109.857,0.0
110.098,0.0
110.338,0.0
110.579,0.0
110.819,0.0
111.059,0.0
111.3,0.0
111.54,0.0
111.781,0.0
112.021,0.0
112.261,0.0
112.502,0.0
112.742,0.0
112.983,0.0
113.223,0.0
113.464,0.0
113.704,0.0
113.944,0.0
114.185,0.0
114.425,0.0
114.666,0.0
114.906,0.0
115.146,0.0
115.387,0.0
115.627,0.0
115.868,0.0
116.108,0.0
116.349,0.0
116.589,0.0
116.829,0.0
117.07,0.0
117.31,0.0
117.551,0.0
117.791,0.0
118.031,0.0
118.272,0.0
118.512,0.0
118.753,0.0
118.993,0.0
119.234,0.0
119.474,0.0
119.714,0.0
119.955,0.0
120.195,0.0
120.436,0.0
120.676,0.0
120.916,0.0
121.157,0.0
121.397,0.0
121.638,0.0
