wavelength_nm,intensity_arb_gaussian_fwhm_0.35eV_COSMETIC
250.0,0.06072682
250.5,0.05586989
251.0,0.05124205
251.5,0.0468529
252.0,0.04270935
252.5,0.03881572
253.0,0.03517388
253.5,0.0317834
254.0,0.02864177
254.5,0.02574458
255.0,0.02308575
255.5,0.02065777
256.0,0.01845196
256.5,0.01645862
257.0,0.01466736
257.5,0.0130672
258.0,0.01164684
258.5,0.0103948
259.0,0.00929957
259.5,0.00834978
260.0,0.00753426
260.5,0.0068422
261.0,0.00626317
261.5,0.00578721
262.0,0.00540484
262.5,0.00510715
263.0,0.00488577
263.5,0.00473287
264.0,0.00464119
264.5,0.00460403
265.0,0.00461522
265.5,0.00466911
266.0,0.00476057
266.5,0.00488495
267.0,0.00503806
267.5,0.00521619
268.0,0.00541604
268.5,0.00563473
269.0,0.00586977
269.5,0.00611906
270.0,0.00638087
270.5,0.00665378
271.0,0.00693672
271.5,0.00722892
272.0,0.00752988
272.5,0.00783938
273.0,0.0081574
273.5,0.00848416
274.0,0.00882003
274.5,0.00916553
275.0,0.00952129
275.5,0.00988801
276.0,0.01026644
276.5,0.0106573
277.0,0.01106129
277.5,0.01147904
278.0,0.01191105
278.5,0.01235768
279.0,0.01281911
279.5,0.0132953
280.0,0.01378598
280.5,0.01429064
281.0,0.01480846
281.5,0.01533836
282.0,0.01587896
282.5,0.01642858
283.0,0.01698527
283.5,0.01754678
284.0,0.01811061
284.5,0.01867403
285.0,0.01923407
285.5,0.01978761
286.0,0.02033135
286.5,0.02086192
287.0,0.02137584
287.5,0.02186962
288.0,0.02233981
288.5,0.02278298
289.0,0.02319583
289.5,0.0235752
290.0,0.02391811
290.5,0.02422181
291.0,0.02448381
291.5,0.02470189
292.0,0.02487416
292.5,0.02499906
293.0,0.02507538
293.5,0.02510226
294.0,0.02507924
294.5,0.0250062
295.0,0.02488342
295.5,0.02471151
296.0,0.02449145
296.5,0.02422454
297.0,0.02391241
297.5,0.02355696
298.0,0.02316038
298.5,0.02272507
299.0,0.02225365
299.5,0.02174891
300.0,0.0212138
300.5,0.02065136
301.0,0.02006472
301.5,0.01945707
302.0,0.01883161
302.5,0.01819151
303.0,0.01753995
303.5,0.01688
304.0,0.01621468
304.5,0.01554689
305.0,0.01487941
305.5,0.01421488
306.0,0.01355581
306.5,0.01290451
307.0,0.01226316
307.5,0.01163375
308.0,0.01101811
308.5,0.01041789
309.0,0.00983457
309.5,0.00926946
310.0,0.00872372
310.5,0.00819837
311.0,0.00769427
311.5,0.00721217
312.0,0.0067527
312.5,0.00631641
313.0,0.00590376
313.5,0.00551513
314.0,0.00515088
314.5,0.00481133
315.0,0.00449681
315.5,0.00420765
316.0,0.00394423
316.5,0.00370698
317.0,0.00349641
317.5,0.00331314
318.0,0.00315791
318.5,0.00303164
319.0,0.00293538
319.5,0.00287042
320.0,0.00283826
320.5,0.00284065
