wavelength_nm,intensity_arb_gaussian_fwhm_0.35eV_COSMETIC
164.72,0.0
165.055,0.0
165.389,0.0
165.724,0.0
166.059,0.0
166.393,0.0
166.728,0.0
167.063,0.0
167.397,0.0
167.732,0.0
168.067,0.0
168.401,0.0
168.736,0.0
169.071,0.0
169.405,0.0
169.74,0.0
170.075,0.0
170.409,0.0
170.744,0.0
171.079,0.0
171.413,0.0
171.748,0.0
172.083,0.0
172.417,0.0
172.752,0.0
173.087,0.0
173.421,0.0
173.756,0.0
174.091,0.0
174.425,0.0
174.76,0.0
175.095,0.0
175.429,0.0
175.764,0.0
176.099,0.0
176.433,0.0
176.768,0.0
177.103,0.0
177.437,0.0
177.772,0.0
178.107,0.0
178.441,0.0
178.776,0.0
179.111,0.0
179.445,0.0
179.78,0.0
180.115,0.0
180.449,0.0
180.784,0.0
181.119,0.0
181.453,0.0
181.788,0.0
182.123,0.0
182.457,0.0
182.792,0.0
183.126,0.0
183.461,0.0
183.796,0.0
184.13,0.0
184.465,0.0
184.8,0.0
185.134,0.0
185.469,0.0
185.804,0.0
186.138,0.0
186.473,0.0
186.808,0.0
187.142,0.0
187.477,0.0
187.812,0.0
188.146,0.0
188.481,0.0
188.816,0.0
189.15,0.0
189.485,0.0
189.82,0.0
190.154,0.0
190.489,0.0
190.824,0.0
191.158,0.0
191.493,0.0
191.828,0.0
192.162,0.0
192.497,0.0
192.832,0.0
193.166,0.0
193.501,0.0
193.836,0.0
194.17,0.0
194.505,0.0
194.84,0.0
195.174,0.0
195.509,0.0
195.844,1e-08
196.178,1e-08
196.513,2e-08
196.848,3e-08
197.182,4e-08
197.517,6e-08
197.852,8e-08
198.186,1.2e-07
198.521,1.7e-07
198.856,2.4e-07
199.19,3.5e-07
199.525,4.9e-07
199.86,6.9e-07
200.194,9.7e-07
200.529,1.36e-06
200.864,1.88e-06
201.198,2.6e-06
201.533,3.57e-06
201.868,4.87e-06
202.202,6.61e-06
202.537,8.92e-06
202.872,1.198e-05
203.206,1.601e-05
203.541,2.128e-05
203.876,2.814e-05
204.21,3.702e-05
204.545,4.846e-05
204.88,6.31e-05
205.214,8.177e-05
205.549,0.00010544
205.884,0.00013528
206.218,0.00017274
206.553,0.0002195
206.888,0.00027759
207.222,0.00034939
207.557,0.0004377
207.892,0.00054577
208.226,0.00067738
208.561,0.00083686
208.896,0.0010292
209.23,0.00126003
209.565,0.00153572
209.9,0.00186343
210.234,0.00225112
210.569,0.00270759
210.904,0.00324251
211.238,0.00386642
211.573,0.00459073
211.908,0.00542767
212.242,0.00639029
212.577,0.00749232
212.912,0.00874813
213.246,0.01017262
213.581,0.01178101
213.916,0.01358874
214.25,0.0156112
214.585,0.01786357
214.92,0.02036051
215.254,0.02311594
215.589,0.0261427
215.924,0.02945229
216.258,0.03305453
216.593,0.03695722
216.928,0.04116588
217.262,0.04568343
217.597,0.05050985
217.932,0.055642
218.266,0.06107331
218.601,0.06679366
218.936,0.07278917
219.27,0.07904216
219.605,0.08553107
219.94,0.09223052
220.274,0.09911138
220.609,0.10614094
220.943,0.1132831
221.278,0.12049871
221.613,0.12774592
221.947,0.13498052
222.282,0.14215649
222.617,0.14922649
222.951,0.15614236
223.286,0.16285576
223.621,0.16931874
223.955,0.17548435
224.29,0.18130722
224.625,0.18674416
224.959,0.19175475
225.294,0.19630182
225.629,0.20035196
225.963,0.20387591
226.298,0.20684898
226.633,0.20925131
226.967,0.21106809
227.302,0.21228973
227.637,0.21291192
227.971,0.21293563
228.306,0.21236701
228.641,0.21121727
228.975,0.20950243
229.31,0.20724303
229.645,0.20446381
229.979,0.20119332
230.314,0.19746346
230.649,0.19330905
230.983,0.18876733
231.318,0.18387748
231.653,0.17868009
231.987,0.17321666
232.322,0.16752915
232.657,0.16165949
232.991,0.15564911
233.326,0.14953858
233.661,0.14336718
233.995,0.13717262
234.33,0.13099068
234.665,0.12485503
234.999,0.11879699
235.334,0.11284535
235.669,0.10702633
236.003,0.10136342
236.338,0.09587743
236.673,0.09058644
237.007,0.08550589
237.342,0.08064862
237.677,0.07602502
238.011,0.07164311
238.346,0.06750872
238.681,0.06362564
239.015,0.0599958
239.35,0.05661946
239.685,0.05349539
240.019,0.05062105
240.354,0.04799279
240.689,0.04560605
241.023,0.04345548
241.358,0.04153516
241.693,0.0398387
242.027,0.03835943
242.362,0.03709051
242.697,0.03602501
243.031,0.03515604
243.366,0.03447682
243.701,0.03398075
244.035,0.03366145
244.37,0.03351282
244.705,0.03352901
245.039,0.0337045
245.374,0.03403405
245.709,0.03451271
246.043,0.03513578
246.378,0.03589881
246.713,0.03679752
247.047,0.03782783
247.382,0.03898572
247.717,0.04026727
248.051,0.04166857
248.386,0.04318565
248.721,0.04481448
249.055,0.04655089
249.39,0.04839054
249.725,0.05032884
250.059,0.05236099
250.394,0.05448187
250.729,0.05668606
251.063,0.05896781
251.398,0.061321
251.733,0.06373919
252.067,0.06621555
252.402,0.06874292
252.737,0.0713138
253.071,0.07392035
253.406,0.07655447
253.741,0.07920777
254.075,0.08187164
254.41,0.08453728
254.745,0.08719575
255.079,0.08983801
255.414,0.09245499
255.749,0.09503762
256.083,0.0975769
256.418,0.10006395
256.752,0.10249008
257.087,0.10484683
257.422,0.10712601
