wavelength_nm,intensity_arb_gaussian_fwhm_0.35eV_COSMETIC
139.85,0.0
140.172,0.0
140.493,0.0
140.815,0.0
141.137,0.0
141.458,0.0
141.78,0.0
142.102,0.0
142.423,0.0
142.745,0.0
143.067,0.0
143.388,0.0
143.71,0.0
144.032,0.0
144.353,0.0
144.675,0.0
144.997,0.0
145.318,0.0
145.64,0.0
145.962,0.0
146.283,0.0
146.605,0.0
146.927,0.0
147.248,0.0
147.57,0.0
147.892,0.0
148.213,0.0
148.535,0.0
148.857,0.0
149.179,0.0
149.5,0.0
149.822,0.0
150.144,0.0
150.465,0.0
150.787,0.0
151.109,0.0
151.43,0.0
151.752,0.0
152.074,0.0
152.395,0.0
152.717,0.0
153.039,0.0
153.36,0.0
153.682,0.0
154.004,0.0
154.325,0.0
154.647,0.0
154.969,0.0
155.29,0.0
155.612,0.0
155.934,0.0
156.255,0.0
156.577,0.0
156.899,0.0
157.22,0.0
157.542,0.0
157.864,0.0
158.185,0.0
158.507,0.0
158.829,0.0
159.15,0.0
159.472,0.0
159.794,0.0
160.115,0.0
160.437,0.0
160.759,0.0
161.08,0.0
161.402,0.0
161.724,0.0
162.045,0.0
162.367,0.0
162.689,0.0
163.01,0.0
163.332,0.0
163.654,0.0
163.975,0.0
164.297,0.0
164.619,0.0
164.94,0.0
165.262,0.0
165.584,0.0
165.905,0.0
166.227,0.0
166.549,0.0
166.871,0.0
167.192,0.0
167.514,0.0
167.836,0.0
168.157,0.0
168.479,0.0
168.801,0.0
169.122,0.0
169.444,0.0
169.766,0.0
170.087,0.0
170.409,0.0
170.731,0.0
171.052,0.0
171.374,0.0
171.696,0.0
172.017,0.0
172.339,0.0
172.661,0.0
172.982,0.0
173.304,0.0
173.626,0.0
173.947,0.0
174.269,0.0
174.591,0.0
174.912,0.0
175.234,0.0
175.556,0.0
175.877,0.0
176.199,0.0
176.521,0.0
176.842,0.0
177.164,1e-08
177.486,1e-08
177.807,1e-08
178.129,2e-08
178.451,3e-08
178.772,5e-08
179.094,8e-08
179.416,1.2e-07
179.737,1.8e-07
180.059,2.7e-07
180.381,4e-07
180.702,5.9e-07
181.024,8.5e-07
181.346,1.23e-06
181.667,1.76e-06
181.989,2.5e-06
182.311,3.53e-06
182.632,4.94e-06
182.954,6.86e-06
183.276,9.47e-06
183.597,1.296e-05
183.919,1.761e-05
184.241,2.375e-05
184.563,3.182e-05
184.884,4.232e-05
185.206,5.59e-05
185.528,7.334e-05
185.849,9.555e-05
186.171,0.00012367
186.493,0.00015899
186.814,0.00020306
187.136,0.00025766
187.458,0.00032485
187.779,0.00040697
188.101,0.00050667
188.423,0.00062691
188.744,0.00077095
189.066,0.0009424
189.388,0.00114515
189.709,0.00138339
190.031,0.00166157
190.353,0.00198436
190.674,0.00235661
190.996,0.00278329
191.318,0.00326942
191.639,0.00382
191.961,0.00443992
192.283,0.00513388
192.604,0.00590632
192.926,0.00676126
193.248,0.00770231
193.569,0.00873248
193.891,0.00985417
194.213,0.01106905
194.534,0.01237804
194.856,0.01378122
195.178,0.01527777
195.499,0.01686602
195.821,0.01854334
196.143,0.02030619
196.464,0.02215013
196.786,0.02406982
197.108,0.02605904
197.429,0.02811076
197.751,0.03021718
198.073,0.03236972
198.394,0.03455915
198.716,0.0367756
199.038,0.03900864
199.359,0.04124729
199.681,0.04348016
200.003,0.04569543
200.324,0.04788095
200.646,0.05002432
200.968,0.05211294
201.289,0.05413412
201.611,0.05607512
201.933,0.0579233
202.255,0.05966619
202.576,0.06129162
202.898,0.06278785
203.22,0.0641437
203.541,0.06534871
203.863,0.06639324
204.185,0.06726868
204.506,0.06796755
204.828,0.06848368
205.15,0.06881231
205.471,0.06895025
205.793,0.06889596
206.115,0.06864966
206.436,0.06821337
206.758,0.06759097
207.08,0.06678822
207.401,0.06581271
207.723,0.06467388
208.045,0.06338288
208.366,0.06195253
208.688,0.06039717
209.01,0.05873251
209.331,0.05697551
209.653,0.05514415
209.975,0.05325728
210.296,0.05133442
210.618,0.04939551
210.94,0.04746078
211.261,0.04555052
211.583,0.04368485
211.905,0.04188361
212.226,0.04016613
212.548,0.03855107
212.87,0.03705632
213.191,0.03569883
213.513,0.03449447
213.835,0.03345801
214.156,0.03260293
214.478,0.03194143
214.8,0.03148433
215.121,0.03124101
215.443,0.03121943
215.765,0.03142604
216.086,0.03186582
216.408,0.03254225
216.73,0.03345732
217.051,0.03461154
217.373,0.03600399
217.695,0.03763232
218.016,0.0394928
218.338,0.0415804
218.66,0.0438888
218.981,0.04641049
219.303,0.04913684
219.625,0.05205816
219.947,0.05516382
220.268,0.05844232
220.59,0.06188142
220.912,0.06546819
221.233,0.06918921
221.555,0.07303057
221.877,0.07697809
222.198,0.08101735
222.52,0.08513384
222.842,0.08931306
223.163,0.0935406
223.485,0.09780227
223.807,0.10208416
224.128,0.10637272
224.45,0.11065482
224.772,0.11491784
225.093,0.11914967
225.415,0.12333878
225.737,0.12747424
226.058,0.13154571
226.38,0.13554348
226.702,0.13945843
227.023,0.14328207
227.345,0.14700645
227.667,0.15062419
227.988,0.15412844
228.31,0.15751283
228.632,0.16077147
228.953,0.16389887
229.275,0.16688996
229.597,0.16974
229.918,0.17244461
230.24,0.17499967
230.562,0.17740139
230.883,0.17964619
231.205,0.18173078
231.527,0.18365207
231.848,0.18540719
232.17,0.18699352
232.492,0.18840864
232.813,0.18965035
233.135,0.1907167
233.457,0.19160596
233.778,0.19231667
234.1,0.19284761
234.422,0.19319784
234.743,0.19336671
235.065,0.19335389
235.387,0.19315933
235.708,0.19278333
236.03,0.19222653
236.352,0.19148992
236.673,0.19057484
236.995,0.18948301
237.317,0.18821654
237.639,0.18677789
237.96,0.18516995
238.282,0.18339598
238.604,0.18145963
238.925,0.17936494
239.247,0.17711635
239.569,0.1747187
239.89,0.17217717
240.212,0.16949735
240.534,0.16668517
240.855,0.16374693
241.177,0.16068925
241.499,0.15751907
241.82,0.15424364
242.142,0.15087049
242.464,0.14740739
242.785,0.14386237
243.107,0.14024363
243.429,0.13655958
243.75,0.13281872
244.072,0.12902972
244.394,0.12520126
244.715,0.1213421
245.037,0.11746098
245.359,0.11356659
245.68,0.10966756
246.002,0.10577239
246.324,0.10188941
246.645,0.09802678
246.967,0.09419242
247.289,0.09039397
247.61,0.08663878
247.932,0.08293387
248.254,0.07928592
248.575,0.07570118
248.897,0.07218553
249.219,0.06874442
249.54,0.06538285
