state,energy_eV,wavelength_nm,oscillator_strength,hole_particle_dist_ang,type,dominant
1,5.4583,227.15,0.0,0.0,dark/weak,HOMO->LUMO (49.7%); HOMO-1->LUMO+1 (49.7%)
2,6.1483,201.65,0.0,0.0,dark/weak,HOMO-1->LUMO (49.3%); HOMO->LUMO+1 (49.3%)
3,7.1165,174.22,0.60056,0.0,pi->pi*,HOMO-1->LUMO+1 (48.1%); HOMO->LUMO (48.1%)
4,7.1165,174.22,0.60065,0.0,pi->pi*,HOMO->LUMO+1 (48.1%); HOMO-1->LUMO (48.1%)
5,7.6967,161.09,0.0,0.0,dark/weak,HOMO->LUMO+2 (96.9%)
6,7.6968,161.09,0.0,0.0,dark/weak,HOMO-1->LUMO+2 (96.9%)
7,7.8909,157.12,0.0,0.0,dark/weak,HOMO-2->LUMO (49.3%); HOMO-3->LUMO+1 (48.7%)
8,7.9728,155.51,0.01123,0.0,pi->pi*,HOMO-2->LUMO+1 (49.8%); HOMO-3->LUMO (48.6%)
9,7.9938,155.1,0.0,0.0,dark/weak,HOMO-3->LUMO (49.5%); HOMO-2->LUMO+1 (48.3%)
10,7.9938,155.1,0.0,0.0,dark/weak,HOMO-3->LUMO+1 (49.2%); HOMO-2->LUMO (48.6%)
11,8.4474,146.77,0.02023,0.0,pi->pi*,HOMO->LUMO+3 (46.1%); HOMO-1->LUMO+4 (46.0%); HOMO-4->LUMO+2 (5.9%)
12,8.6891,142.69,0.0,0.0,dark/weak,HOMO-1->LUMO+4 (48.4%); HOMO->LUMO+3 (48.4%)
