state,energy_eV,wavelength_nm,oscillator_strength,hole_particle_dist_ang,type,dominant
1,3.3178,373.69,1.12392,0.92,pi->pi*,HOMO->LUMO (96.5%)
2,4.2123,294.34,0.02418,1.06,pi->pi*,HOMO-1->LUMO (94.9%)
3,4.5079,275.03,0.00618,1.27,dark/weak,HOMO->LUMO+1 (46.4%); HOMO-2->LUMO (38.6%); HOMO-1->LUMO+1 (6.3%)
4,5.1119,242.54,0.08525,2.67,CT,HOMO-2->LUMO (53.6%); HOMO->LUMO+1 (37.5%)
5,5.2864,234.53,0.11378,2.21,CT,HOMO->LUMO+2 (71.8%); HOMO-3->LUMO (6.1%); HOMO-1->LUMO+2 (5.7%)
6,5.465,226.87,4e-05,1.84,dark/weak,HOMO->LUMO+3 (46.2%); HOMO-1->LUMO+3 (18.3%); HOMO->LUMO+4 (12.2%); HOMO-1->LUMO+4 (5.9%)
7,5.4735,226.52,0.08098,0.87,pi->pi*,HOMO-3->LUMO (81.9%)
8,5.6176,220.71,0.00019,3.82,dark/weak,HOMO-4->LUMO (58.6%); HOMO-5->LUMO (17.4%); HOMO-8->LUMO (14.9%)
9,5.9835,207.21,0.05253,0.61,pi->pi*,HOMO->LUMO+5 (61.9%); HOMO-1->LUMO+2 (15.2%); HOMO->LUMO+2 (5.2%); HOMO-2->LUMO+1 (5.1%)
10,6.1128,202.83,0.00435,1.84,dark/weak,HOMO->LUMO+3 (26.4%); HOMO->LUMO+8 (16.0%); HOMO-1->LUMO+3 (10.1%); HOMO-3->LUMO+3 (7.1%)
11,6.1702,200.94,0.0218,2.07,CT,HOMO->LUMO+4 (53.8%); HOMO-1->LUMO+4 (10.3%)
12,6.2039,199.85,0.00229,4.13,dark/weak,HOMO-5->LUMO (39.1%); HOMO-4->LUMO (20.9%); HOMO-4->LUMO+2 (8.9%); HOMO-8->LUMO (8.0%)
