case_id	window_id	measure_index	evidence_id	record_type	record_id	onset_qn	duration_qn	voice_id	detail
CASE-6U43	W1	0	E001	measure			3		meter=6/8;key_fifths=2;barlines=none|regular;volta=none
CASE-6U43	W1	0	E001	note	EV0001	0	1/2	V01	pitch=D5;tie=none;grace=none;articulations=;ornaments=
CASE-6U43	W1	0	E001	rest	EV0002	0	3	V02	articulations=
CASE-6U43	W1	0	E001	note	EV0003	1/2	1/2	V01	pitch=D4;tie=none;grace=none;articulations=;ornaments=
CASE-6U43	W1	0	E001	note	EV0004	1	1/2	V01	pitch=C#4;tie=none;grace=none;articulations=;ornaments=
CASE-6U43	W1	0	E001	note	EV0005	3/2	1/2	V01	pitch=B3;tie=none;grace=none;articulations=;ornaments=
CASE-6U43	W1	0	E001	note	EV0006	2	1/2	V01	pitch=A3;tie=none;grace=none;articulations=;ornaments=
CASE-6U43	W1	0	E001	note	EV0007	5/2	1/2	V01	pitch=G3;tie=none;grace=none;articulations=;ornaments=
CASE-6U43	W1	1	E002	measure			3		meter=6/8;key_fifths=2;barlines=regular|regular;volta=none
CASE-6U43	W1	1	E002	note	EV0008	0	1	V01	pitch=F#3;tie=none;grace=none;articulations=;ornaments=
CASE-6U43	W1	1	E002	rest	EV0009	0	1/2	V02	articulations=
CASE-6U43	W1	1	E002	note	EV0010	1/2	1/2	V02	pitch=D3;tie=none;grace=none;articulations=;ornaments=
CASE-6U43	W1	1	E002	note	EV0011	1	1/2	V01	pitch=A3;tie=none;grace=none;articulations=;ornaments=
CASE-6U43	W1	1	E002	note	EV0012	1	1/2	V02	pitch=A2;tie=none;grace=none;articulations=;ornaments=
CASE-6U43	W1	1	E002	note	EV0013	3/2	1	V01	pitch=D4;tie=none;grace=none;articulations=;ornaments=
CASE-6U43	W1	1	E002	note	EV0014	3/2	1/2	V02	pitch=F#2;tie=none;grace=none;articulations=;ornaments=
CASE-6U43	W1	1	E002	note	EV0015	2	1/2	V02	pitch=D2;tie=none;grace=none;articulations=;ornaments=
CASE-6U43	W1	1	E002	note	EV0016	5/2	1/2	V01	pitch=F#4;tie=none;grace=none;articulations=;ornaments=
