case_id	window_id	measure_index	evidence_id	record_type	record_id	onset_qn	duration_qn	voice_id	detail
CASE-D09B	W1	-1	E001	measure			1/2		meter=6/8;key_fifths=2;barlines=none|regular;volta=none
CASE-D09B	W1	-1	E001	note	EV0001	0	1/2	V01	pitch=A3;tie=none;grace=none;articulations=;ornaments=
CASE-D09B	W1	-1	E001	note	EV0002	0	1/2	V03	pitch=A2;tie=none;grace=none;articulations=;ornaments=
CASE-D09B	W1	-1	E001	direction	DR0001	0		V01	type=dynamic;value=f
CASE-D09B	W1	0	E002	measure			3		meter=6/8;key_fifths=2;barlines=regular|regular;volta=none
CASE-D09B	W1	0	E002	note	EV0003	0	1/2	V01	pitch=D4;tie=none;grace=none;articulations=;ornaments=
CASE-D09B	W1	0	E002	note	EV0004	0	1/2	V03	pitch=D3;tie=none;grace=none;articulations=;ornaments=
CASE-D09B	W1	0	E002	note	EV0005	1/2	1/2	V01	pitch=A3;tie=none;grace=none;articulations=;ornaments=
CASE-D09B	W1	0	E002	note	EV0006	1/2	1/2	V03	pitch=A2;tie=none;grace=none;articulations=;ornaments=
CASE-D09B	W1	0	E002	note	EV0007	1	1/2	V01	pitch=D4;tie=none;grace=none;articulations=;ornaments=
CASE-D09B	W1	0	E002	note	EV0008	1	1/2	V03	pitch=D3;tie=none;grace=none;articulations=;ornaments=
CASE-D09B	W1	0	E002	note	EV0009	3/2	1/2	V01	pitch=F#4;tie=none;grace=none;articulations=;ornaments=
CASE-D09B	W1	0	E002	note	EV0010	3/2	1/2	V03	pitch=F#3;tie=none;grace=none;articulations=;ornaments=
CASE-D09B	W1	0	E002	note	EV0011	2	1/2	V01	pitch=D4;tie=none;grace=none;articulations=;ornaments=
CASE-D09B	W1	0	E002	note	EV0012	2	1/2	V03	pitch=D3;tie=none;grace=none;articulations=;ornaments=
CASE-D09B	W1	0	E002	note	EV0013	5/2	1/2	V01	pitch=F#4;tie=none;grace=none;articulations=;ornaments=
CASE-D09B	W1	0	E002	note	EV0014	5/2	1/2	V03	pitch=F#3;tie=none;grace=none;articulations=;ornaments=
CASE-D09B	W1	1	E003	measure			3		meter=6/8;key_fifths=2;barlines=regular|regular;volta=none
CASE-D09B	W1	1	E003	note	EV0015	0	1	V01	pitch=A4;tie=none;grace=none;articulations=;ornaments=
CASE-D09B	W1	1	E003	note	EV0016	0	1	V03	pitch=A3;tie=none;grace=none;articulations=;ornaments=
CASE-D09B	W1	1	E003	note	EV0017	1	1/2	V01	pitch=A4;tie=none;grace=none;articulations=;ornaments=
CASE-D09B	W1	1	E003	note	EV0018	1	1/2	V03	pitch=A3;tie=none;grace=none;articulations=;ornaments=
CASE-D09B	W1	1	E003	note	EV0019	3/2	1	V01	pitch=A4;tie=none;grace=none;articulations=;ornaments=
