case_id	window_id	measure_index	evidence_id	record_type	record_id	onset_qn	duration_qn	voice_id	detail
CASE-Q2R9	W1	-1	E001	measure			1		meter=4/4;key_fifths=2;barlines=none|regular;volta=none
CASE-Q2R9	W1	-1	E001	note	EV0001	0	1/2	V01	pitch=A5;tie=none;grace=none;articulations=;ornaments=
CASE-Q2R9	W1	-1	E001	note	EV0002	0	1/4	V01	pitch=B5;tie=none;grace=unspecified;articulations=;ornaments=
CASE-Q2R9	W1	-1	E001	rest	EV0003	0	1	V03	articulations=
CASE-Q2R9	W1	-1	E001	note	EV0004	1/2	1/4	V01	pitch=G5;tie=none;grace=none;articulations=;ornaments=
CASE-Q2R9	W1	-1	E001	note	EV0005	3/4	1/4	V01	pitch=F#5;tie=none;grace=none;articulations=;ornaments=
CASE-Q2R9	W1	0	E002	measure			4		meter=4/4;key_fifths=2;barlines=regular|regular;volta=none
CASE-Q2R9	W1	0	E002	note	EV0006	0	1/2	V01	pitch=E5;tie=none;grace=none;articulations=;ornaments=
CASE-Q2R9	W1	0	E002	rest	EV0007	0	1/2	V03	articulations=
CASE-Q2R9	W1	0	E002	note	EV0008	1/2	1/2	V01	pitch=D5;tie=none;grace=none;articulations=;ornaments=
CASE-Q2R9	W1	0	E002	note	EV0009	1/2	1/2	V03	pitch=D4;tie=none;grace=none;articulations=;ornaments=
CASE-Q2R9	W1	0	E002	note	EV0010	1	3/2	V01	pitch=D5;tie=none;grace=none;articulations=;ornaments=
CASE-Q2R9	W1	0	E002	note	EV0011	1	1/2	V03	pitch=F#4;tie=none;grace=none;articulations=;ornaments=
CASE-Q2R9	W1	0	E002	note	EV0012	3/2	1/2	V03	pitch=A4;tie=none;grace=none;articulations=;ornaments=
CASE-Q2R9	W1	0	E002	note	EV0013	2	1/2	V03	pitch=F#4;tie=none;grace=none;articulations=;ornaments=
CASE-Q2R9	W1	0	E002	note	EV0014	5/2	1/2	V01	pitch=F#5;tie=none;grace=none;articulations=;ornaments=
CASE-Q2R9	W1	0	E002	note	EV0015	5/2	1/2	V03	pitch=D4;tie=none;grace=none;articulations=;ornaments=
CASE-Q2R9	W1	0	E002	note	EV0016	3	1/2	V01	pitch=B5;tie=none;grace=none;articulations=;ornaments=
CASE-Q2R9	W1	0	E002	note	EV0017	3	1/2	V03	pitch=F#4;tie=none;grace=none;articulations=;ornaments=
CASE-Q2R9	W1	0	E002	note	EV0018	7/2	1/2	V01	pitch=F#5;tie=none;grace=none;articulations=;ornaments=
CASE-Q2R9	W1	0	E002	note	EV0019	7/2	1/2	V03	pitch=B4;tie=none;grace=none;articulations=;ornaments=
CASE-Q2R9	W1	1	E003	measure			4		meter=4/4;key_fifths=2;barlines=regular|regular;volta=none
CASE-Q2R9	W1	1	E003	note	EV0020	0	1	V01	pitch=A5;tie=none;grace=none;articulations=;ornaments=
CASE-Q2R9	W1	1	E003	rest	EV0021	0	1/2	V03	articulations=
CASE-Q2R9	W1	1	E003	note	EV0022	1/2	1/2	V03	pitch=E4;tie=none;grace=none;articulations=;ornaments=
CASE-Q2R9	W1	1	E003	note	EV0023	1	3/2	V01	pitch=G5;tie=none;grace=none;articulations=;ornaments=
CASE-Q2R9	W1	1	E003	note	EV0024	1	1/2	V03	pitch=G4;tie=none;grace=none;articulations=;ornaments=
CASE-Q2R9	W1	1	E003	note	EV0025	3/2	1/2	V03	pitch=B4;tie=none;grace=none;articulations=;ornaments=
CASE-Q2R9	W1	1	E003	note	EV0026	2	1/2	V03	pitch=G4;tie=none;grace=none;articulations=;ornaments=
